shape,n,min,p10,median,mean,p90,max
FLATLINE,3247,0.48,0.75,8.67,9.37,16.01,314.58
STEEP_LINEAR_DOWN,2793,0.67,4.82,21.0,23.61,45.0,332.58
STEEP_LINEAR_UP,2723,0.88,5.0,20.93,23.78,45.64,120.57
STEEP_CONCAVE_UP,2445,1.0,13.0,20.0,23.27,36.05,528.0
STEEP_CONVEX_DOWN,2238,0.67,13.0,18.75,21.46,32.01,160.5
NOISE,1550,1.1,5.0,12.45,17.73,28.52,672.83
GENTLE_CONCAVE_UP,1404,0.75,11.19,16.54,19.28,29.7,318.17
GENTLE_CONVEX_DOWN,1347,0.58,11.46,16.58,18.69,28.5,89.5
GENTLE_LINEAR_DOWN,708,0.75,2.79,21.75,21.98,38.22,302.0
GENTLE_LINEAR_UP,689,0.73,2.06,22.33,23.88,48.72,135.58
STEEP_CONVEX_UP,650,0.48,0.5,3.0,8.7,25.0,303.83
STEEP_CONCAVE_DOWN,619,0.47,0.5,3.02,8.79,25.0,98.75
GENTLE_CONVEX_UP,331,0.5,1.08,5.42,8.47,15.0,90.0
GENTLE_CONCAVE_DOWN,304,0.47,1.08,5.17,7.58,14.0,87.58
