shape,n,BACK_SKEWED,FRONT_SKEWED,SYMMETRIC,NONE,pct_BACK,pct_FRONT,pct_SYM
FLATLINE,1037,15,4,1,1017,1.4,0.4,0.1
NOISE,971,2,0,0,969,0.2,0.0,0.0
GENTLE_CONCAVE_UP,591,137,315,138,1,23.2,53.3,23.4
STEEP_LINEAR_DOWN,556,1,0,1,554,0.2,0.0,0.2
STEEP_LINEAR_UP,544,0,0,0,544,0.0,0.0,0.0
GENTLE_CONVEX_DOWN,504,120,254,130,0,23.8,50.4,25.8
GENTLE_LINEAR_UP,434,0,0,0,434,0.0,0.0,0.0
GENTLE_LINEAR_DOWN,398,2,0,0,396,0.5,0.0,0.0
STEEP_CONCAVE_UP,374,48,231,95,0,12.8,61.8,25.4
STEEP_CONVEX_DOWN,339,68,179,92,0,20.1,52.8,27.1
GENTLE_CONVEX_UP,189,171,7,10,1,90.5,3.7,5.3
GENTLE_CONCAVE_DOWN,127,107,9,10,1,84.3,7.1,7.9
STEEP_CONCAVE_DOWN,113,105,1,7,0,92.9,0.9,6.2
STEEP_CONVEX_UP,99,88,3,8,0,88.9,3.0,8.1
