shape,IS_n,OOS_n,IS_pct,OOS_pct,IS_minus_OOS_pct
FLATLINE,818,219,16.27,17.56,-1.3
GENTLE_CONCAVE_DOWN,103,24,2.05,1.92,0.12
GENTLE_CONCAVE_UP,488,103,9.7,8.26,1.44
GENTLE_CONVEX_DOWN,412,92,8.19,7.38,0.81
GENTLE_CONVEX_UP,157,32,3.12,2.57,0.56
GENTLE_LINEAR_DOWN,328,70,6.52,5.61,0.91
GENTLE_LINEAR_UP,365,69,7.26,5.53,1.72
NOISE,794,177,15.79,14.19,1.59
STEEP_CONCAVE_DOWN,83,30,1.65,2.41,-0.76
STEEP_CONCAVE_UP,293,81,5.83,6.5,-0.67
STEEP_CONVEX_DOWN,261,78,5.19,6.26,-1.07
STEEP_CONVEX_UP,80,19,1.59,1.52,0.07
STEEP_LINEAR_DOWN,430,126,8.55,10.1,-1.55
STEEP_LINEAR_UP,417,127,8.29,10.18,-1.89
