shape,count,pct
FLATLINE,1037,16.52
NOISE,971,15.47
GENTLE_CONCAVE_UP,591,9.42
STEEP_LINEAR_DOWN,556,8.86
STEEP_LINEAR_UP,544,8.67
GENTLE_CONVEX_DOWN,504,8.03
GENTLE_LINEAR_UP,434,6.92
GENTLE_LINEAR_DOWN,398,6.34
STEEP_CONCAVE_UP,374,5.96
STEEP_CONVEX_DOWN,339,5.4
GENTLE_CONVEX_UP,189,3.01
GENTLE_CONCAVE_DOWN,127,2.02
STEEP_CONCAVE_DOWN,113,1.8
STEEP_CONVEX_UP,99,1.58
