shape,n,min,p10,median,mean,p90,max
FLATLINE,1037,-2.0,0.0,0.0,0.131,0.706,0.962
NOISE,971,-2.0,-2.0,0.661,-0.069,0.832,0.94
GENTLE_CONCAVE_UP,591,0.847,0.874,0.935,0.931,0.978,0.993
STEEP_LINEAR_DOWN,556,0.851,0.935,0.973,0.967,0.99,0.997
STEEP_LINEAR_UP,544,0.861,0.943,0.975,0.969,0.991,0.998
GENTLE_CONVEX_DOWN,504,0.851,0.871,0.929,0.924,0.969,0.992
GENTLE_LINEAR_UP,434,0.851,0.897,0.958,0.949,0.983,0.997
GENTLE_LINEAR_DOWN,398,0.82,0.887,0.952,0.944,0.982,0.997
STEEP_CONCAVE_UP,374,0.853,0.915,0.96,0.954,0.983,0.993
STEEP_CONVEX_DOWN,339,0.854,0.911,0.956,0.949,0.978,0.996
GENTLE_CONVEX_UP,189,0.85,0.862,0.916,0.915,0.969,0.992
GENTLE_CONCAVE_DOWN,127,0.85,0.871,0.921,0.919,0.972,0.989
STEEP_CONCAVE_DOWN,113,0.851,0.878,0.958,0.945,0.982,0.99
STEEP_CONVEX_UP,99,0.85,0.873,0.95,0.937,0.985,0.995
