shape,n,min,p10,median,mean,p90,max
STEEP_CONCAVE_UP,10858,0.839,0.888,0.95,0.942,0.981,0.998
NOISE,10471,-2.0,0.4,0.72,0.604,0.833,0.937
STEEP_CONVEX_DOWN,10466,0.85,0.886,0.947,0.94,0.98,0.998
STEEP_LINEAR_UP,9859,0.74,0.93,0.973,0.966,0.993,1.0
STEEP_LINEAR_DOWN,9708,0.851,0.929,0.972,0.965,0.993,1.0
FLATLINE,9033,-2.0,0.0,0.0,0.086,0.511,0.919
STEEP_CONVEX_UP,3305,0.845,0.89,0.953,0.944,0.98,0.997
STEEP_CONCAVE_DOWN,3276,0.382,0.891,0.955,0.945,0.981,0.998
GENTLE_CONVEX_DOWN,865,0.817,0.86,0.898,0.902,0.948,0.986
GENTLE_CONCAVE_UP,864,0.85,0.861,0.898,0.903,0.95,0.988
GENTLE_LINEAR_UP,603,0.851,0.865,0.915,0.916,0.964,0.989
GENTLE_LINEAR_DOWN,594,0.85,0.862,0.911,0.911,0.962,0.995
GENTLE_CONVEX_UP,481,0.85,0.864,0.91,0.911,0.958,0.993
GENTLE_CONCAVE_DOWN,399,0.85,0.864,0.914,0.914,0.961,0.986
