shape,count,pct
FLATLINE,3247,15.43
STEEP_LINEAR_DOWN,2793,13.27
STEEP_LINEAR_UP,2723,12.94
STEEP_CONCAVE_UP,2445,11.62
STEEP_CONVEX_DOWN,2238,10.63
NOISE,1550,7.36
GENTLE_CONCAVE_UP,1404,6.67
GENTLE_CONVEX_DOWN,1347,6.4
GENTLE_LINEAR_DOWN,708,3.36
GENTLE_LINEAR_UP,689,3.27
STEEP_CONVEX_UP,650,3.09
STEEP_CONCAVE_DOWN,619,2.94
GENTLE_CONVEX_UP,331,1.57
GENTLE_CONCAVE_DOWN,304,1.44
