from,to,count,p_to_given_from
FLATLINE,NOISE,3420,0.3959
FLATLINE,STEEP_LINEAR_DOWN,1015,0.1175
FLATLINE,STEEP_CONCAVE_UP,986,0.1141
FLATLINE,STEEP_CONVEX_DOWN,974,0.1128
FLATLINE,STEEP_LINEAR_UP,969,0.1122
FLATLINE,STEEP_CONCAVE_DOWN,634,0.0734
FLATLINE,STEEP_CONVEX_UP,604,0.0699
FLATLINE,GENTLE_CONVEX_UP,10,0.0012
FLATLINE,GENTLE_LINEAR_DOWN,9,0.001
FLATLINE,GENTLE_CONCAVE_DOWN,6,0.0007
FLATLINE,GENTLE_CONVEX_DOWN,4,0.0005
FLATLINE,GENTLE_LINEAR_UP,4,0.0005
FLATLINE,GENTLE_CONCAVE_UP,3,0.0003
GENTLE_CONCAVE_DOWN,NOISE,25,0.3968
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,9,0.1429
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,7,0.1111
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,7,0.1111
GENTLE_CONCAVE_DOWN,FLATLINE,6,0.0952
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,3,0.0476
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,3,0.0476
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,3,0.0476
GENTLE_CONCAVE_UP,NOISE,41,0.3628
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,16,0.1416
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,14,0.1239
GENTLE_CONCAVE_UP,FLATLINE,12,0.1062
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,11,0.0973
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,9,0.0796
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,6,0.0531
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,4,0.0354
GENTLE_CONVEX_DOWN,NOISE,45,0.4286
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,15,0.1429
GENTLE_CONVEX_DOWN,FLATLINE,11,0.1048
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,10,0.0952
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,9,0.0857
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,5,0.0476
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,5,0.0476
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,2,0.019
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,2,0.019
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,1,0.0095
GENTLE_CONVEX_UP,NOISE,20,0.2941
GENTLE_CONVEX_UP,STEEP_CONCAVE_DOWN,15,0.2206
GENTLE_CONVEX_UP,FLATLINE,12,0.1765
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,6,0.0882
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,6,0.0882
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,4,0.0588
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,2,0.0294
GENTLE_CONVEX_UP,STEEP_CONVEX_UP,1,0.0147
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,1,0.0147
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,1,0.0147
GENTLE_LINEAR_DOWN,NOISE,29,0.2788
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,17,0.1635
GENTLE_LINEAR_DOWN,FLATLINE,15,0.1442
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,15,0.1442
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,11,0.1058
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,7,0.0673
GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,6,0.0577
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,3,0.0288
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,1,0.0096
GENTLE_LINEAR_UP,NOISE,33,0.275
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,19,0.1583
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,16,0.1333
GENTLE_LINEAR_UP,FLATLINE,14,0.1167
GENTLE_LINEAR_UP,STEEP_CONVEX_UP,12,0.1
GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,10,0.0833
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,9,0.075
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,6,0.05
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,1,0.0083
NOISE,STEEP_LINEAR_UP,9039,0.1701
NOISE,STEEP_LINEAR_DOWN,8921,0.1679
NOISE,STEEP_CONCAVE_UP,7961,0.1498
NOISE,STEEP_CONVEX_DOWN,7197,0.1355
NOISE,FLATLINE,6679,0.1257
NOISE,STEEP_CONCAVE_DOWN,6553,0.1233
NOISE,STEEP_CONVEX_UP,6521,0.1227
NOISE,GENTLE_LINEAR_UP,53,0.001
NOISE,GENTLE_CONCAVE_UP,50,0.0009
NOISE,GENTLE_CONCAVE_DOWN,48,0.0009
NOISE,GENTLE_CONVEX_UP,40,0.0008
NOISE,GENTLE_LINEAR_DOWN,38,0.0007
NOISE,GENTLE_CONVEX_DOWN,31,0.0006
STEEP_CONCAVE_DOWN,NOISE,3694,0.3897
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,1862,0.1965
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,1399,0.1476
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,1272,0.1342
STEEP_CONCAVE_DOWN,FLATLINE,606,0.0639
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,537,0.0567
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,84,0.0089
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,8,0.0008
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,7,0.0007
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_UP,6,0.0006
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,2,0.0002
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,1,0.0001
STEEP_CONCAVE_UP,NOISE,5741,0.3698
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,2294,0.1478
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,2102,0.1354
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,1849,0.1191
STEEP_CONCAVE_UP,FLATLINE,1591,0.1025
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,1230,0.0792
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,663,0.0427
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,15,0.001
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,11,0.0007
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,11,0.0007
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,9,0.0006
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,5,0.0003
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,4,0.0003
STEEP_CONVEX_DOWN,NOISE,5229,0.3632
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,2226,0.1546
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,1968,0.1367
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,1712,0.1189
