shape,IS_n,OOS_n,IS_pct,OOS_pct,IS_minus_OOS_pct
FLATLINE,7083,1950,12.63,13.28,-0.65
GENTLE_CONCAVE_DOWN,341,58,0.61,0.39,0.21
GENTLE_CONCAVE_UP,740,124,1.32,0.84,0.47
GENTLE_CONVEX_DOWN,737,128,1.31,0.87,0.44
GENTLE_CONVEX_UP,414,67,0.74,0.46,0.28
GENTLE_LINEAR_DOWN,511,83,0.91,0.57,0.35
GENTLE_LINEAR_UP,497,106,0.89,0.72,0.16
NOISE,8442,2029,15.05,13.81,1.24
STEEP_CONCAVE_DOWN,2570,706,4.58,4.81,-0.23
STEEP_CONCAVE_UP,8563,2295,15.27,15.62,-0.36
STEEP_CONVEX_DOWN,8205,2261,14.63,15.39,-0.77
STEEP_CONVEX_UP,2608,697,4.65,4.75,-0.1
STEEP_LINEAR_DOWN,7625,2083,13.59,14.18,-0.59
STEEP_LINEAR_UP,7758,2101,13.83,14.3,-0.47
