shape,n,BACK_SKEWED,FRONT_SKEWED,SYMMETRIC,NONE,pct_BACK,pct_FRONT,pct_SYM
NOISE,64346,71,65,47,64163,0.1,0.1,0.1
STEEP_LINEAR_UP,24608,158,83,62,24305,0.6,0.3,0.3
STEEP_LINEAR_DOWN,24383,159,63,71,24090,0.7,0.3,0.3
STEEP_CONCAVE_UP,24295,9419,7912,6780,184,38.8,32.6,27.9
STEEP_CONVEX_DOWN,22663,9491,6713,6309,150,41.9,29.6,27.8
STEEP_CONCAVE_DOWN,14352,6855,3278,4110,109,47.8,22.8,28.6
STEEP_CONVEX_UP,14286,6574,3398,4198,116,46.0,23.8,29.4
FLATLINE,14107,115,61,60,13871,0.8,0.4,0.4
GENTLE_LINEAR_UP,157,1,0,0,156,0.6,0.0,0.0
GENTLE_LINEAR_DOWN,139,0,0,0,139,0.0,0.0,0.0
GENTLE_CONCAVE_UP,136,55,43,38,0,40.4,31.6,27.9
GENTLE_CONVEX_DOWN,131,67,29,35,0,51.1,22.1,26.7
GENTLE_CONVEX_UP,101,39,38,24,0,38.6,37.6,23.8
GENTLE_CONCAVE_DOWN,97,43,28,26,0,44.3,28.9,26.8
