parent_shape,child_shape,n,p_child_given_parent,parent_n_total
FLATLINE,NOISE,5955,0.342,17414
FLATLINE,STEEP_LINEAR_UP,2293,0.1317,17414
FLATLINE,STEEP_LINEAR_DOWN,2262,0.1299,17414
FLATLINE,STEEP_CONCAVE_UP,1760,0.1011,17414
FLATLINE,STEEP_CONVEX_DOWN,1694,0.0973,17414
FLATLINE,FLATLINE,1189,0.0683,17414
FLATLINE,STEEP_CONVEX_UP,1123,0.0645,17414
FLATLINE,STEEP_CONCAVE_DOWN,1094,0.0628,17414
FLATLINE,GENTLE_LINEAR_UP,10,0.0006,17414
FLATLINE,GENTLE_CONCAVE_UP,10,0.0006,17414
FLATLINE,GENTLE_CONVEX_DOWN,7,0.0004,17414
FLATLINE,GENTLE_CONCAVE_DOWN,6,0.0003,17414
FLATLINE,GENTLE_LINEAR_DOWN,6,0.0003,17414
FLATLINE,GENTLE_CONVEX_UP,5,0.0003,17414
GENTLE_CONCAVE_DOWN,NOISE,149,0.2744,543
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,131,0.2413,543
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,84,0.1547,543
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,70,0.1289,543
GENTLE_CONCAVE_DOWN,FLATLINE,37,0.0681,543
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,32,0.0589,543
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,26,0.0479,543
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,11,0.0203,543
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,2,0.0037,543
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,1,0.0018,543
GENTLE_CONCAVE_UP,NOISE,997,0.4015,2483
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,310,0.1248,2483
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,230,0.0926,2483
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,209,0.0842,2483
GENTLE_CONCAVE_UP,FLATLINE,189,0.0761,2483
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,185,0.0745,2483
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,176,0.0709,2483
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,137,0.0552,2483
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,17,0.0068,2483
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,13,0.0052,2483
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,6,0.0024,2483
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,5,0.002,2483
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,5,0.002,2483
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,4,0.0016,2483
GENTLE_CONVEX_DOWN,NOISE,958,0.4007,2391
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,301,0.1259,2391
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,201,0.0841,2391
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,198,0.0828,2391
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,185,0.0774,2391
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,177,0.074,2391
GENTLE_CONVEX_DOWN,FLATLINE,168,0.0703,2391
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,156,0.0652,2391
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,11,0.0046,2391
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,11,0.0046,2391
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,11,0.0046,2391
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,6,0.0025,2391
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,4,0.0017,2391
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,4,0.0017,2391
GENTLE_CONVEX_UP,NOISE,185,0.2697,686
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,178,0.2595,686
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,130,0.1895,686
GENTLE_CONVEX_UP,STEEP_CONVEX_UP,63,0.0918,686
GENTLE_CONVEX_UP,FLATLINE,52,0.0758,686
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,32,0.0466,686
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,29,0.0423,686
GENTLE_CONVEX_UP,STEEP_CONCAVE_DOWN,9,0.0131,686
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,3,0.0044,686
GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,2,0.0029,686
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,1,0.0015,686
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,1,0.0015,686
GENTLE_CONVEX_UP,GENTLE_CONCAVE_DOWN,1,0.0015,686
GENTLE_LINEAR_DOWN,NOISE,618,0.3581,1726
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,212,0.1228,1726
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,189,0.1095,1726
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,168,0.0973,1726
GENTLE_LINEAR_DOWN,FLATLINE,142,0.0823,1726
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,139,0.0805,1726
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,125,0.0724,1726
GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,108,0.0626,1726
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,9,0.0052,1726
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,8,0.0046,1726
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_UP,3,0.0017,1726
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,3,0.0017,1726
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,1,0.0006,1726
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,1,0.0006,1726
GENTLE_LINEAR_UP,NOISE,636,0.3479,1828
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,238,0.1302,1828
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,206,0.1127,1828
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,189,0.1034,1828
GENTLE_LINEAR_UP,STEEP_CONVEX_UP,150,0.0821,1828
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,128,0.07,1828
GENTLE_LINEAR_UP,FLATLINE,126,0.0689,1828
GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,125,0.0684,1828
GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,10,0.0055,1828
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,5,0.0027,1828
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,4,0.0022,1828
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,4,0.0022,1828
GENTLE_LINEAR_UP,GENTLE_CONCAVE_DOWN,4,0.0022,1828
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,3,0.0016,1828
NOISE,NOISE,10003,0.35,28584
NOISE,STEEP_CONCAVE_UP,3334,0.1166,28584
NOISE,STEEP_LINEAR_DOWN,3304,0.1156,28584
NOISE,STEEP_LINEAR_UP,3220,0.1127,28584
NOISE,STEEP_CONVEX_DOWN,3149,0.1102,28584
NOISE,STEEP_CONVEX_UP,1831,0.0641,28584
NOISE,STEEP_CONCAVE_DOWN,1825,0.0638,28584
NOISE,FLATLINE,1765,0.0617,28584
NOISE,GENTLE_CONVEX_DOWN,37,0.0013,28584
NOISE,GENTLE_LINEAR_UP,31,0.0011,28584
NOISE,GENTLE_LINEAR_DOWN,26,0.0009,28584
NOISE,GENTLE_CONCAVE_UP,26,0.0009,28584
NOISE,GENTLE_CONCAVE_DOWN,20,0.0007,28584
NOISE,GENTLE_CONVEX_UP,13,0.0005,28584
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,1730,0.3423,5054
STEEP_CONCAVE_DOWN,NOISE,1079,0.2135,5054
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,857,0.1696,5054
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,742,0.1468,5054
STEEP_CONCAVE_DOWN,FLATLINE,273,0.054,5054
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,145,0.0287,5054
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,144,0.0285,5054
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,74,0.0146,5054
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,4,0.0008,5054
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,2,0.0004,5054
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_UP,2,0.0004,5054
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,1,0.0002,5054
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,1,0.0002,5054
STEEP_CONCAVE_UP,NOISE,12061,0.3214,37532
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,6217,0.1656,37532
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,4171,0.1111,37532
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,3827,0.102,37532
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,2883,0.0768,37532
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,2826,0.0753,37532
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,2713,0.0723,37532
STEEP_CONCAVE_UP,FLATLINE,2711,0.0722,37532
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,27,0.0007,37532
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,25,0.0007,37532
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,20,0.0005,37532
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,18,0.0005,37532
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,17,0.0005,37532
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,16,0.0004,37532
STEEP_CONVEX_DOWN,NOISE,11326,0.3215,35233
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,5611,0.1593,35233
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,3843,0.1091,35233
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,3761,0.1067,35233
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,3008,0.0854,35233
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,2594,0.0736,35233
STEEP_CONVEX_DOWN,FLATLINE,2579,0.0732,35233
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,2423,0.0688,35233
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,21,0.0006,35233
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,19,0.0005,35233
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,17,0.0005,35233
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,12,0.0003,35233
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,12,0.0003,35233
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,7,0.0002,35233
STEEP_CONVEX_UP,STEEP_LINEAR_UP,1684,0.3499,4813
STEEP_CONVEX_UP,NOISE,1008,0.2094,4813
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,874,0.1816,4813
STEEP_CONVEX_UP,STEEP_CONVEX_UP,674,0.14,4813
STEEP_CONVEX_UP,FLATLINE,268,0.0557,4813
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,130,0.027,4813
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,120,0.0249,4813
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,49,0.0102,4813
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,4,0.0008,4813
STEEP_CONVEX_UP,GENTLE_CONVEX_UP,1,0.0002,4813
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,1,0.0002,4813
STEEP_LINEAR_DOWN,NOISE,9561,0.2952,32385
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,6054,0.1869,32385
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,5782,0.1785,32385
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,3186,0.0984,32385
STEEP_LINEAR_DOWN,FLATLINE,2266,0.07,32385
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,2200,0.0679,32385
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,1843,0.0569,32385
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,1419,0.0438,32385
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,21,0.0006,32385
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,15,0.0005,32385
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,13,0.0004,32385
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,11,0.0003,32385
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,8,0.0002,32385
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,6,0.0002,32385
STEEP_LINEAR_UP,NOISE,9810,0.2961,33129
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,6183,0.1866,33129
STEEP_LINEAR_UP,STEEP_LINEAR_UP,6079,0.1835,33129
STEEP_LINEAR_UP,STEEP_CONVEX_UP,3188,0.0962,33129
STEEP_LINEAR_UP,FLATLINE,2342,0.0707,33129
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,2205,0.0666,33129
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,1744,0.0526,33129
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,1478,0.0446,33129
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,22,0.0007,33129
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,22,0.0007,33129
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,21,0.0006,33129
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,19,0.0006,33129
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,10,0.0003,33129
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,6,0.0002,33129
