shape,n,min,p10,median,mean,p90,max
STEEP_CONCAVE_UP,10858,0.33,3.75,5.5,6.39,9.58,514.25
NOISE,10471,0.5,2.83,4.0,5.8,9.75,654.33
STEEP_CONVEX_DOWN,10466,0.33,3.75,5.33,6.15,9.0,303.87
STEEP_LINEAR_UP,9859,0.32,0.92,6.0,6.71,12.5,301.0
STEEP_LINEAR_DOWN,9708,0.3,0.92,6.0,6.54,12.27,303.17
FLATLINE,9033,0.32,1.5,2.83,3.35,5.25,308.0
STEEP_CONVEX_UP,3305,0.3,0.52,1.75,2.98,6.0,303.83
STEEP_CONCAVE_DOWN,3276,0.32,0.5,1.75,2.85,6.26,71.25
GENTLE_CONVEX_DOWN,865,0.42,2.45,5.42,5.82,8.83,65.18
GENTLE_CONCAVE_UP,864,0.42,3.25,5.33,6.09,9.23,67.5
GENTLE_LINEAR_UP,603,0.33,0.67,6.42,6.16,11.81,67.0
GENTLE_LINEAR_DOWN,594,0.33,0.58,6.0,5.89,11.08,70.5
GENTLE_CONVEX_UP,481,0.42,0.8,2.17,2.51,3.75,20.0
GENTLE_CONCAVE_DOWN,399,0.33,0.67,2.08,2.19,3.5,11.58
