from,to,count,p_to_given_from
FLATLINE,NOISE,1435,0.1808
FLATLINE,STEEP_CONCAVE_UP,1322,0.1666
FLATLINE,STEEP_CONVEX_DOWN,1220,0.1537
FLATLINE,STEEP_LINEAR_UP,1210,0.1525
FLATLINE,STEEP_LINEAR_DOWN,1160,0.1462
FLATLINE,STEEP_CONCAVE_DOWN,558,0.0703
FLATLINE,STEEP_CONVEX_UP,546,0.0688
FLATLINE,GENTLE_CONVEX_DOWN,115,0.0145
FLATLINE,GENTLE_CONCAVE_UP,106,0.0134
FLATLINE,GENTLE_CONCAVE_DOWN,69,0.0087
FLATLINE,GENTLE_LINEAR_DOWN,68,0.0086
FLATLINE,GENTLE_LINEAR_UP,66,0.0083
FLATLINE,GENTLE_CONVEX_UP,62,0.0078
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,65,0.2038
GENTLE_CONCAVE_DOWN,FLATLINE,57,0.1787
GENTLE_CONCAVE_DOWN,NOISE,50,0.1567
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,48,0.1505
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,28,0.0878
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,16,0.0502
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,15,0.047
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,13,0.0408
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,10,0.0313
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,9,0.0282
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,3,0.0094
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,3,0.0094
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,2,0.0063
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,162,0.2118
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,148,0.1935
GENTLE_CONCAVE_UP,NOISE,135,0.1765
GENTLE_CONCAVE_UP,FLATLINE,122,0.1595
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,65,0.085
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,28,0.0366
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,25,0.0327
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,23,0.0301
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,19,0.0248
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,18,0.0235
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,9,0.0118
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,8,0.0105
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,3,0.0039
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,154,0.2087
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,151,0.2046
GENTLE_CONVEX_DOWN,FLATLINE,121,0.164
GENTLE_CONVEX_DOWN,NOISE,114,0.1545
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,50,0.0678
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,38,0.0515
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_UP,33,0.0447
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,22,0.0298
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,19,0.0257
GENTLE_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,15,0.0203
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,12,0.0163
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_UP,5,0.0068
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,4,0.0054
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,71,0.1898
GENTLE_CONVEX_UP,FLATLINE,70,0.1872
GENTLE_CONVEX_UP,NOISE,66,0.1765
GENTLE_CONVEX_UP,STEEP_CONCAVE_UP,53,0.1417
GENTLE_CONVEX_UP,STEEP_CONCAVE_DOWN,37,0.0989
GENTLE_CONVEX_UP,GENTLE_CONCAVE_UP,19,0.0508
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,18,0.0481
GENTLE_CONVEX_UP,GENTLE_CONCAVE_DOWN,12,0.0321
GENTLE_CONVEX_UP,STEEP_CONVEX_UP,9,0.0241
GENTLE_CONVEX_UP,GENTLE_LINEAR_UP,8,0.0214
GENTLE_CONVEX_UP,GENTLE_LINEAR_DOWN,6,0.016
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,4,0.0107
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,1,0.0027
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,94,0.2022
GENTLE_LINEAR_DOWN,NOISE,79,0.1699
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,74,0.1591
GENTLE_LINEAR_DOWN,FLATLINE,72,0.1548
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,39,0.0839
