parent_shape,child_shape,n,p_child_given_parent,parent_n_total
FLATLINE,STEEP_LINEAR_UP,1151,0.1837,6266
FLATLINE,STEEP_LINEAR_DOWN,1114,0.1778,6266
FLATLINE,NOISE,936,0.1494,6266
FLATLINE,STEEP_CONCAVE_UP,738,0.1178,6266
FLATLINE,STEEP_CONVEX_DOWN,715,0.1141,6266
FLATLINE,FLATLINE,686,0.1095,6266
FLATLINE,STEEP_CONCAVE_DOWN,331,0.0528,6266
FLATLINE,STEEP_CONVEX_UP,289,0.0461,6266
FLATLINE,GENTLE_CONCAVE_UP,64,0.0102,6266
FLATLINE,GENTLE_CONVEX_DOWN,64,0.0102,6266
FLATLINE,GENTLE_LINEAR_UP,56,0.0089,6266
FLATLINE,GENTLE_LINEAR_DOWN,54,0.0086,6266
FLATLINE,GENTLE_CONVEX_UP,43,0.0069,6266
FLATLINE,GENTLE_CONCAVE_DOWN,25,0.004,6266
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,173,0.3777,458
GENTLE_CONCAVE_DOWN,FLATLINE,56,0.1223,458
GENTLE_CONCAVE_DOWN,NOISE,53,0.1157,458
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,51,0.1114,458
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,48,0.1048,458
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_UP,20,0.0437,458
GENTLE_CONCAVE_DOWN,STEEP_CONCAVE_UP,19,0.0415,458
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_UP,8,0.0175,458
GENTLE_CONCAVE_DOWN,STEEP_CONVEX_UP,7,0.0153,458
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,6,0.0131,458
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,6,0.0131,458
GENTLE_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,6,0.0131,458
GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_UP,4,0.0087,458
GENTLE_CONCAVE_DOWN,GENTLE_CONVEX_UP,1,0.0022,458
GENTLE_CONCAVE_UP,NOISE,870,0.1792,4856
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,713,0.1468,4856
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,694,0.1429,4856
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,641,0.132,4856
GENTLE_CONCAVE_UP,FLATLINE,591,0.1217,4856
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,376,0.0774,4856
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,264,0.0544,4856
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,165,0.034,4856
GENTLE_CONCAVE_UP,STEEP_CONVEX_UP,129,0.0266,4856
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,120,0.0247,4856
GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,118,0.0243,4856
GENTLE_CONCAVE_UP,GENTLE_LINEAR_DOWN,75,0.0154,4856
GENTLE_CONCAVE_UP,GENTLE_CONVEX_UP,54,0.0111,4856
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_DOWN,46,0.0095,4856
GENTLE_CONVEX_DOWN,NOISE,863,0.184,4690
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,755,0.161,4690
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,688,0.1467,4690
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,613,0.1307,4690
GENTLE_CONVEX_DOWN,FLATLINE,578,0.1232,4690
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,335,0.0714,4690
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,254,0.0542,4690
GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,145,0.0309,4690
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_DOWN,123,0.0262,4690
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,92,0.0196,4690
