shape,IS_n,OOS_n,IS_pct,OOS_pct,IS_minus_OOS_pct
FLATLINE,282,66,17.21,16.18,1.03
GENTLE_CONCAVE_DOWN,35,14,2.14,3.43,-1.3
GENTLE_CONCAVE_UP,178,36,10.86,8.82,2.04
GENTLE_CONVEX_DOWN,139,28,8.48,6.86,1.62
GENTLE_CONVEX_UP,40,8,2.44,1.96,0.48
GENTLE_LINEAR_DOWN,189,55,11.53,13.48,-1.95
GENTLE_LINEAR_UP,231,51,14.09,12.5,1.59
NOISE,345,91,21.05,22.3,-1.25
STEEP_CONCAVE_DOWN,7,1,0.43,0.25,0.18
STEEP_CONCAVE_UP,25,3,1.53,0.74,0.79
STEEP_CONVEX_DOWN,20,3,1.22,0.74,0.48
STEEP_CONVEX_UP,4,0,0.24,0.0,0.24
STEEP_LINEAR_DOWN,79,24,4.82,5.88,-1.06
STEEP_LINEAR_UP,65,28,3.97,6.86,-2.9
