shape,count,pct
NOISE,436,21.3
FLATLINE,348,17.0
GENTLE_LINEAR_UP,282,13.78
GENTLE_LINEAR_DOWN,244,11.92
GENTLE_CONCAVE_UP,214,10.45
GENTLE_CONVEX_DOWN,167,8.16
STEEP_LINEAR_DOWN,103,5.03
STEEP_LINEAR_UP,93,4.54
GENTLE_CONCAVE_DOWN,49,2.39
GENTLE_CONVEX_UP,48,2.34
STEEP_CONCAVE_UP,28,1.37
STEEP_CONVEX_DOWN,23,1.12
STEEP_CONCAVE_DOWN,8,0.39
STEEP_CONVEX_UP,4,0.2
