trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
0,SHORT,0,2,1752451200.0,1752451320.0,22870.0,22857.25,-51.0,-25.5,41.0,8.0,20.5,4.0,2.0,1.9,3,10,0,[],0
1,LONG,2,4,1752451320.0,1752451440.0,22857.25,22864.75,30.0,15.0,15.0,4.0,7.5,2.0,2.0,0.2,3,10,0,"[1752451200.0, 1752451260.0]",2
2,LONG,4,9,1752451440.0,1752451740.0,22864.75,22874.5,39.0,19.5,28.0,6.0,14.0,3.0,5.0,4.9,6,10,0,"[1752451200.0, 1752451260.0, 1752451320.0, 1752451380.0]",4
3,SHORT,9,12,1752451740.0,1752451920.0,22874.5,22870.25,-17.0,-8.5,7.0,0.0,3.5,0.0,3.0,0.2,4,10,0,"[1752451200.0, 1752451260.0, 1752451320.0, 1752451380.0, 1752451440.0, 1752451500.0, 1752451560.0, 1752451620.0, 1752451680.0]",9
4,LONG,12,14,1752451920.0,1752452040.0,22870.25,22875.0,19.0,9.5,6.0,15.0,3.0,7.5,2.0,1.4,3,10,2,"[1752451320.0, 1752451380.0, 1752451440.0, 1752451500.0, 1752451560.0, 1752451620.0, 1752451680.0, 1752451740.0, 1752451800.0, 1752451860.0]",12
5,SHORT,14,17,1752452040.0,1752452220.0,22875.0,22864.75,-41.0,-20.5,21.0,18.0,10.5,9.0,3.0,2.4,4,10,4,"[1752451440.0, 1752451500.0, 1752451560.0, 1752451620.0, 1752451680.0, 1752451740.0, 1752451800.0, 1752451860.0, 1752451920.0, 1752451980.0]",14
6,LONG,17,20,1752452220.0,1752452400.0,22864.75,22869.0,17.0,8.5,13.0,28.0,6.5,14.0,3.0,1.4,4,10,7,"[1752451620.0, 1752451680.0, 1752451740.0, 1752451800.0, 1752451860.0, 1752451920.0, 1752451980.0, 1752452040.0, 1752452100.0, 1752452160.0]",17
7,LONG,20,25,1752452400.0,1752452700.0,22869.0,22872.5,14.0,7.0,12.0,11.0,6.0,5.5,5.0,1.2,6,10,10,"[1752451800.0, 1752451860.0, 1752451920.0, 1752451980.0, 1752452040.0, 1752452100.0, 1752452160.0, 1752452220.0, 1752452280.0, 1752452340.0]",20
8,SHORT,25,34,1752452700.0,1752453240.0,22872.5,22864.5,-32.0,-16.0,15.0,17.0,7.5,8.5,9.0,8.0,10,10,15,"[1752452100.0, 1752452160.0, 1752452220.0, 1752452280.0, 1752452340.0, 1752452400.0, 1752452460.0, 1752452520.0, 1752452580.0, 1752452640.0]",25
9,LONG,34,41,1752453240.0,1752453660.0,22864.5,22872.5,32.0,16.0,12.0,19.0,6.0,9.5,7.0,4.2,8,10,24,"[1752452640.0, 1752452700.0, 1752452760.0, 1752452820.0, 1752452880.0, 1752452940.0, 1752453000.0, 1752453060.0, 1752453120.0, 1752453180.0]",34
10,SHORT,41,46,1752453660.0,1752453960.0,22872.5,22867.25,-21.0,-10.5,8.0,20.0,4.0,10.0,5.0,5.0,6,10,31,"[1752453060.0, 1752453120.0, 1752453180.0, 1752453240.0, 1752453300.0, 1752453360.0, 1752453420.0, 1752453480.0, 1752453540.0, 1752453600.0]",41
11,LONG,46,48,1752453960.0,1752454080.0,22867.25,22869.75,10.0,5.0,16.0,5.0,8.0,2.5,2.0,1.4,3,10,36,"[1752453360.0, 1752453420.0, 1752453480.0, 1752453540.0, 1752453600.0, 1752453660.0, 1752453720.0, 1752453780.0, 1752453840.0, 1752453900.0]",46
12,SHORT,48,59,1752454080.0,1752454740.0,22869.75,22851.0,-75.0,-37.5,82.0,4.0,41.0,2.0,11.0,10.1,12,10,38,"[1752453480.0, 1752453540.0, 1752453600.0, 1752453660.0, 1752453720.0, 1752453780.0, 1752453840.0, 1752453900.0, 1752453960.0, 1752454020.0]",48
