trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
0,LONG,2,9,1752451320.0,1752451740.0,22857.25,22874.5,69.0,34.5,42.0,16.0,21.0,8.0,7.0,6.9,8,10,0,"[1752451200.0, 1752451260.0]",2
1,LONG,17,25,1752452220.0,1752452700.0,22864.75,22872.5,31.0,15.5,13.0,28.0,6.5,14.0,8.0,1.4,9,10,7,"[1752451620.0, 1752451680.0, 1752451740.0, 1752451800.0, 1752451860.0, 1752451920.0, 1752451980.0, 1752452040.0, 1752452100.0, 1752452160.0]",17
2,SHORT,25,34,1752452700.0,1752453240.0,22872.5,22864.5,-32.0,-16.0,15.0,17.0,7.5,8.5,9.0,8.0,10,10,15,"[1752452100.0, 1752452160.0, 1752452220.0, 1752452280.0, 1752452340.0, 1752452400.0, 1752452460.0, 1752452520.0, 1752452580.0, 1752452640.0]",25
3,LONG,34,41,1752453240.0,1752453660.0,22864.5,22872.5,32.0,16.0,12.0,19.0,6.0,9.5,7.0,4.2,8,10,24,"[1752452640.0, 1752452700.0, 1752452760.0, 1752452820.0, 1752452880.0, 1752452940.0, 1752453000.0, 1752453060.0, 1752453120.0, 1752453180.0]",34
4,SHORT,41,59,1752453660.0,1752454740.0,22872.5,22851.0,-86.0,-43.0,77.0,20.0,38.5,10.0,18.0,17.1,19,10,31,"[1752453060.0, 1752453120.0, 1752453180.0, 1752453240.0, 1752453300.0, 1752453360.0, 1752453420.0, 1752453480.0, 1752453540.0, 1752453600.0]",41
5,SHORT,63,72,1752454980.0,1752455520.0,22860.5,22847.25,-53.0,-26.5,26.0,30.0,13.0,15.0,9.0,8.0,10,10,53,"[1752454380.0, 1752454440.0, 1752454500.0, 1752454560.0, 1752454620.0, 1752454680.0, 1752454740.0, 1752454800.0, 1752454860.0, 1752454920.0]",63
6,LONG,72,79,1752455520.0,1752455940.0,22847.25,22858.5,45.0,22.5,37.0,11.0,18.5,5.5,7.0,6.1,8,10,62,"[1752454920.0, 1752454980.0, 1752455040.0, 1752455100.0, 1752455160.0, 1752455220.0, 1752455280.0, 1752455340.0, 1752455400.0, 1752455460.0]",72
7,SHORT,79,84,1752455940.0,1752456240.0,22858.5,22844.0,-58.0,-29.0,59.0,9.0,29.5,4.5,5.0,4.5,6,10,69,"[1752455340.0, 1752455400.0, 1752455460.0, 1752455520.0, 1752455580.0, 1752455640.0, 1752455700.0, 1752455760.0, 1752455820.0, 1752455880.0]",79
8,LONG,84,109,1752456240.0,1752457740.0,22844.0,22863.0,76.0,38.0,69.0,13.0,34.5,6.5,25.0,24.5,26,10,74,"[1752455640.0, 1752455700.0, 1752455760.0, 1752455820.0, 1752455880.0, 1752455940.0, 1752456000.0, 1752456060.0, 1752456120.0, 1752456180.0]",84
9,SHORT,109,115,1752457740.0,1752458100.0,22863.0,22853.75,-37.0,-18.5,0.0,0.0,0.0,0.0,6.0,0.0,7,10,99,"[1752457140.0, 1752457200.0, 1752457260.0, 1752457320.0, 1752457380.0, 1752457440.0, 1752457500.0, 1752457560.0, 1752457620.0, 1752457680.0]",109
10,LONG,115,144,1752458100.0,1752459840.0,22853.75,22871.0,69.0,34.5,34.0,33.0,17.0,16.5,29.0,28.7,30,10,105,"[1752457500.0, 1752457560.0, 1752457620.0, 1752457680.0, 1752457740.0, 1752457800.0, 1752457860.0, 1752457920.0, 1752457980.0, 1752458040.0]",115
11,SHORT,144,161,1752459840.0,1752460860.0,22871.0,22858.75,-49.0,-24.5,41.0,14.0,20.5,7.0,17.0,16.6,18,10,134,"[1752459240.0, 1752459300.0, 1752459360.0, 1752459420.0, 1752459480.0, 1752459540.0, 1752459600.0, 1752459660.0, 1752459720.0, 1752459780.0]",144
12,LONG,161,166,1752460860.0,1752461160.0,22858.75,22868.5,39.0,19.5,14.0,18.0,7.0,9.0,5.0,4.3,6,10,151,"[1752460260.0, 1752460320.0, 1752460380.0, 1752460440.0, 1752460500.0, 1752460560.0, 1752460620.0, 1752460680.0, 1752460740.0, 1752460800.0]",161
13,SHORT,166,183,1752461160.0,1752462180.0,22868.5,22851.25,-69.0,-34.5,45.0,26.0,22.5,13.0,17.0,16.8,18,10,156,"[1752460560.0, 1752460620.0, 1752460680.0, 1752460740.0, 1752460800.0, 1752460860.0, 1752460920.0, 1752460980.0, 1752461040.0, 1752461100.0]",166
14,LONG,183,192,1752462180.0,1752462720.0,22851.25,22866.25,60.0,30.0,49.0,6.0,24.5,3.0,9.0,5.7,10,10,173,"[1752461580.0, 1752461640.0, 1752461700.0, 1752461760.0, 1752461820.0, 1752461880.0, 1752461940.0, 1752462000.0, 1752462060.0, 1752462120.0]",183
15,SHORT,192,196,1752462720.0,1752462960.0,22866.25,22859.0,-29.0,-14.5,17.0,9.0,8.5,4.5,4.0,3.9,5,10,182,"[1752462120.0, 1752462180.0, 1752462240.0, 1752462300.0, 1752462360.0, 1752462420.0, 1752462480.0, 1752462540.0, 1752462600.0, 1752462660.0]",192
16,LONG,196,209,1752462960.0,1752463740.0,22859.0,22866.5,30.0,15.0,24.0,8.0,12.0,4.0,13.0,11.9,14,10,186,"[1752462360.0, 1752462420.0, 1752462480.0, 1752462540.0, 1752462600.0, 1752462660.0, 1752462720.0, 1752462780.0, 1752462840.0, 1752462900.0]",196
17,LONG,209,229,1752463740.0,1752464940.0,22866.5,22874.75,33.0,16.5,41.0,22.0,20.5,11.0,20.0,19.0,21,10,199,"[1752463140.0, 1752463200.0, 1752463260.0, 1752463320.0, 1752463380.0, 1752463440.0, 1752463500.0, 1752463560.0, 1752463620.0, 1752463680.0]",209
18,LONG,196,229,1752462960.0,1752464940.0,22859.0,22874.75,63.0,31.5,63.0,8.0,31.5,4.0,33.0,32.0,34,10,186,"[1752462360.0, 1752462420.0, 1752462480.0, 1752462540.0, 1752462600.0, 1752462660.0, 1752462720.0, 1752462780.0, 1752462840.0, 1752462900.0]",196
19,SHORT,229,245,1752464940.0,1752465900.0,22874.75,22867.75,-28.0,-14.0,23.0,11.0,11.5,5.5,16.0,13.8,17,10,219,"[1752464340.0, 1752464400.0, 1752464460.0, 1752464520.0, 1752464580.0, 1752464640.0, 1752464700.0, 1752464760.0, 1752464820.0, 1752464880.0]",229
