trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
146,SHORT,916,920,1735917420.0,1735917660.0,21312.25,21271.25,-164.0,-82.0,252.0,1.0,126.0,0.5,4.0,4.0,5,10,906,"[1735916820.0, 1735916880.0, 1735916940.0, 1735917000.0, 1735917060.0, 1735917120.0, 1735917180.0, 1735917240.0, 1735917300.0, 1735917360.0]",916
147,LONG,920,927,1735917660.0,1735918080.0,21271.25,21339.75,274.0,137.0,272.0,31.0,136.0,15.5,7.0,6.5,8,10,910,"[1735917060.0, 1735917120.0, 1735917180.0, 1735917240.0, 1735917300.0, 1735917360.0, 1735917420.0, 1735917480.0, 1735917540.0, 1735917600.0]",920
148,LONG,927,935,1735918080.0,1735918560.0,21339.75,21377.25,150.0,75.0,175.0,100.0,87.5,50.0,8.0,8.0,9,10,917,"[1735917480.0, 1735917540.0, 1735917600.0, 1735917660.0, 1735917720.0, 1735917780.0, 1735917840.0, 1735917900.0, 1735917960.0, 1735918020.0]",927
149,SHORT,935,937,1735918560.0,1735918680.0,21377.25,21348.25,-116.0,-58.0,66.0,63.0,33.0,31.5,2.0,1.8,3,10,925,"[1735917960.0, 1735918020.0, 1735918080.0, 1735918140.0, 1735918200.0, 1735918260.0, 1735918320.0, 1735918380.0, 1735918440.0, 1735918500.0]",935
150,LONG,937,944,1735918680.0,1735919100.0,21348.25,21387.75,158.0,79.0,148.0,106.0,74.0,53.0,7.0,6.4,8,10,927,"[1735918080.0, 1735918140.0, 1735918200.0, 1735918260.0, 1735918320.0, 1735918380.0, 1735918440.0, 1735918500.0, 1735918560.0, 1735918620.0]",937
151,SHORT,944,953,1735919100.0,1735919640.0,21387.75,21355.25,-130.0,-65.0,106.0,47.0,53.0,23.5,9.0,8.8,10,10,934,"[1735918500.0, 1735918560.0, 1735918620.0, 1735918680.0, 1735918740.0, 1735918800.0, 1735918860.0, 1735918920.0, 1735918980.0, 1735919040.0]",944
152,LONG,953,962,1735919640.0,1735920180.0,21355.25,21401.75,186.0,93.0,111.0,63.0,55.5,31.5,9.0,9.0,10,10,943,"[1735919040.0, 1735919100.0, 1735919160.0, 1735919220.0, 1735919280.0, 1735919340.0, 1735919400.0, 1735919460.0, 1735919520.0, 1735919580.0]",953
153,SHORT,962,970,1735920180.0,1735920660.0,21401.75,21345.5,-225.0,-112.5,193.0,98.0,96.5,49.0,8.0,7.8,9,10,952,"[1735919580.0, 1735919640.0, 1735919700.0, 1735919760.0, 1735919820.0, 1735919880.0, 1735919940.0, 1735920000.0, 1735920060.0, 1735920120.0]",962
154,LONG,970,980,1735920660.0,1735921260.0,21345.5,21397.25,207.0,103.5,190.0,33.0,95.0,16.5,10.0,9.2,11,10,960,"[1735920060.0, 1735920120.0, 1735920180.0, 1735920240.0, 1735920300.0, 1735920360.0, 1735920420.0, 1735920480.0, 1735920540.0, 1735920600.0]",970
155,LONG,980,989,1735921260.0,1735921800.0,21397.25,21437.0,159.0,79.5,198.0,5.0,99.0,2.5,9.0,8.9,10,10,970,"[1735920660.0, 1735920720.0, 1735920780.0, 1735920840.0, 1735920900.0, 1735920960.0, 1735921020.0, 1735921080.0, 1735921140.0, 1735921200.0]",980
156,LONG,989,1001,1735921800.0,1735922520.0,21437.0,21475.25,153.0,76.5,169.0,19.0,84.5,9.5,12.0,7.2,13,10,979,"[1735921200.0, 1735921260.0, 1735921320.0, 1735921380.0, 1735921440.0, 1735921500.0, 1735921560.0, 1735921620.0, 1735921680.0, 1735921740.0]",989
157,LONG,1001,1009,1735922520.0,1735923000.0,21475.25,21487.0,47.0,23.5,72.0,0.0,36.0,0.0,8.0,7.4,9,10,991,"[1735921920.0, 1735921980.0, 1735922040.0, 1735922100.0, 1735922160.0, 1735922220.0, 1735922280.0, 1735922340.0, 1735922400.0, 1735922460.0]",1001
158,SHORT,1009,1018,1735923000.0,1735923540.0,21487.0,21464.0,-92.0,-46.0,31.0,46.0,15.5,23.0,9.0,8.6,10,10,999,"[1735922400.0, 1735922460.0, 1735922520.0, 1735922580.0, 1735922640.0, 1735922700.0, 1735922760.0, 1735922820.0, 1735922880.0, 1735922940.0]",1009
159,LONG,1018,1020,1735923540.0,1735923660.0,21464.0,21480.25,65.0,32.5,12.0,65.0,6.0,32.5,2.0,1.5,3,10,1008,"[1735922940.0, 1735923000.0, 1735923060.0, 1735923120.0, 1735923180.0, 1735923240.0, 1735923300.0, 1735923360.0, 1735923420.0, 1735923480.0]",1018
160,SHORT,1020,1021,1735923660.0,1735923720.0,21480.25,21471.75,-34.0,-17.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,1010,"[1735923060.0, 1735923120.0, 1735923180.0, 1735923240.0, 1735923300.0, 1735923360.0, 1735923420.0, 1735923480.0, 1735923540.0, 1735923600.0]",1020
161,LONG,1021,1025,1735923720.0,1735923960.0,21471.75,21484.25,50.0,25.0,13.0,49.0,6.5,24.5,4.0,3.3,5,10,1011,"[1735923120.0, 1735923180.0, 1735923240.0, 1735923300.0, 1735923360.0, 1735923420.0, 1735923480.0, 1735923540.0, 1735923600.0, 1735923660.0]",1021
162,SHORT,1025,1028,1735923960.0,1735924140.0,21484.25,21470.75,-54.0,-27.0,42.0,17.0,21.0,8.5,3.0,2.9,4,10,1015,"[1735923360.0, 1735923420.0, 1735923480.0, 1735923540.0, 1735923600.0, 1735923660.0, 1735923720.0, 1735923780.0, 1735923840.0, 1735923900.0]",1025
163,LONG,1028,1029,1735924140.0,1735924200.0,21470.75,21477.75,28.0,14.0,5.0,0.0,2.5,0.0,1.0,0.1,2,10,1018,"[1735923540.0, 1735923600.0, 1735923660.0, 1735923720.0, 1735923780.0, 1735923840.0, 1735923900.0, 1735923960.0, 1735924020.0, 1735924080.0]",1028
