trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
0,SHORT,0,17,1735776000.0,1735777020.0,21257.25,21138.75,-474.0,-237.0,400.0,2.0,200.0,1.0,17.0,16.9,18,10,0,[],0
1,LONG,17,25,1735777020.0,1735777500.0,21138.75,21161.75,92.0,46.0,14.0,11.0,7.0,5.5,8.0,0.2,9,10,7,"[1735776420.0, 1735776480.0, 1735776540.0, 1735776600.0, 1735776660.0, 1735776720.0, 1735776780.0, 1735776840.0, 1735776900.0, 1735776960.0]",17
2,SHORT,25,30,1735777500.0,1735777800.0,21161.75,21139.25,-90.0,-45.0,78.0,42.0,39.0,21.0,5.0,4.3,6,10,15,"[1735776900.0, 1735776960.0, 1735777020.0, 1735777080.0, 1735777140.0, 1735777200.0, 1735777260.0, 1735777320.0, 1735777380.0, 1735777440.0]",25
3,LONG,30,46,1735777800.0,1735778760.0,21139.25,21236.5,389.0,194.5,326.0,36.0,163.0,18.0,16.0,15.7,17,10,20,"[1735777200.0, 1735777260.0, 1735777320.0, 1735777380.0, 1735777440.0, 1735777500.0, 1735777560.0, 1735777620.0, 1735777680.0, 1735777740.0]",30
4,LONG,46,62,1735778760.0,1735779720.0,21236.5,21273.5,148.0,74.0,172.0,7.0,86.0,3.5,16.0,15.8,17,10,36,"[1735778160.0, 1735778220.0, 1735778280.0, 1735778340.0, 1735778400.0, 1735778460.0, 1735778520.0, 1735778580.0, 1735778640.0, 1735778700.0]",46
5,LONG,62,84,1735779720.0,1735781040.0,21273.5,21293.75,81.0,40.5,129.0,12.0,64.5,6.0,22.0,21.9,23,10,52,"[1735779120.0, 1735779180.0, 1735779240.0, 1735779300.0, 1735779360.0, 1735779420.0, 1735779480.0, 1735779540.0, 1735779600.0, 1735779660.0]",62
6,SHORT,84,95,1735781040.0,1735781700.0,21293.75,21267.75,-104.0,-52.0,101.0,22.0,50.5,11.0,11.0,10.8,12,10,74,"[1735780440.0, 1735780500.0, 1735780560.0, 1735780620.0, 1735780680.0, 1735780740.0, 1735780800.0, 1735780860.0, 1735780920.0, 1735780980.0]",84
7,LONG,95,99,1735781700.0,1735781940.0,21267.75,21304.75,148.0,74.0,121.0,22.0,60.5,11.0,4.0,4.0,5,10,85,"[1735781100.0, 1735781160.0, 1735781220.0, 1735781280.0, 1735781340.0, 1735781400.0, 1735781460.0, 1735781520.0, 1735781580.0, 1735781640.0]",95
8,SHORT,99,110,1735781940.0,1735782600.0,21304.75,21292.25,-50.0,-25.0,48.0,39.0,24.0,19.5,11.0,10.4,12,10,89,"[1735781340.0, 1735781400.0, 1735781460.0, 1735781520.0, 1735781580.0, 1735781640.0, 1735781700.0, 1735781760.0, 1735781820.0, 1735781880.0]",99
9,LONG,110,114,1735782600.0,1735782840.0,21292.25,21309.0,67.0,33.5,54.0,22.0,27.0,11.0,4.0,3.6,5,10,100,"[1735782000.0, 1735782060.0, 1735782120.0, 1735782180.0, 1735782240.0, 1735782300.0, 1735782360.0, 1735782420.0, 1735782480.0, 1735782540.0]",110
10,SHORT,114,120,1735782840.0,1735783200.0,21309.0,21292.25,-67.0,-33.5,81.0,14.0,40.5,7.0,6.0,5.1,7,10,104,"[1735782240.0, 1735782300.0, 1735782360.0, 1735782420.0, 1735782480.0, 1735782540.0, 1735782600.0, 1735782660.0, 1735782720.0, 1735782780.0]",114
11,LONG,120,126,1735783200.0,1735783560.0,21292.25,21307.25,60.0,30.0,25.0,15.0,12.5,7.5,6.0,1.9,7,10,110,"[1735782600.0, 1735782660.0, 1735782720.0, 1735782780.0, 1735782840.0, 1735782900.0, 1735782960.0, 1735783020.0, 1735783080.0, 1735783140.0]",120
12,SHORT,126,135,1735783560.0,1735784100.0,21307.25,21287.75,-78.0,-39.0,23.0,40.0,11.5,20.0,9.0,2.3,10,10,116,"[1735782960.0, 1735783020.0, 1735783080.0, 1735783140.0, 1735783200.0, 1735783260.0, 1735783320.0, 1735783380.0, 1735783440.0, 1735783500.0]",126
13,LONG,135,149,1735784100.0,1735784940.0,21287.75,21320.75,132.0,66.0,105.0,31.0,52.5,15.5,14.0,13.0,15,10,125,"[1735783500.0, 1735783560.0, 1735783620.0, 1735783680.0, 1735783740.0, 1735783800.0, 1735783860.0, 1735783920.0, 1735783980.0, 1735784040.0]",135
14,SHORT,149,157,1735784940.0,1735785420.0,21320.75,21310.5,-41.0,-20.5,39.0,12.0,19.5,6.0,8.0,3.7,9,10,139,"[1735784340.0, 1735784400.0, 1735784460.0, 1735784520.0, 1735784580.0, 1735784640.0, 1735784700.0, 1735784760.0, 1735784820.0, 1735784880.0]",149
15,LONG,157,170,1735785420.0,1735786200.0,21310.5,21330.0,78.0,39.0,70.0,20.0,35.0,10.0,13.0,4.5,14,10,147,"[1735784820.0, 1735784880.0, 1735784940.0, 1735785000.0, 1735785060.0, 1735785120.0, 1735785180.0, 1735785240.0, 1735785300.0, 1735785360.0]",157
16,SHORT,170,174,1735786200.0,1735786440.0,21330.0,21315.75,-57.0,-28.5,41.0,15.0,20.5,7.5,4.0,3.4,5,10,160,"[1735785600.0, 1735785660.0, 1735785720.0, 1735785780.0, 1735785840.0, 1735785900.0, 1735785960.0, 1735786020.0, 1735786080.0, 1735786140.0]",170
17,LONG,174,178,1735786440.0,1735786680.0,21315.75,21325.25,38.0,19.0,27.0,14.0,13.5,7.0,4.0,2.3,5,10,164,"[1735785840.0, 1735785900.0, 1735785960.0, 1735786020.0, 1735786080.0, 1735786140.0, 1735786200.0, 1735786260.0, 1735786320.0, 1735786380.0]",174
18,SHORT,178,192,1735786680.0,1735787520.0,21325.25,21310.75,-58.0,-29.0,54.0,6.0,27.0,3.0,14.0,8.1,15,10,168,"[1735786080.0, 1735786140.0, 1735786200.0, 1735786260.0, 1735786320.0, 1735786380.0, 1735786440.0, 1735786500.0, 1735786560.0, 1735786620.0]",178
19,LONG,192,208,1735787520.0,1735788480.0,21310.75,21335.25,98.0,49.0,74.0,34.0,37.0,17.0,16.0,15.9,17,10,182,"[1735786920.0, 1735786980.0, 1735787040.0, 1735787100.0, 1735787160.0, 1735787220.0, 1735787280.0, 1735787340.0, 1735787400.0, 1735787460.0]",192
20,SHORT,208,226,1735788480.0,1735789560.0,21335.25,21299.0,-145.0,-72.5,118.0,21.0,59.0,10.5,18.0,16.8,19,10,198,"[1735787880.0, 1735787940.0, 1735788000.0, 1735788060.0, 1735788120.0, 1735788180.0, 1735788240.0, 1735788300.0, 1735788360.0, 1735788420.0]",208
21,LONG,226,241,1735789560.0,1735790460.0,21299.0,21315.0,64.0,32.0,39.0,47.0,19.5,23.5,15.0,14.6,16,10,216,"[1735788960.0, 1735789020.0, 1735789080.0, 1735789140.0, 1735789200.0, 1735789260.0, 1735789320.0, 1735789380.0, 1735789440.0, 1735789500.0]",226
