tod_hour,all_events,extreme,extreme_rate_pct,pct_of_all,pct_of_extremes
2,645,133,20.6,9.9,29.1
3,385,31,8.1,5.9,6.8
4,345,12,3.5,5.3,2.6
5,305,19,6.2,4.7,4.2
6,313,21,6.7,4.8,4.6
7,368,18,4.9,5.7,3.9
8,329,9,2.7,5.1,2.0
9,336,14,4.2,5.2,3.1
10,232,10,4.3,3.6,2.2
11,242,11,4.5,3.7,2.4
12,261,15,5.7,4.0,3.3
13,451,40,8.9,6.9,8.8
14,579,56,9.7,8.9,12.3
15,485,36,7.4,7.5,7.9
16,352,6,1.7,5.4,1.3
17,269,10,3.7,4.1,2.2
18,170,7,4.1,2.6,1.5
19,162,4,2.5,2.5,0.9
20,136,4,2.9,2.1,0.9
21,39,0,0.0,0.6,0.0
22,43,0,0.0,0.7,0.0
23,48,1,2.1,0.7,0.2
