**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

x_feature,y_feature,pair,interaction_rms,max_abs_mean_fwd,max_win_rate,min_win_rate,wr_spread,n_total
L1_1h_body,L1_1h_price_velocity_1b,L1_1h_body__x__L1_1h_price_velocity_1b,12.20603616265857,30.166666666666668,0.6043478260869565,0.375,0.22934782608695647,46893
L1_5m_price_velocity_1b,L1_5m_body,L1_5m_price_velocity_1b__x__L1_5m_body,10.359013561284478,31.03125,0.75,0.4166666666666667,0.3333333333333333,46915
L1_15m_price_velocity_1b,L1_15m_body,L1_15m_price_velocity_1b__x__L1_15m_body,5.163709326974742,10.461442786069652,0.6666666666666666,0.3181818181818182,0.34848484848484845,46911
L1_1h_price_accel_1b,L3_15m_SE_high_w,L1_1h_price_accel_1b__x__L3_15m_SE_high_w,4.119034154044436,9.433777429467085,0.5446877243359656,0.4685123212655917,0.07617540307037385,46881
L2_15m_price_velocity_w,L2_1h_price_accel_w,L2_15m_price_velocity_w__x__L2_1h_price_accel_w,2.731701359787378,6.96314054540006,0.5373771339886187,0.48366796523823796,0.05370916875038079,46749
L1_1h_body,L2_1h_price_accel_w,L1_1h_body__x__L2_1h_price_accel_w,2.582305324988881,6.5171875,0.5663198959687906,0.49449396958573677,0.07182592638305385,46749
L3_15m_z_se_w,L3_15m_z_low_w,L3_15m_z_se_w__x__L3_15m_z_low_w,2.528002210027717,8.08024193548387,0.5779816513761468,0.4974441754102771,0.08053747596586969,46881
L3_15m_z_low_w,L1_1h_price_accel_1b,L3_15m_z_low_w__x__L1_1h_price_accel_1b,2.499618793797492,5.950518485121731,0.5520406170669792,0.4878268710550045,0.06421374601197466,46881
L2_15m_price_velocity_w,L1_1h_body,L2_15m_price_velocity_w__x__L1_1h_body,2.4247736807217577,5.875100644122384,0.5518943436499466,0.4786634460547504,0.07323089759519619,46878
L2_15m_price_velocity_w,L1_1h_price_accel_1b,L2_15m_price_velocity_w__x__L1_1h_price_accel_1b,2.3947198262054052,4.667361234261394,0.5581834010446894,0.48979153234472383,0.06839186869996561,46878
L1_1h_price_velocity_1b,L2_1h_price_accel_w,L1_1h_price_velocity_1b__x__L2_1h_price_accel_w,2.348847038026288,5.303616751269035,0.5583892617449664,0.502416392808815,0.05597286893615139,46749
L3_15m_z_se_w,L3_15m_z_high_w,L3_15m_z_se_w__x__L3_15m_z_high_w,2.3391306301775345,4.4754901960784315,0.5426395939086295,0.4959916347159289,0.046647959192700594,46881
L2_15m_price_velocity_w,L1_1h_price_velocity_1b,L2_15m_price_velocity_w__x__L1_1h_price_velocity_1b,2.301335624466011,5.012744698205546,0.5481432360742705,0.48613376835236544,0.062009467721905076,46878
L2_1h_price_accel_w,L3_1h_z_se_w,L2_1h_price_accel_w__x__L3_1h_z_se_w,2.231856639985561,3.67733027181333,0.5393272171253822,0.4930018800919156,0.04632533703346664,46749
L2_5m_price_velocity_w,L3_15m_z_se_w,L2_5m_price_velocity_w__x__L3_15m_z_se_w,2.1001830894977926,8.274099318403115,0.5589094449853943,0.48513777392059015,0.07377167106480415,46881
L1_1h_price_velocity_1b,L1_1h_price_accel_1b,L1_1h_price_velocity_1b__x__L1_1h_price_accel_1b,2.0357947025769416,4.652170963364993,0.5587431693989071,0.4890094979647218,0.0697336714341853,46881
L3_15m_z_high_w,L1_1h_price_accel_1b,L3_15m_z_high_w__x__L1_1h_price_accel_1b,2.0134642648664753,4.329091960670908,0.5601495948472885,0.49426781704290274,0.06588177780438581,46881
L3_15m_z_se_w,L2_1h_price_velocity_w,L3_15m_z_se_w__x__L2_1h_price_velocity_w,1.9439558167629047,5.397101449275362,0.543388834476004,0.49642049736247174,0.04696833711353221,46761
L3_15m_z_low_w,L2_1h_price_velocity_w,L3_15m_z_low_w__x__L2_1h_price_velocity_w,1.9125857130244044,4.525795770134587,0.5453333333333333,0.4817346720786157,0.06359866125471764,46761
L1_1h_price_accel_1b,L2_1h_price_accel_w,L1_1h_price_accel_1b__x__L2_1h_price_accel_w,1.890244034489134,4.774207650273224,0.5580327868852459,0.4902076451156206,0.06782514176962534,46749
L1_1h_body,L2_1h_price_velocity_w,L1_1h_body__x__L2_1h_price_velocity_w,1.8871720515909454,4.878732183045761,0.5419141002623947,0.49902475618904724,0.04288934407334749,46761
L2_1h_price_accel_w,L2_1h_price_velocity_w,L2_1h_price_accel_w__x__L2_1h_price_velocity_w,1.8838668274110657,4.716340269277846,0.5426039536468984,0.49359104781281793,0.04901290583408047,46749
L2_15m_price_velocity_w,L3_15m_SE_high_w,L2_15m_price_velocity_w__x__L3_15m_SE_high_w,1.877646940309828,4.975615398852489,0.5421113689095127,0.4791044776119403,0.06300689129757242,46878
L3_1h_z_se_w,L3_15m_SE_high_w,L3_1h_z_se_w__x__L3_15m_SE_high_w,1.8555758395105137,4.5,0.5453157794314062,0.4910913140311804,0.054224465400225796,46773
L1_1h_body,L1_1h_price_accel_1b,L1_1h_body__x__L1_1h_price_accel_1b,1.8113609823826897,3.540068493150685,0.5673333333333334,0.4900924702774108,0.07724086305592254,46881
L2_1m_price_velocity_w,L2_15m_price_accel_w,L2_1m_price_velocity_w__x__L2_15m_price_accel_w,1.8024095835842864,3.1143520752895753,0.5441602316602316,0.4895035811311435,0.054656650529088135,46875
L2_15m_price_velocity_w,L3_1h_z_se_w,L2_15m_price_velocity_w__x__L3_1h_z_se_w,1.7693720042418086,5.435202889313788,0.5322341999577256,0.4813327032136106,0.05090149674411498,46773
L2_5m_price_velocity_w,L3_15m_z_high_w,L2_5m_price_velocity_w__x__L3_15m_z_high_w,1.7505055388360953,5.58015407190022,0.5480557593543653,0.4981116240033571,0.04994413535100822,46881
L3_15m_z_high_w,L3_1h_z_se_w,L3_15m_z_high_w__x__L3_1h_z_se_w,1.7437218433876795,4.454987947339143,0.5501649524548806,0.4836916234247591,0.06647332903012154,46773
L1_1h_price_accel_1b,L2_1h_price_velocity_w,L1_1h_price_accel_1b__x__L2_1h_price_velocity_w,1.7245713553800135,3.9049834753870236,0.5424661843346964,0.4816783747864059,0.060787809548290495,46761
L2_5m_price_velocity_w,L2_15m_price_accel_w,L2_5m_price_velocity_w__x__L2_15m_price_accel_w,1.6753628538028302,3.4391654097536453,0.5443690296631473,0.49395667046750286,0.05041235919564441,46875
L1_1h_price_velocity_1b,L2_1h_price_velocity_w,L1_1h_price_velocity_1b__x__L2_1h_price_velocity_w,1.660255261242554,4.806191467221644,0.5392995035852178,0.4979468338015993,0.04135266978361851,46761
L3_15m_z_high_w,L3_15m_z_low_w,L3_15m_z_high_w__x__L3_15m_z_low_w,1.6476731022428768,5.3135055038103305,0.5616709003669207,0.5,0.06167090036692069,46881
L1_15m_body,L2_15m_price_accel_w,L1_15m_body__x__L2_15m_price_accel_w,1.6190271092276713,4.076514678326046,0.5382436260623229,0.4891273651510873,0.04911626091123561,46875
L3_1h_z_se_w,L2_1h_price_velocity_w,L3_1h_z_se_w__x__L2_1h_price_velocity_w,1.5434556137102977,5.355576639257854,0.547438330170778,0.47705146036161333,0.0703868698091647,46761
L3_15m_z_se_w,L1_1h_price_accel_1b,L3_15m_z_se_w__x__L1_1h_price_accel_1b,1.538717391425706,3.8540285568587453,0.5535303146584805,0.4931720639875146,0.06035825067096584,46881
L2_5m_price_velocity_w,L1_1h_price_accel_1b,L2_5m_price_velocity_w__x__L1_1h_price_accel_1b,1.4803669227671197,4.814298750526463,0.5488458848216368,0.4929390997352162,0.05590678508642055,46881
