direction,entry_ts,exit_ts,entry_price,exit_price,pnl,peak_pnl,exit_reason,bayes_exit_ts,bayes_exit_price,bayes_exit_reason,bayes_pnl,delta_vs_actual
long,1761710100,1761710105,26244.0,26244.0,0.0,0.0,z_15s_overshoot,1761710400,26243.0,past_peak_h5m_giveback_30pct,-2.0,-2.0
long,1761717780,1761717900,26257.25,26264.5,14.5,14.5,z_se_retracement,1761718075,26260.75,past_peak_h5m_giveback_30pct,7.0,-7.5
long,1761719820,1761719940,26277.5,26277.75,0.5,0.5,z_se_retracement,1761720115,26277.75,past_peak_h5m_giveback_30pct,0.5,0.0
long,1761719940,1761720000,26277.75,26274.0,-7.5,0.0,z_se_retracement,1761720235,26278.0,past_peak_h5m_giveback_30pct,0.5,8.0
short,1761720180,1761720185,26277.75,26277.75,0.0,0.0,z_15s_overshoot,1761720440,26278.75,past_peak_h4m_giveback_30pct,-2.0,-2.0
long,1761720780,1761720840,26274.25,26276.75,5.0,5.0,z_15s_overshoot,1761721075,26277.75,past_peak_h5m_giveback_30pct,7.0,2.0
long,1761720840,1761720845,26276.75,26276.75,0.0,0.0,z_15s_overshoot,1761721150,26279.5,past_peak_h5m_giveback_30pct,5.5,5.5
short,1761721020,1761721040,26277.75,26277.75,0.0,0.0,z_15s_overshoot,1761721275,26279.0,past_peak_h4m_giveback_30pct,-2.5,-2.5
short,1761721140,1761721245,26281.25,26281.0,0.5,0.5,z_15s_overshoot,1761721530,26272.0,past_peak_h4m_giveback_30pct,18.5,18.0
short,1761721260,1761721320,26278.5,26270.25,16.5,16.5,z_se_retracement,1761721525,26271.25,past_peak_h4m_giveback_30pct,14.5,-2.0
short,1761721860,1761721920,26274.5,26279.0,-9.0,0.0,z_se_retracement,1761722390,26275.5,past_peak_h4m_giveback_30pct,-2.0,7.0
short,1761721980,1761722100,26280.25,26283.5,-6.5,0.0,z_se_retracement,1761722265,26280.25,past_peak_h4m_giveback_30pct,0.0,6.5
long,1761722460,1761722465,26262.75,26262.75,0.0,0.0,z_15s_overshoot,1761723040,26273.5,past_peak_h5m_giveback_30pct,21.5,21.5
short,1761722820,1761722825,26273.0,26273.0,0.0,0.0,z_15s_overshoot,1761723075,26277.25,past_peak_h4m_giveback_30pct,-8.5,-8.5
short,1761722940,1761723000,26276.0,26273.5,5.0,5.0,z_se_retracement,1761723195,26279.0,past_peak_h4m_giveback_30pct,-6.0,-11.0
long,1761724260,1761724305,26282.0,26282.0,0.0,0.0,z_15s_overshoot,1761724610,26288.5,past_peak_h5m_giveback_30pct,13.0,13.0
short,1761724440,1761724500,26290.0,26290.75,-1.5,0.0,z_se_retracement,1761724695,26292.5,past_peak_h4m_giveback_30pct,-5.0,-3.5
short,1761724680,1761724690,26292.5,26292.5,0.0,0.0,z_15s_overshoot,1761724935,26295.5,past_peak_h4m_giveback_30pct,-6.0,-6.0
short,1761724980,1761724985,26299.25,26299.25,0.0,0.0,z_15s_overshoot,1761725235,26300.0,past_peak_h4m_giveback_30pct,-1.5,-1.5
long,1761725520,1761725525,26293.25,26293.25,0.0,0.0,z_15s_overshoot,1761725815,26290.75,past_peak_h5m_giveback_30pct,-5.0,-5.0
long,1761725580,1761725670,26291.25,26289.5,-3.5,0.0,z_15s_overshoot,1761726100,26303.25,past_peak_h5m_giveback_30pct,24.0,27.5
short,1761725880,1761726060,26305.25,26304.75,1.0,1.0,z_se_retracement,1761726145,26301.75,past_peak_h4m_giveback_30pct,7.0,6.0
long,1761726420,1761726480,26290.25,26292.0,3.5,3.5,z_se_retracement,1761726715,26293.0,past_peak_h5m_giveback_30pct,5.5,2.0
short,1761726720,1761726750,26299.25,26299.25,0.0,0.0,z_15s_overshoot,1761727330,26280.75,past_peak_h4m_giveback_30pct,37.0,37.0
short,1761726780,1761726840,26298.5,26290.0,17.0,17.0,z_se_retracement,1761727330,26280.75,past_peak_h4m_giveback_30pct,35.5,18.5
long,1761728100,1761728160,26270.25,26265.0,-10.5,0.0,z_se_retracement,1761728985,26258.25,time_stop_3x_peak_5m,-24.0,-13.5
short,1761730680,1761730685,26236.0,26236.0,0.0,0.0,z_15s_overshoot,1761730940,26235.5,past_peak_h4m_giveback_30pct,1.0,1.0
short,1761730740,1761730920,26238.0,26237.25,1.5,5.5,z_se_retracement,1761730995,26239.5,past_peak_h4m_giveback_30pct,-3.0,-4.5
short,1761731040,1761731100,26234.25,26230.25,8.0,8.0,z_se_retracement,1761731295,26230.25,past_peak_h4m_giveback_30pct,8.0,0.0
long,1761731100,1761731160,26230.25,26232.75,5.0,5.0,z_15s_overshoot,1761731395,26230.0,past_peak_h5m_giveback_30pct,-0.5,-5.5
short,1761731460,1761731520,26236.75,26236.0,1.5,1.5,z_se_retracement,1761731740,26235.75,past_peak_h4m_giveback_30pct,2.0,0.5
