,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurtosis
upper_wick,677128.0,41.98499692820264,726.4640585044463,0.0,0.0,0.0,0.0,0.5,1.25,236.0,258.25,25985.65,33.760469694175704,1148.0178269003245
lower_wick,677128.0,1653.5317894105694,6154.221600083335,0.0,0.0,0.0,0.0,0.5,1.25,24049.6,25326.2,26109.15,3.46434840990896,10.015400245284912
body,677128.0,397.50117806382246,3076.724374728666,0.0,0.0,0.0,0.5,1.25,2.75,11.25,24337.395999999997,26103.3,7.754821811583777,58.189609055158904
range,677128.0,2093.0179644025943,6841.308893475018,0.04999999999998295,0.25,0.5,1.5,2.75,6.75,24476.0,25443.222999999998,26543.1,3.006722469762882,7.052361594178451
volume,677128.0,103.78060573480937,192.0178723048328,2.0,2.0,4.0,11.0,30.0,118.0,436.0,856.0,7859.0,6.766522092198972,112.95774590142071
return,677128.0,0.9128018660358472,9.603607369578311,-0.9915565173314618,-0.010087924587959459,-0.00024498686469813795,-5.305264944932553e-05,0.0,5.340297080841383e-05,0.00024303686745169624,0.010184970253171347,117.44493188640037,10.330697681476558,104.85909890997951
norm_upper_wick,677128.0,0.24322368063247532,0.30028021794559157,0.0,0.0,0.0,0.0,0.125,0.4,0.9764667109781768,1.0,1.0,1.1872619959357957,0.3525076173842927
norm_lower_wick,677128.0,0.26250055632062735,0.3169346759580126,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.9979274611398964,1.0,1.0,1.1289791194744947,0.1288388619547023
norm_body,677128.0,0.49427576304689735,0.3535795271467051,0.0,0.0,0.0,0.16666666666666666,0.5,0.8,1.0,1.0,1.0,0.009443394521586572,-1.3472619020236347
