================================================================================
IS FORWARD PASS COMPLETE  (run: 2026-03-19 12:25:45)
  Commit: 9a4460cf  -- revert: disable peak override on exits (held losers too long)
  Changes: 1 file changed, 20 insertions(+), 72 deletions(-)
  Period: DATA\ATLAS\15s\2025_01.parquet to 2026_01 (13 files)
Total Trades: 2010
Win Rate: 56.8%
Total PnL: $1942.87

── WORKER STATES LOADED ──
  1h=489/file(13/13 files ok)  30m=978/file(13/13 files ok)  15m=1956/file(13/13 files ok)  5m=5864/file(13/13 files ok)  3m=9764/file(13/13 files ok)
  1m=29175/file(13/13 files ok)  30s=58046/file(13/13 files ok)  15s=114136/file(13/13 files ok)  5s=315565/file(13/13 files ok)  1s=1985918/file(13/13 files ok)

── DAILY SESSION LEDGER ──
  Date         Trades  Wins    WR%      Day PnL    Min Dip    Cumul PnL   Cumul DD
  ──────────────────────────────────────────────────────────────────────────────────────────
  2025-01-02       24     9  37.5% $     +7.50        $0 $     +7.50 $   88.00
  2025-01-03        2     1  50.0% $     -2.00 $   -2.00 $     +5.50 $   90.00
  2025-01-06       12     8  66.7% $     -1.00 $   -1.00 $     +4.50 $   91.00
  2025-01-07        4     2  50.0% $     -0.50 $   -0.50 $     +4.00 $   91.50
  2025-01-08        1     0   0.0% $     -2.50 $   -2.50 $     +1.50 $   94.00
  2025-01-09        1     0   0.0% $    -21.50 $  -21.50 $    -20.00 $  115.50
  2025-01-10        8     5  62.5% $    -19.00 $  -19.00 $    -39.00 $  134.50
  2025-01-12        1     0   0.0% $     -4.50 $   -4.50 $    -43.50 $  139.00
  2025-01-13        6     3  50.0% $     -6.00 $   -6.00 $    -49.50 $  145.00
  2025-01-14       28    16  57.1% $    -10.88 $  -10.88 $    -60.38 $  155.88
  2025-01-15        1     0   0.0% $     -6.50 $   -6.50 $    -66.88 $  162.38
  2025-01-16        7     5  71.4% $     -2.00 $   -2.00 $    -68.88 $  164.38
  2025-01-17        7     4  57.1% $     -0.50 $   -0.50 $    -69.38 $  164.88
  2025-01-19        1     1 100.0% $     +2.00        $0 $    -67.38 $  162.88
  2025-01-20        1     0   0.0% $     -1.50 $   -1.50 $    -68.88 $  164.38
  2025-01-21        1     0   0.0% $    -18.00 $  -18.00 $    -86.88 $  182.38
  2025-01-22        2     1  50.0% $     -0.50 $   -0.50 $    -87.38 $  182.88
  2025-01-23       21    13  61.9% $    -12.00 $  -12.00 $    -99.38 $  194.88
  2025-01-24        1     0   0.0% $     -2.00 $   -2.00 $   -101.38 $  196.88
  2025-01-27       10     4  40.0% $    -34.00 $  -34.00 $   -135.38 $  230.88
  2025-01-28        1     0   0.0% $     -5.50 $   -5.50 $   -140.88 $  236.38
