
======================================================================
BASELINE REPORT (physics only, no CNN)
Generated: 2026-05-24 07:29:48
======================================================================

Dataset             $/day   Trades      WinDays   Days
--------------------------------------------------------
IS                    -81    3,574  125/277  (45%)  277
OOS                  +110      985   36/68   (53%)   68

PRIMARY TRADES:
Tier                  Trades    WR     $/tr    $/day
----------------------------------------------------
MTF_BREAKOUT            2322   49%      1.0       +9
FADE_CALM                230   47%     -2.8       -2
FADE_AGAINST             250   46%    -13.2      -12
TOTAL PRIMARY           2802                      -6

CHAIN TRADES:
Tier                  Trades    WR     $/tr    $/day
----------------------------------------------------
FADE_AGAINST             275   45%    -16.9      -17
MTF_EXHAUSTION            31   29%   -164.0      -18
FADE_CALM                466   44%    -24.1      -40
TOTAL CHAIN              772                     -76

IS DISTRIBUTION:
  Mean:   $-81
  Median: $-72
  Mode:   $+0 bucket (69 days)
  P5/P25/P75/P95: $-2,747 / $-1,172 / $+606 / $+3,489
  Worst:  $-14,762 (2025_04_09)
  Best:   $+9,247 (2025_04_04)

OOS DISTRIBUTION:
  Mean:   $+110
  Median: $+12
  Mode:   $+0 bucket (19 days)
  P5/P25/P75/P95: $-3,023 / $-1,030 / $+819 / $+3,651
  Worst:  $-4,689 (2026_02_06)
  Best:   $+6,514 (2026_02_05)

DAY-OF-WEEK ANALYSIS:
  IS:
  Day           Days   Win    WR    $/day   Losing
  --------------------------------------------------
  Monday          44    17   39%     -564       27
  Tuesday         46    23   50%      -62       23
  Wednesday       48    16   33%     -807       32
  Thursday        48    27   56%     +637       21
  Friday          47    21   45%     +333       26
  Sunday          44    21   48%      -53       23

  OOS:
  Day           Days   Win    WR    $/day   Losing
  --------------------------------------------------
  Monday          11     2   18%   -1,548        9
  Tuesday         11     3   27%      -66        8
  Wednesday       11     7   64%     +378        4
  Thursday        12    10   83%   +1,460        2
  Friday          12     7   58%     +225        5
  Sunday          11     7   64%      +76        4

LOSING DAYS:
  IS (152 losing):
  Day            DOW             PnL  Trades
  2025_06_09     Monday         -659       4
  2025_05_06     Tuesday        -658       7
  2025_09_19     Friday         -650      13
  2025_07_21     Monday         -648       4
  2025_10_02     Thursday       -635       9
  2025_02_06     Thursday       -612      18
  2025_09_09     Tuesday        -582       4
  2025_02_12     Wednesday      -567       9
  2025_02_14     Friday         -558      10
  2025_03_04     Tuesday        -543       5
  2025_09_08     Monday         -530      43
  2025_08_31     Sunday         -504       4
  2025_10_06     Monday         -478      15
  2025_12_10     Wednesday      -464       4
  2025_07_10     Thursday       -464      31
  2025_10_29     Wednesday      -454       4
  2025_01_23     Thursday       -380       5
  2025_05_22     Thursday       -380      31
  2025_12_19     Friday         -354       9
  2025_09_17     Wednesday      -330       4
  2025_05_26     Monday         -319      22
  2025_08_07     Thursday       -317      10
  2025_05_30     Friday         -308      10
  2025_06_15     Sunday         -306       7
  2025_05_11     Sunday         -301      13
  2025_07_25     Friday         -294      36
  2025_02_09     Sunday         -278       1
  2025_05_15     Thursday       -244       5
  2025_05_09     Friday         -242      27
  2025_02_11     Tuesday        -232      12
  2025_11_14     Friday         -229      29
  2025_07_16     Wednesday      -219      12
  2025_10_19     Sunday         -214      12
  2025_06_04     Wednesday      -202      24
  2025_03_16     Sunday         -200      15
  2025_07_20     Sunday         -200      15
  2025_03_09     Sunday         -190       5
  2025_10_05     Sunday         -174      12
  2025_12_18     Thursday       -160      42
  2025_03_07     Friday         -136      16
  2025_01_13     Monday         -119       6
  2025_11_27     Thursday       -110       9
  2025_03_02     Sunday         -108       4
  2025_01_19     Sunday         -106       4
  2025_11_30     Sunday         -105       4
  2025_02_18     Tuesday         -99       7
  2025_04_17     Thursday        -88       4
  2025_05_04     Sunday          -86      10
  2025_04_27     Sunday          -80      11
  2025_11_23     Sunday          -72       2
  2025_12_03     Wednesday       -68      10
  2025_09_10     Wednesday       -68       7
  2025_07_27     Sunday          -60       6
  2025_09_07     Sunday          -59       4
  2025_12_05     Friday          -58      31
