**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,parent_motif_idx,shape_class,parent_15m_cluster,cluster_5m,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_01_01,0,0,NOISE,NOISE_NOISE,-1,0.0,False,59.92,5.104
2025_01_02,0,0,NOISE,NOISE_NOISE,-1,0.0,False,40.0,7.574
2025_01_02,1,0,LINEAR_UP,NOISE_NOISE,1,117.25,False,100.0,2.256
2025_01_02,2,0,FLATLINE,NOISE_NOISE,1,4.0,False,5.0,2.106
2025_01_02,3,0,LINEAR_UP,NOISE_NOISE,1,18.5,False,45.0,5.105
2025_01_02,4,0,FLATLINE,NOISE_NOISE,1,2.75,False,5.0,1.9
2025_01_02,5,0,FLATLINE,NOISE_NOISE,1,17.0,False,15.0,3.043
2025_01_02,6,0,FLATLINE,NOISE_NOISE,1,5.75,False,5.0,2.029
2025_01_02,7,0,FLATLINE,NOISE_NOISE,1,-6.0,False,5.0,0.67
2025_01_02,8,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,14.0,False,50.0,3.535
2025_01_02,9,0,LINEAR_UP,NOISE_NOISE,1,75.25,False,165.0,3.876
2025_01_02,10,0,FLATLINE,NOISE_NOISE,1,1.25,False,10.0,2.941
2025_01_02,11,0,FLATLINE,NOISE_NOISE,1,-2.5,False,5.0,2.109
2025_01_02,12,0,EXPONENTIAL_DOWN,NOISE_NOISE,1,19.5,False,30.0,4.835
2025_01_02,13,0,FLATLINE,NOISE_NOISE,1,64.0,False,15.0,2.916
2025_01_02,0,1,FLATLINE,FLATLINE_C6,0,-40.75,False,10.0,1.862
2025_01_02,1,1,FLATLINE,FLATLINE_C6,-1,35.25,False,20.0,2.002
2025_01_02,0,2,FLATLINE,FLATLINE_C9,-1,-17.75,False,20.0,1.022
2025_01_02,1,2,LOGARITHMIC_UP,FLATLINE_C9,1,34.5,False,45.0,2.379
2025_01_02,2,2,FLATLINE,FLATLINE_C9,3,12.0,False,5.0,1.221
2025_01_02,3,2,FLATLINE,FLATLINE_C9,3,21.0,False,5.0,1.464
2025_01_02,0,3,FLATLINE,FLATLINE_C9,3,22.5,False,20.0,3.406
2025_01_02,1,3,FLATLINE,FLATLINE_C9,3,-1.0,False,5.0,0.901
2025_01_02,2,3,FLATLINE,FLATLINE_C9,3,-0.25,False,5.0,1.264
2025_01_02,3,3,FLATLINE,FLATLINE_C9,3,16.25,False,10.0,1.58
2025_01_02,4,3,FLATLINE,FLATLINE_C9,3,1.5,False,5.0,0.891
2025_01_02,5,3,FLATLINE,FLATLINE_C9,3,-0.25,False,5.0,1.226
2025_01_02,6,3,FLATLINE,FLATLINE_C9,-1,17.0,False,5.0,2.374
2025_01_02,7,3,FLATLINE,FLATLINE_C9,3,18.5,False,5.0,1.004
2025_01_02,0,4,FLATLINE,LINEAR_UP_C3,1,1.5,False,30.0,2.368
2025_01_02,1,4,FLATLINE,LINEAR_UP_C3,1,10.25,False,5.0,0.917
2025_01_02,2,4,LINEAR_UP,LINEAR_UP_C3,0,87.5,True,65.0,4.322
2025_01_02,3,4,EXPONENTIAL_DOWN,LINEAR_UP_C3,1,56.0,False,50.0,4.528
2025_01_02,4,4,FLATLINE,LINEAR_UP_C3,1,37.25,False,15.0,2.69
2025_01_02,5,4,FLATLINE,LINEAR_UP_C3,1,44.25,False,15.0,1.583
2025_01_02,0,5,EXPONENTIAL_DOWN,LINEAR_DOWN_NOISE,0,110.25,False,50.0,6.029
2025_01_02,1,5,FLATLINE,LINEAR_DOWN_NOISE,1,-26.0,False,40.0,1.522
2025_01_02,2,5,LINEAR_DOWN,LINEAR_DOWN_NOISE,1,31.75,False,45.0,2.727
2025_01_02,3,5,FLATLINE,LINEAR_DOWN_NOISE,1,52.5,False,20.0,0.974
2025_01_02,4,5,FLATLINE,LINEAR_DOWN_NOISE,1,-0.75,False,5.0,1.469
2025_01_02,5,5,LOGARITHMIC_UP,LINEAR_DOWN_NOISE,1,-3.5,False,40.0,2.183
2025_01_02,6,5,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,250.75,True,65.0,5.443
2025_01_02,7,5,FLATLINE,LINEAR_DOWN_NOISE,1,7.75,False,5.0,0.962
2025_01_02,8,5,FLATLINE,LINEAR_DOWN_NOISE,1,-9.25,False,15.0,1.809
2025_01_02,9,5,FLATLINE,LINEAR_DOWN_NOISE,1,-34.25,False,5.0,0.985
2025_01_02,10,5,FLATLINE,LINEAR_DOWN_NOISE,1,11.75,False,5.0,2.027
2025_01_02,11,5,EXPONENTIAL_UP,LINEAR_DOWN_NOISE,1,104.5,False,60.0,3.154
2025_01_02,12,5,FLATLINE,LINEAR_DOWN_NOISE,1,48.75,False,5.0,1.935
2025_01_02,13,5,FLATLINE,LINEAR_DOWN_NOISE,1,79.0,False,15.0,2.992
2025_01_02,0,6,LINEAR_UP,LINEAR_UP_NOISE,1,34.25,False,90.0,3.717
2025_01_02,1,6,FLATLINE,LINEAR_UP_NOISE,0,2.5,False,5.0,1.626
2025_01_02,2,6,FLATLINE,LINEAR_UP_NOISE,0,-0.75,False,5.0,2.001
2025_01_02,3,6,LINEAR_DOWN,LINEAR_UP_NOISE,0,19.0,True,124.92,4.032
2025_01_03,0,0,NOISE,NOISE_NOISE,-1,0.0,False,75.0,2.111
2025_01_03,0,1,EXPONENTIAL_DOWN,FLATLINE_C1,2,16.5,False,45.0,3.106
2025_01_03,0,2,EXPONENTIAL_UP,EXPONENTIAL_UP_C1,1,12.25,False,45.0,2.258
2025_01_03,1,2,FLATLINE,EXPONENTIAL_UP_C1,0,7.5,False,5.0,1.556
2025_01_03,2,2,EXPONENTIAL_UP,EXPONENTIAL_UP_C1,1,24.25,False,60.0,2.811
2025_01_03,3,2,FLATLINE,EXPONENTIAL_UP_C1,-1,3.75,False,10.0,3.277
2025_01_03,0,3,LINEAR_DOWN,FLATLINE_C1,2,15.25,False,45.0,3.396
2025_01_03,0,4,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,5.0,False,55.0,3.505
2025_01_03,1,4,FLATLINE,LINEAR_DOWN_NOISE,2,1.0,False,10.08,1.991
2025_01_03,2,4,EXPONENTIAL_UP,LINEAR_DOWN_NOISE,0,9.75,False,69.92,3.638
2025_01_03,3,4,LINEAR_DOWN,LINEAR_DOWN_NOISE,-1,4.25,False,30.0,3.264
2025_01_03,0,5,FLATLINE,FLATLINE_C3,2,-0.75,False,10.0,0.93
2025_01_03,1,5,LINEAR_UP,FLATLINE_C3,-1,13.5,False,45.0,5.401
