scale,side,n_is,n_oos,P_up_IS,CI_IS_lo,CI_IS_hi,P_up_OOS,sign_match,mean_fwd_IS,mean_fwd_OOS,med_dur_min,IS_edge
1h_vs_4h,high_q90+,861,226,0.5365,0.5032,0.5697,0.5044,1,-0.69,-5.53,29.75,0.03649999999999998
5m_vs_1h,low_q10-,5866,1533,0.531,0.5182,0.5438,0.4951,0,0.31,-0.72,2.83,0.031000000000000028
5m_vs_4h,high_q90+,6056,1506,0.5282,0.5156,0.5408,0.4973,0,-0.44,-4.0,3.25,0.028200000000000003
5m_vs_4h,low_q10-,4986,1433,0.5275,0.5136,0.5413,0.5366,1,2.25,3.14,2.83,0.02749999999999997
15m_vs_4h,high_q90+,2388,597,0.5238,0.5038,0.5438,0.5175,1,0.4,-2.93,9.33,0.023800000000000043
5m_vs_1h,high_q90+,7270,1936,0.5216,0.5101,0.5331,0.5315,1,-0.34,3.85,3.17,0.021599999999999953
15m_vs_4h,low_q10-,2297,634,0.5194,0.4989,0.5398,0.5236,1,1.84,0.33,6.67,0.019399999999999973
1m_vs_1h,low_q10-,6776,1500,0.518,0.5061,0.5299,0.5007,1,0.02,-3.01,1.5,0.018000000000000016
1m_vs_1h,high_q90+,5980,1421,0.5154,0.5027,0.528,0.5334,1,-1.13,4.95,1.33,0.01539999999999997
1h_vs_4h,low_q10-,756,230,0.5145,0.4789,0.55,0.5991,1,1.67,3.26,24.67,0.014499999999999957
