concept,tf,regime_2d,lag_k,n_pairs,p_q4_given_q4
price_sigma_w,5s,UP_SMOOTH,1,1429,0.5549335199440167
price_sigma_w,5s,UP_SMOOTH,2,1424,0.5435393258426966
price_sigma_w,5s,UP_SMOOTH,3,1423,0.5291637385804638
price_sigma_w,5s,UP_SMOOTH,4,1421,0.5228712174524982
price_sigma_w,5s,UP_SMOOTH,5,1417,0.5088214537755822
price_sigma_w,5s,UP_SMOOTH,6,1412,0.4964589235127479
price_sigma_w,5s,UP_SMOOTH,7,1409,0.4854506742370476
price_sigma_w,5s,UP_SMOOTH,8,1407,0.47903340440653874
price_sigma_w,5s,UP_SMOOTH,9,1401,0.46538187009279086
price_sigma_w,5s,UP_SMOOTH,10,1399,0.4610436025732666
price_sigma_w,5s,UP_SMOOTH,11,1393,0.4644651830581479
price_sigma_w,5s,UP_SMOOTH,12,1384,0.46459537572254334
price_sigma_w,5s,UP_SMOOTH,13,1375,0.45236363636363636
price_sigma_w,5s,UP_SMOOTH,14,1370,0.45474452554744527
price_sigma_w,5s,UP_SMOOTH,15,1366,0.44363103953147875
price_sigma_w,5s,UP_SMOOTH,16,1357,0.4576271186440678
price_sigma_w,5s,UP_SMOOTH,17,1350,0.4488888888888889
price_sigma_w,5s,UP_SMOOTH,18,1344,0.44419642857142855
price_sigma_w,5s,UP_SMOOTH,19,1342,0.43815201192250375
price_sigma_w,5s,UP_SMOOTH,20,1340,0.42313432835820897
price_sigma_w,5s,UP_CHOPPY,1,784,0.5867346938775511
price_sigma_w,5s,UP_CHOPPY,2,782,0.5664961636828645
price_sigma_w,5s,UP_CHOPPY,3,781,0.559539052496799
price_sigma_w,5s,UP_CHOPPY,4,780,0.532051282051282
price_sigma_w,5s,UP_CHOPPY,5,778,0.5295629820051414
price_sigma_w,5s,UP_CHOPPY,6,776,0.5360824742268041
price_sigma_w,5s,UP_CHOPPY,7,773,0.5304010349288486
price_sigma_w,5s,UP_CHOPPY,8,772,0.5194300518134715
price_sigma_w,5s,UP_CHOPPY,9,771,0.5201037613488976
price_sigma_w,5s,UP_CHOPPY,10,771,0.5123216601815823
price_sigma_w,5s,UP_CHOPPY,11,769,0.5266579973992198
