**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,run_pos,lo,hi,n,mean_fwd,win_rate
price_sigma_w,15m,FLAT_SMOOTH,bar_17p,17,9999,1055,-0.5199052132701422,0.5364928909952607
price_sigma_w,15m,FLAT_CHOPPY,bar_1,1,1,107,5.707943925233645,0.5233644859813084
price_sigma_w,15m,FLAT_CHOPPY,bar_2,2,2,107,5.829439252336448,0.5514018691588785
price_sigma_w,15m,FLAT_CHOPPY,bar_3_4,3,4,207,4.641304347826087,0.5217391304347826
price_sigma_w,15m,FLAT_CHOPPY,bar_5_8,5,8,390,9.107051282051282,0.5923076923076923
price_sigma_w,15m,FLAT_CHOPPY,bar_9_16,9,16,682,9.620967741935484,0.5527859237536656
price_sigma_w,15m,FLAT_CHOPPY,bar_17p,17,9999,2171,-2.3390142791340396,0.5177337632427452
price_sigma_w,1h,UP_SMOOTH,bar_3_4,3,4,34,7.602941176470588,0.5882352941176471
price_sigma_w,1h,UP_SMOOTH,bar_5_8,5,8,68,-7.345588235294118,0.5441176470588235
price_sigma_w,1h,UP_SMOOTH,bar_9_16,9,16,132,-3.492424242424242,0.5757575757575758
price_sigma_w,1h,UP_SMOOTH,bar_17p,17,9999,1172,27.489121160409557,0.5631399317406144
price_sigma_w,1h,UP_CHOPPY,bar_5_8,5,8,36,15.8125,0.3888888888888889
price_sigma_w,1h,UP_CHOPPY,bar_9_16,9,16,64,18.58984375,0.5
price_sigma_w,1h,UP_CHOPPY,bar_17p,17,9999,656,19.008765243902438,0.5274390243902439
price_sigma_w,1h,DOWN_SMOOTH,bar_5_8,5,8,48,-11.65625,0.4791666666666667
price_sigma_w,1h,DOWN_SMOOTH,bar_9_16,9,16,92,-20.741847826086957,0.40217391304347827
price_sigma_w,1h,DOWN_SMOOTH,bar_17p,17,9999,748,-33.217245989304814,0.39705882352941174
price_sigma_w,1h,DOWN_CHOPPY,bar_5_8,5,8,32,27.640625,0.71875
price_sigma_w,1h,DOWN_CHOPPY,bar_9_16,9,16,64,34.34765625,0.59375
price_sigma_w,1h,DOWN_CHOPPY,bar_17p,17,9999,472,-14.857521186440678,0.4046610169491525
price_sigma_w,1h,FLAT_SMOOTH,bar_3_4,3,4,50,8.495,0.62
price_sigma_w,1h,FLAT_SMOOTH,bar_5_8,5,8,100,6.555,0.6
price_sigma_w,1h,FLAT_SMOOTH,bar_9_16,9,16,200,19.1075,0.615
price_sigma_w,1h,FLAT_SMOOTH,bar_17p,17,9999,1556,2.672236503856041,0.5334190231362468
price_sigma_w,1h,FLAT_CHOPPY,bar_1,1,1,43,9.732558139534884,0.5348837209302325
price_sigma_w,1h,FLAT_CHOPPY,bar_2,2,2,43,4.813953488372093,0.5813953488372093
price_sigma_w,1h,FLAT_CHOPPY,bar_3_4,3,4,86,8.273255813953488,0.5581395348837209
price_sigma_w,1h,FLAT_CHOPPY,bar_5_8,5,8,172,4.7063953488372094,0.5581395348837209
price_sigma_w,1h,FLAT_CHOPPY,bar_9_16,9,16,328,8.208079268292684,0.5213414634146342
price_sigma_w,1h,FLAT_CHOPPY,bar_17p,17,9999,3000,2.55975,0.5456666666666666
bar_range,5s,UP_SMOOTH,bar_1,1,1,645,17.01279069767442,0.6248062015503876
bar_range,5s,UP_SMOOTH,bar_2,2,2,226,18.951327433628318,0.6371681415929203
bar_range,5s,UP_SMOOTH,bar_3_4,3,4,209,20.49043062200957,0.645933014354067
bar_range,5s,UP_SMOOTH,bar_5_8,5,8,181,45.94198895027624,0.6795580110497238
bar_range,5s,UP_SMOOTH,bar_9_16,9,16,145,58.07586206896552,0.8275862068965517
bar_range,5s,UP_SMOOTH,bar_17p,17,9999,183,154.27868852459017,0.73224043715847
bar_range,5s,UP_CHOPPY,bar_1,1,1,334,20.433383233532933,0.655688622754491
bar_range,5s,UP_CHOPPY,bar_2,2,2,120,26.141666666666666,0.625
bar_range,5s,UP_CHOPPY,bar_3_4,3,4,110,45.81590909090909,0.7090909090909091
bar_range,5s,UP_CHOPPY,bar_5_8,5,8,91,60.244505494505496,0.7692307692307693
bar_range,5s,UP_CHOPPY,bar_9_16,9,16,63,36.32936507936508,0.6984126984126984
bar_range,5s,UP_CHOPPY,bar_17p,17,9999,166,46.71084337349398,0.572289156626506
bar_range,5s,DOWN_SMOOTH,bar_1,1,1,370,-44.317567567567565,0.35405405405405405
bar_range,5s,DOWN_SMOOTH,bar_2,2,2,134,-62.61194029850746,0.35074626865671643
bar_range,5s,DOWN_SMOOTH,bar_3_4,3,4,104,-46.45432692307692,0.38461538461538464
bar_range,5s,DOWN_SMOOTH,bar_5_8,5,8,98,-21.885204081632654,0.41836734693877553
bar_range,5s,DOWN_SMOOTH,bar_9_16,9,16,105,-1.1476190476190475,0.5523809523809524
bar_range,5s,DOWN_SMOOTH,bar_17p,17,9999,137,-74.5948905109489,0.36496350364963503
bar_range,5s,DOWN_CHOPPY,bar_1,1,1,248,-20.041330645161292,0.3709677419354839
bar_range,5s,DOWN_CHOPPY,bar_2,2,2,93,-14.510752688172044,0.44086021505376344
bar_range,5s,DOWN_CHOPPY,bar_3_4,3,4,101,-23.616336633663366,0.31683168316831684
bar_range,5s,DOWN_CHOPPY,bar_5_8,5,8,81,-32.20679012345679,0.4074074074074074
bar_range,5s,DOWN_CHOPPY,bar_9_16,9,16,75,-14.076666666666666,0.4533333333333333
bar_range,5s,DOWN_CHOPPY,bar_17p,17,9999,53,-51.735849056603776,0.41509433962264153
bar_range,5s,FLAT_SMOOTH,bar_1,1,1,1002,1.0142215568862276,0.5369261477045908
bar_range,5s,FLAT_SMOOTH,bar_2,2,2,354,-3.0847457627118646,0.5056497175141242
bar_range,5s,FLAT_SMOOTH,bar_3_4,3,4,326,-4.432515337423313,0.5306748466257669
bar_range,5s,FLAT_SMOOTH,bar_5_8,5,8,261,-5.415708812260537,0.5210727969348659
bar_range,5s,FLAT_SMOOTH,bar_9_16,9,16,202,-16.655940594059405,0.44554455445544555
bar_range,5s,FLAT_SMOOTH,bar_17p,17,9999,174,-5.788793103448276,0.5114942528735632
bar_range,5s,FLAT_CHOPPY,bar_1,1,1,1463,2.9801777170198225,0.5358851674641149
bar_range,5s,FLAT_CHOPPY,bar_2,2,2,560,2.4745535714285714,0.5428571428571428
bar_range,5s,FLAT_CHOPPY,bar_3_4,3,4,548,0.30155109489051096,0.5164233576642335
bar_range,5s,FLAT_CHOPPY,bar_5_8,5,8,435,0.5419540229885057,0.5310344827586206
bar_range,5s,FLAT_CHOPPY,bar_9_16,9,16,323,-2.4071207430340555,0.5108359133126935
bar_range,5s,FLAT_CHOPPY,bar_17p,17,9999,377,2.640583554376658,0.5543766578249337
bar_range,1m,UP_SMOOTH,bar_1,1,1,525,27.747619047619047,0.6533333333333333
bar_range,1m,UP_SMOOTH,bar_2,2,2,212,22.58608490566038,0.6462264150943396
bar_range,1m,UP_SMOOTH,bar_3_4,3,4,205,29.028048780487804,0.6731707317073171
bar_range,1m,UP_SMOOTH,bar_5_8,5,8,166,45.256024096385545,0.7228915662650602
bar_range,1m,UP_SMOOTH,bar_9_16,9,16,148,57.722972972972975,0.7905405405405406
bar_range,1m,UP_SMOOTH,bar_17p,17,9999,179,135.41061452513966,0.6368715083798883
bar_range,1m,UP_CHOPPY,bar_1,1,1,257,17.881322957198442,0.6381322957198443
bar_range,1m,UP_CHOPPY,bar_2,2,2,110,30.425,0.6636363636363637
bar_range,1m,UP_CHOPPY,bar_3_4,3,4,108,31.63425925925926,0.7037037037037037
bar_range,1m,UP_CHOPPY,bar_5_8,5,8,93,58.68817204301075,0.7419354838709677
bar_range,1m,UP_CHOPPY,bar_9_16,9,16,66,63.59090909090909,0.7121212121212122
bar_range,1m,UP_CHOPPY,bar_17p,17,9999,160,61.55,0.59375
bar_range,1m,DOWN_SMOOTH,bar_1,1,1,301,-33.7093023255814,0.3853820598006645
bar_range,1m,DOWN_SMOOTH,bar_2,2,2,112,-39.234375,0.4107142857142857
bar_range,1m,DOWN_SMOOTH,bar_3_4,3,4,106,-49.33018867924528,0.37735849056603776
bar_range,1m,DOWN_SMOOTH,bar_5_8,5,8,108,-53.17824074074074,0.3611111111111111
bar_range,1m,DOWN_SMOOTH,bar_9_16,9,16,113,-18.878318584070797,0.4336283185840708
bar_range,1m,DOWN_SMOOTH,bar_17p,17,9999,205,-73.30609756097562,0.3804878048780488
bar_range,1m,DOWN_CHOPPY,bar_1,1,1,222,-10.903153153153154,0.44144144144144143
bar_range,1m,DOWN_CHOPPY,bar_2,2,2,88,-12.102272727272727,0.375
bar_range,1m,DOWN_CHOPPY,bar_3_4,3,4,83,-8.762048192771084,0.3493975903614458
bar_range,1m,DOWN_CHOPPY,bar_5_8,5,8,70,-49.83571428571429,0.45714285714285713
bar_range,1m,DOWN_CHOPPY,bar_9_16,9,16,65,-44.81153846153846,0.36923076923076925
bar_range,1m,DOWN_CHOPPY,bar_17p,17,9999,87,-48.76724137931034,0.3103448275862069
bar_range,1m,FLAT_SMOOTH,bar_1,1,1,795,-0.9742138364779874,0.5044025157232704
bar_range,1m,FLAT_SMOOTH,bar_2,2,2,310,0.267741935483871,0.532258064516129
bar_range,1m,FLAT_SMOOTH,bar_3_4,3,4,272,3.1599264705882355,0.5661764705882353
bar_range,1m,FLAT_SMOOTH,bar_5_8,5,8,218,5.02408256880734,0.5596330275229358
bar_range,1m,FLAT_SMOOTH,bar_9_16,9,16,165,-28.151515151515152,0.45454545454545453
bar_range,1m,FLAT_SMOOTH,bar_17p,17,9999,312,-11.857371794871796,0.5160256410256411
bar_range,1m,FLAT_CHOPPY,bar_1,1,1,1205,2.9983402489626556,0.5236514522821577
bar_range,1m,FLAT_CHOPPY,bar_2,2,2,510,5.50343137254902,0.5529411764705883
bar_range,1m,FLAT_CHOPPY,bar_3_4,3,4,500,3.698,0.542
bar_range,1m,FLAT_CHOPPY,bar_5_8,5,8,460,-9.6875,0.5043478260869565
bar_range,1m,FLAT_CHOPPY,bar_9_16,9,16,385,-7.922727272727273,0.4779220779220779
bar_range,1m,FLAT_CHOPPY,bar_17p,17,9999,603,9.813432835820896,0.5671641791044776
bar_range,5m,UP_SMOOTH,bar_1,1,1,468,20.27777777777778,0.6410256410256411
bar_range,5m,UP_SMOOTH,bar_2,2,2,213,23.469483568075116,0.6197183098591549
bar_range,5m,UP_SMOOTH,bar_3_4,3,4,203,32.84113300492611,0.6600985221674877
bar_range,5m,UP_SMOOTH,bar_5_8,5,8,198,34.666666666666664,0.7171717171717171
bar_range,5m,UP_SMOOTH,bar_9_16,9,16,159,57.259433962264154,0.7610062893081762
bar_range,5m,UP_SMOOTH,bar_17p,17,9999,193,131.67746113989637,0.6580310880829016
bar_range,5m,UP_CHOPPY,bar_1,1,1,232,20.329741379310345,0.6422413793103449
bar_range,5m,UP_CHOPPY,bar_2,2,2,104,29.91826923076923,0.6923076923076923
bar_range,5m,UP_CHOPPY,bar_3_4,3,4,94,41.609042553191486,0.7127659574468085
bar_range,5m,UP_CHOPPY,bar_5_8,5,8,80,72.109375,0.825
bar_range,5m,UP_CHOPPY,bar_9_16,9,16,77,62.366883116883116,0.7402597402597403
bar_range,5m,UP_CHOPPY,bar_17p,17,9999,200,41.65375,0.55
bar_range,5m,DOWN_SMOOTH,bar_1,1,1,266,-32.8609022556391,0.39849624060150374
bar_range,5m,DOWN_SMOOTH,bar_2,2,2,122,-46.75819672131148,0.36885245901639346
bar_range,5m,DOWN_SMOOTH,bar_3_4,3,4,106,-59.198113207547166,0.3113207547169811
bar_range,5m,DOWN_SMOOTH,bar_5_8,5,8,96,-36.40625,0.3958333333333333
bar_range,5m,DOWN_SMOOTH,bar_9_16,9,16,123,7.239837398373984,0.5691056910569106
bar_range,5m,DOWN_SMOOTH,bar_17p,17,9999,226,-73.76216814159292,0.4026548672566372
bar_range,5m,DOWN_CHOPPY,bar_1,1,1,209,-13.47846889952153,0.40669856459330145
bar_range,5m,DOWN_CHOPPY,bar_2,2,2,97,-8.396907216494846,0.422680412371134
bar_range,5m,DOWN_CHOPPY,bar_3_4,3,4,84,-9.889880952380953,0.39285714285714285
