**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,run_len,count
price_sigma_w,1m,FLAT_CHOPPY,14,3
price_sigma_w,1m,FLAT_CHOPPY,15,3
price_sigma_w,1m,FLAT_CHOPPY,16,4
price_sigma_w,1m,FLAT_CHOPPY,17,2
price_sigma_w,1m,FLAT_CHOPPY,18,1
price_sigma_w,1m,FLAT_CHOPPY,19,1
price_sigma_w,1m,FLAT_CHOPPY,20,6
price_sigma_w,1m,FLAT_CHOPPY,21,4
price_sigma_w,1m,FLAT_CHOPPY,22,2
price_sigma_w,1m,FLAT_CHOPPY,23,3
price_sigma_w,1m,FLAT_CHOPPY,24,1
price_sigma_w,1m,FLAT_CHOPPY,26,1
price_sigma_w,1m,FLAT_CHOPPY,29,1
price_sigma_w,1m,FLAT_CHOPPY,32,2
price_sigma_w,1m,FLAT_CHOPPY,34,1
price_sigma_w,1m,FLAT_CHOPPY,45,1
price_sigma_w,1m,FLAT_CHOPPY,90,1
price_sigma_w,1m,FLAT_CHOPPY,93,1
price_sigma_w,1m,FLAT_CHOPPY,97,1
price_sigma_w,5m,UP_SMOOTH,1,11
price_sigma_w,5m,UP_SMOOTH,2,13
price_sigma_w,5m,UP_SMOOTH,3,16
price_sigma_w,5m,UP_SMOOTH,4,12
price_sigma_w,5m,UP_SMOOTH,5,16
price_sigma_w,5m,UP_SMOOTH,6,20
price_sigma_w,5m,UP_SMOOTH,7,15
price_sigma_w,5m,UP_SMOOTH,8,12
price_sigma_w,5m,UP_SMOOTH,9,9
price_sigma_w,5m,UP_SMOOTH,10,5
price_sigma_w,5m,UP_SMOOTH,11,6
price_sigma_w,5m,UP_SMOOTH,12,6
price_sigma_w,5m,UP_SMOOTH,13,3
price_sigma_w,5m,UP_SMOOTH,14,2
price_sigma_w,5m,UP_SMOOTH,15,1
price_sigma_w,5m,UP_SMOOTH,17,2
price_sigma_w,5m,UP_SMOOTH,18,3
price_sigma_w,5m,UP_SMOOTH,20,1
price_sigma_w,5m,UP_SMOOTH,21,1
price_sigma_w,5m,UP_SMOOTH,22,2
price_sigma_w,5m,UP_SMOOTH,25,1
price_sigma_w,5m,UP_SMOOTH,26,1
price_sigma_w,5m,UP_SMOOTH,27,1
price_sigma_w,5m,UP_SMOOTH,28,2
price_sigma_w,5m,UP_SMOOTH,29,1
price_sigma_w,5m,UP_SMOOTH,31,1
price_sigma_w,5m,UP_SMOOTH,178,1
price_sigma_w,5m,UP_CHOPPY,1,9
price_sigma_w,5m,UP_CHOPPY,2,12
price_sigma_w,5m,UP_CHOPPY,3,6
price_sigma_w,5m,UP_CHOPPY,4,12
price_sigma_w,5m,UP_CHOPPY,5,5
price_sigma_w,5m,UP_CHOPPY,6,9
price_sigma_w,5m,UP_CHOPPY,7,9
price_sigma_w,5m,UP_CHOPPY,8,9
price_sigma_w,5m,UP_CHOPPY,9,2
price_sigma_w,5m,UP_CHOPPY,10,2
price_sigma_w,5m,UP_CHOPPY,11,1
price_sigma_w,5m,UP_CHOPPY,12,1
price_sigma_w,5m,UP_CHOPPY,13,2
price_sigma_w,5m,UP_CHOPPY,14,4
price_sigma_w,5m,UP_CHOPPY,16,3
price_sigma_w,5m,UP_CHOPPY,18,1
price_sigma_w,5m,UP_CHOPPY,21,1
price_sigma_w,5m,UP_CHOPPY,36,1
price_sigma_w,5m,UP_CHOPPY,37,1
price_sigma_w,5m,UP_CHOPPY,169,1
price_sigma_w,5m,DOWN_SMOOTH,1,9
price_sigma_w,5m,DOWN_SMOOTH,2,5
price_sigma_w,5m,DOWN_SMOOTH,3,14
price_sigma_w,5m,DOWN_SMOOTH,4,6
price_sigma_w,5m,DOWN_SMOOTH,5,5
price_sigma_w,5m,DOWN_SMOOTH,6,7
price_sigma_w,5m,DOWN_SMOOTH,7,9
price_sigma_w,5m,DOWN_SMOOTH,8,9
price_sigma_w,5m,DOWN_SMOOTH,9,3
price_sigma_w,5m,DOWN_SMOOTH,10,3
price_sigma_w,5m,DOWN_SMOOTH,12,2
price_sigma_w,5m,DOWN_SMOOTH,13,2
price_sigma_w,5m,DOWN_SMOOTH,14,2
price_sigma_w,5m,DOWN_SMOOTH,15,1
price_sigma_w,5m,DOWN_SMOOTH,16,1
price_sigma_w,5m,DOWN_SMOOTH,18,3
price_sigma_w,5m,DOWN_SMOOTH,20,2
price_sigma_w,5m,DOWN_SMOOTH,23,2
price_sigma_w,5m,DOWN_SMOOTH,24,1
price_sigma_w,5m,DOWN_SMOOTH,28,1
price_sigma_w,5m,DOWN_SMOOTH,34,2
price_sigma_w,5m,DOWN_SMOOTH,39,1
price_sigma_w,5m,DOWN_SMOOTH,45,1
price_sigma_w,5m,DOWN_SMOOTH,46,1
price_sigma_w,5m,DOWN_CHOPPY,1,10
price_sigma_w,5m,DOWN_CHOPPY,2,4
