**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_idx,entry_dt,entry_px,side,exit_idx,exit_dt,exit_px,exit_reason,pnl_pts,pnl_usd,mfe_usd,bars_held,slope_at_entry,slope_at_exit,slope_min,slope_max
287027,2025-11-20 17:22:00+00:00,24461.25,Long,287031,2025-11-20 17:26:00+00:00,24405.0,PivotExitLong,-56.25,-114.4,0.0,4,-8.999888765294772,-7.072469410456062,-9.7087319243604,-7.581479421579533
287031,2025-11-20 17:26:00+00:00,24405.0,Short,287032,2025-11-20 17:27:00+00:00,24468.5,PivotExitShort,-63.5,-128.9,0.0,1,-7.072469410456062,-6.610011123470523,-7.581479421579533,-7.072469410456062
287032,2025-11-20 17:27:00+00:00,24468.5,Long,287037,2025-11-20 17:32:00+00:00,24426.25,PivotExitLong,-42.25,-86.4,20.0,5,-6.610011123470523,-4.308342602892102,-7.072469410456062,-4.731701890989989
287037,2025-11-20 17:32:00+00:00,24426.25,Short,287044,2025-11-20 17:39:00+00:00,24422.5,PivotExitShort,3.75,5.6,182.5,7,-4.308342602892102,-2.354060066740823,-4.731701890989989,-3.0665183537263627
287044,2025-11-20 17:39:00+00:00,24422.5,Long,287049,2025-11-20 17:44:00+00:00,24367.75,PivotExitLong,-54.75,-111.4,26.0,5,-2.354060066740823,-1.7228031145717464,-3.0665183537263627,-1.4627919911012235
287049,2025-11-20 17:44:00+00:00,24367.75,Short,287056,2025-11-20 17:51:00+00:00,24379.75,PivotExitShort,-12.0,-25.9,72.5,7,-1.7228031145717464,-3.765406006674082,-4.129032258064516,-1.7228031145717464
287056,2025-11-20 17:51:00+00:00,24379.75,Long,287059,2025-11-20 17:54:00+00:00,24321.75,PivotExitLong,-58.0,-117.9,35.0,3,-3.765406006674082,-3.94265850945495,-4.129032258064516,-3.720967741935484
287059,2025-11-20 17:54:00+00:00,24321.75,Short,287061,2025-11-20 17:56:00+00:00,24380.0,PivotExitShort,-58.25,-118.4,0.0,2,-3.94265850945495,-3.4658509454949944,-3.94265850945495,-3.8132925472747496
287061,2025-11-20 17:56:00+00:00,24380.0,Long,287082,2025-11-20 18:17:00+00:00,24514.0,PivotExitLong,134.0,266.1,423.5,21,-3.4658509454949944,8.169132369299222,-3.9264182424916574,8.523470522803114
287082,2025-11-20 18:17:00+00:00,24514.0,Short,287086,2025-11-20 18:21:00+00:00,24528.75,PivotExitShort,-14.75,-31.4,70.5,4,8.169132369299222,7.151223581757509,7.310289210233593,8.474860956618466
287086,2025-11-20 18:21:00+00:00,24528.75,Long,287090,2025-11-20 18:25:00+00:00,24475.75,PivotExitLong,-53.0,-107.9,0.0,4,7.151223581757509,4.830533926585095,5.370800889877642,7.313070077864293
287090,2025-11-20 18:25:00+00:00,24475.75,Short,287124,2025-11-20 18:59:00+00:00,24294.5,PivotExitShort,181.25,360.6,459.5,34,4.830533926585095,-8.16635150166852,-9.307730812013348,5.370800889877642
287124,2025-11-20 18:59:00+00:00,24294.5,Long,287129,2025-11-20 19:04:00+00:00,24235.25,PivotExitLong,-59.25,-120.4,0.0,5,-8.16635150166852,-5.886373748609566,-8.72202447163515,-6.3418242491657395
287129,2025-11-20 19:04:00+00:00,24235.25,Short,287136,2025-11-20 19:11:00+00:00,24278.5,PivotExitShort,-43.25,-88.4,17.5,7,-5.886373748609566,-3.103114571746385,-6.3418242491657395,-3.7016685205784206
287136,2025-11-20 19:11:00+00:00,24278.5,Long,287150,2025-11-20 19:25:00+00:00,24266.5,PivotExitLong,-12.0,-25.9,69.0,14,-3.103114571746385,1.6169632925472748,-3.7016685205784206,1.4446607341490545
287150,2025-11-20 19:25:00+00:00,24266.5,Short,287151,2025-11-20 19:26:00+00:00,24324.0,PivotExitShort,-57.5,-116.9,0.0,1,1.6169632925472748,1.7673526140155729,1.3474972191323693,1.6169632925472748
287151,2025-11-20 19:26:00+00:00,24324.0,Long,287156,2025-11-20 19:31:00+00:00,24306.75,PivotExitLong,-17.25,-36.4,75.0,5,1.7673526140155729,3.420133481646274,1.6169632925472748,3.371579532814238
287156,2025-11-20 19:31:00+00:00,24306.75,Short,287168,2025-11-20 19:43:00+00:00,24322.25,PivotExitShort,-15.5,-32.9,68.0,12,3.420133481646274,0.04271412680756396,0.40695216907675197,3.420133481646274
287168,2025-11-20 19:43:00+00:00,24322.25,Long,287172,2025-11-20 19:47:00+00:00,24273.5,PivotExitLong,-48.75,-99.4,7.0,4,0.04271412680756396,-0.7315906562847608,-0.6916017797552837,0.40695216907675197
287172,2025-11-20 19:47:00+00:00,24273.5,Short,287179,2025-11-20 19:54:00+00:00,24326.25,PivotExitShort,-52.75,-107.4,0.0,7,-0.7315906562847608,-0.3768075639599555,-0.8974416017797553,-0.4061735261401557
287179,2025-11-20 19:54:00+00:00,24326.25,Long,287187,2025-11-20 20:02:00+00:00,24312.0,PivotExitLong,-14.25,-30.4,143.0,8,-0.3768075639599555,2.892269187986652,-0.4061735261401557,3.345383759733037
287187,2025-11-20 20:02:00+00:00,24312.0,Short,287206,2025-11-20 20:21:00+00:00,24320.0,PivotExitShort,-8.0,-17.9,74.5,19,2.892269187986652,-1.8671301446051167,-1.9586763070077864,3.2435483870967743
287206,2025-11-20 20:21:00+00:00,24320.0,Long,287209,2025-11-20 20:24:00+00:00,24296.5,PivotExitLong,-23.5,-48.9,44.5,3,-1.8671301446051167,-2.129199110122358,-1.9647385984427141,-1.8307563959955506
287209,2025-11-20 20:24:00+00:00,24296.5,Short,287214,2025-11-20 20:29:00+00:00,24293.25,PivotExitShort,3.25,4.6,102.0,5,-2.129199110122358,-1.1186874304783092,-2.3443826473859843,-1.6733592880978865
287214,2025-11-20 20:29:00+00:00,24293.25,Long,287240,2025-11-20 20:55:00+00:00,24138.25,EodExitLong,-155.0,-311.9,0.0,25,-1.1186874304783092,-6.0380978865406005,-7.551612903225807,-0.6485539488320355
