**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

month,date,zone,zone_range,daily_range,pct_of_zone,peak_hour,bars_in_zone
2025-01,2025-01-10,20781-21067,1143.0,1290.0,112.86089238845145,15,6
2025-01,2025-01-13,20781-21067,1143.0,1546.0,135.2580927384077,17,19
2025-01,2025-01-14,20781-21067,1143.0,1460.0,127.73403324584427,13,20
2025-01,2025-01-15,20781-21067,1143.0,428.0,37.44531933508311,11,13
2025-01,2025-01-02,21067-21233,663.0,1435.0,216.44042232277525,17,5
2025-01,2025-01-03,21067-21233,663.0,270.0,40.723981900452486,13,4
2025-01,2025-01-10,21067-21233,663.0,1272.0,191.8552036199095,13,4
2025-01,2025-01-14,21067-21233,663.0,367.0,55.35444947209653,8,3
2025-01,2025-01-27,21067-21233,663.0,1321.0,199.24585218702867,19,7
2025-01,2025-01-02,21233-21454,884.0,1296.0,146.60633484162895,14,15
2025-01,2025-01-03,21233-21454,884.0,1150.0,130.09049773755657,14,12
2025-01,2025-01-07,21233-21454,884.0,1175.0,132.9185520361991,16,7
2025-01,2025-01-08,21233-21454,884.0,1128.0,127.60180995475112,17,23
2025-01,2025-01-09,21233-21454,884.0,544.0,61.53846153846154,23,16
2025-01,2025-01-10,21233-21454,884.0,715.0,80.88235294117648,12,12
2025-01,2025-01-15,21233-21454,884.0,1890.0,213.80090497737555,13,10
2025-01,2025-01-16,21233-21454,884.0,1203.0,136.08597285067873,16,16
2025-01,2025-01-17,21233-21454,884.0,541.0,61.19909502262444,8,13
2025-01,2025-01-27,21233-21454,884.0,1615.0,182.69230769230768,14,9
2025-01,2025-01-28,21233-21454,884.0,1056.0,119.45701357466064,14,15
2025-01,2025-01-03,21454-21681,908.0,888.0,97.79735682819384,16,6
2025-01,2025-01-06,21454-21681,908.0,980.0,107.92951541850219,19,12
2025-01,2025-01-16,21454-21681,908.0,589.0,64.86784140969164,7,6
2025-01,2025-01-17,21454-21681,908.0,1354.0,149.1189427312775,13,9
2025-01,2025-01-20,21454-21681,908.0,409.0,45.04405286343612,12,13
2025-01,2025-01-21,21454-21681,908.0,1474.0,162.33480176211455,0,13
2025-01,2025-01-27,21454-21681,908.0,799.0,87.99559471365639,1,5
2025-01,2025-01-28,21454-21681,908.0,1380.0,151.98237885462555,15,8
2025-01,2025-01-29,21454-21681,908.0,1320.0,145.37444933920705,21,22
2025-01,2025-01-30,21454-21681,908.0,1317.0,145.04405286343612,15,21
2025-01,2025-01-31,21454-21681,908.0,992.0,109.2511013215859,19,3
