**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

month,feature,corr,p_value
2025-01,dmi_diff,0.11760506569465187,0.008818105915324888
2025-01,dmi_gap,0.01637503759143878,0.7162875185702011
2025-01,vol_rel,-0.04182935971979396,0.35304553160578345
2025-01,dir_vol,0.04033977202971373,0.3704670798412767
2025-01,velocity,0.024083924256201383,0.5929566812712523
2025-01,z_se,0.010086158686375475,0.8228808509573617
2025-01,price_accel,0.04205378082216235,0.3504663123580005
2025-01,std_price,-0.011093742011601342,0.8055245158664539
2025-01,variance_ratio,0.09536395328850146,0.03390613125428247
2025-01,bar_range,-0.10041624617898853,0.025475069161759994
2025-01,wick_ratio,0.03910397838794005,0.3853170800748653
2025-01,vwap_distance,0.0017755478986357298,0.9685686052267868
2025-01,time_of_day,0.025516420984516883,0.5711480727016892
2025-02,dmi_diff,-0.1227592464251461,0.00868636827261558
2025-02,dmi_gap,0.12338483605968072,0.008348689351568725
2025-02,vol_rel,0.08375357742785895,0.07398300212642824
2025-02,dir_vol,-0.0701868433321812,0.13451997933242177
2025-02,velocity,-0.07563076056050305,0.10676426160295958
2025-02,z_se,-0.15908861805279825,0.0006505391084798016
2025-02,price_accel,-0.0037690769226447116,0.936026624947811
2025-02,std_price,0.19471020755924692,2.8316911190193052e-05
2025-02,variance_ratio,-0.004880609452426536,0.9172202476682967
2025-02,bar_range,0.1384654112059461,0.0030467492477742985
2025-02,wick_ratio,0.020409244828522417,0.6638010418252474
2025-02,vwap_distance,-0.18787182724356102,5.41772877768108e-05
2025-02,time_of_day,0.09763445555905993,0.037145558170155815
2025-03,dmi_diff,-0.1412707274802402,0.0018159406131716261
2025-03,dmi_gap,0.21434897157558663,1.8993713235210994e-06
2025-03,vol_rel,0.06267621367405221,0.16817429700859018
2025-03,dir_vol,-0.08085070418244615,0.07526096808943925
2025-03,velocity,-0.08840641313120212,0.05168638805673548
2025-03,z_se,-0.16218565606154203,0.00033537286726749573
2025-03,price_accel,-0.03031969425124153,0.5053138301121114
2025-03,std_price,0.3742124470649513,1.44012650479059e-17
2025-03,variance_ratio,0.09772955836711221,0.03140759263533585
2025-03,bar_range,0.07293361003931677,0.1086725019567094
2025-03,wick_ratio,0.04166754212584374,0.35984404663268477
