month,zone,zone_lo,zone_hi,feature,mean,std,median,skew,p25,p75,n
2025-01,20781-21067,20781.25,21067.0,dmi_diff,-8.721428,13.293297,-3.7316601,-1.4776923961411133,-17.999062538146973,0.626565009355545,63
2025-01,20781-21067,20781.25,21067.0,dmi_gap,10.586028,11.862169,5.234916,1.8812108153484868,1.6409450769424438,17.999062538146973,63
2025-01,20781-21067,20781.25,21067.0,vol_rel,1.2402279,1.8586271,0.34367707,2.8849851252391265,0.1661951020359993,1.7818485498428345,63
2025-01,20781-21067,20781.25,21067.0,dir_vol,-0.4799782,2.182265,-0.084767014,-2.2995107418682905,-0.4742766320705414,0.3061913400888443,63
2025-01,20781-21067,20781.25,21067.0,velocity,-4.0634923,63.49328,-0.75,-0.9103697151701426,-26.0,17.875,63
2025-01,20781-21067,20781.25,21067.0,z_se,-8.53405,9.441918,-4.1829944,-0.7996396348782837,-16.516904830932617,-1.0814636945724487,63
2025-01,20781-21067,20781.25,21067.0,price_accel,9.690476,93.99415,4.75,0.8759259191609918,-30.375,30.625,63
2025-01,20781-21067,20781.25,21067.0,std_price,117.079185,53.548508,109.6926,1.6038997885720898,83.30688858032227,135.48147583007812,63
2025-01,20781-21067,20781.25,21067.0,variance_ratio,0.46216083,0.31636697,0.39939046,1.477055607167788,0.26260070502758026,0.5408528447151184,63
2025-01,20781-21067,20781.25,21067.0,bar_range,347.96826,276.0376,241.0,1.858085082077428,143.5,476.0,63
2025-01,20781-21067,20781.25,21067.0,wick_ratio,0.56167096,0.2648708,0.5648855,-0.06279466235544857,0.3158491253852844,0.7451156377792358,63
2025-01,20781-21067,20781.25,21067.0,vwap_distance,-133.97847,699.8238,-6.1537,-2.106758596978674,-538.4429931640625,240.37560272216797,63
2025-01,20781-21067,20781.25,21067.0,time_of_day,0.46097884,0.2902814,0.45833334,0.02438934537765298,0.2083333283662796,0.7083333134651184,63
2025-01,21067-21233,21067.0,21232.75,dmi_diff,-13.586926,14.147648,-11.79647,-0.4694064282706053,-18.315473079681396,-7.291175127029419,24
2025-01,21067-21233,21067.0,21232.75,dmi_gap,15.888013,11.503544,11.79647,1.233692732882588,9.3021240234375,18.315473079681396,24
2025-01,21067-21233,21067.0,21232.75,vol_rel,1.4061228,1.5585408,1.1117039,2.295297814915416,0.3695494085550308,1.672077715396881,24
2025-01,21067-21233,21067.0,21232.75,dir_vol,-0.6037831,2.0103922,-0.27541876,-1.3165654553687591,-1.4341013729572296,0.4099753722548485,24
2025-01,21067-21233,21067.0,21232.75,velocity,-10.0625,70.278694,-14.75,-0.3374091130975291,-35.6875,9.75,24
2025-01,21067-21233,21067.0,21232.75,z_se,-8.854409,8.23831,-7.7685857,-0.32427543979787965,-14.218795537948608,-2.8651525378227234,24
2025-01,21067-21233,21067.0,21232.75,price_accel,-22.364584,76.76446,-9.5,-0.9435901557259685,-47.4375,23.4375,24
2025-01,21067-21233,21067.0,21232.75,std_price,135.63905,141.48659,107.16058,0.6653506266901446,0.0,295.24080657958984,24
2025-01,21067-21233,21067.0,21232.75,variance_ratio,0.34377202,0.39486474,0.20338035,1.2374883043655354,0.0,0.5079848766326904,24
2025-01,21067-21233,21067.0,21232.75,bar_range,439.33334,313.51935,404.5,1.5205602610126796,182.75,563.25,24
2025-01,21067-21233,21067.0,21232.75,wick_ratio,0.49550018,0.2372738,0.45824957,0.5385775092739443,0.3010481968522072,0.6587428152561188,24
2025-01,21067-21233,21067.0,21232.75,vwap_distance,-435.80447,953.04944,-1.8775744,-0.553152789325925,-1273.8441162109375,0.0,24
2025-01,21067-21233,21067.0,21232.75,time_of_day,0.53125,0.2862215,0.5416667,-0.4615013729729149,0.3645833358168602,0.7604166716337204,24
2025-01,21233-21454,21232.75,21453.75,dmi_diff,-7.5373926,14.7179785,-8.838486,0.6151927366315281,-17.276723861694336,0.0,149
2025-01,21233-21454,21232.75,21453.75,dmi_gap,13.579446,9.43556,13.215601,0.5857727033513017,6.010101795196533,20.38884162902832,149
2025-01,21233-21454,21232.75,21453.75,vol_rel,0.91211396,1.1121019,0.3512175,2.1227860107750924,0.17142444849014282,1.3210843801498413,149
2025-01,21233-21454,21232.75,21453.75,dir_vol,-0.08879287,1.4332227,0.0884518,-0.8308440783575431,-0.3465560972690582,0.33504655957221985,149
2025-01,21233-21454,21232.75,21453.75,velocity,2.72651,49.81995,0.0,1.2879751333850986,-12.75,20.75,149
2025-01,21233-21454,21232.75,21453.75,z_se,-2.3189502,9.773969,-5.170196,0.7592141077971377,-8.629671096801758,1.9981848001480103,149
2025-01,21233-21454,21232.75,21453.75,price_accel,0.23825504,69.93057,0.0,0.3396957048964015,-27.5,21.75,149
2025-01,21233-21454,21232.75,21453.75,std_price,113.99507,80.81194,107.635086,0.691765261852677,48.5997428894043,158.5682830810547,149
2025-01,21233-21454,21232.75,21453.75,variance_ratio,0.2840915,0.31339625,0.1887486,1.7529888743758772,0.11370961368083954,0.2996619641780853,149
2025-01,21233-21454,21232.75,21453.75,bar_range,303.26846,221.09317,223.0,1.791263899265953,145.0,383.0,149
2025-01,21233-21454,21232.75,21453.75,wick_ratio,0.56636405,0.25909388,0.5677966,-0.13093013139692983,0.3696969747543335,0.7781022191047668,149
2025-01,21233-21454,21232.75,21453.75,vwap_distance,-116.82228,615.202,-114.74465,-0.39070145203151435,-391.74847412109375,37.836334228515625,149
2025-01,21233-21454,21232.75,21453.75,time_of_day,0.41722593,0.2701166,0.375,0.32062606325133625,0.2083333283662796,0.625,149
2025-01,21454-21681,21453.75,21680.75,dmi_diff,3.7106693,15.545252,4.5619607,-0.4947590181750358,-8.055054187774658,15.594674587249756,123
2025-01,21454-21681,21453.75,21680.75,dmi_gap,13.312197,8.843602,12.316384,0.7620264866429041,6.587364196777344,17.750455856323242,123
2025-01,21454-21681,21453.75,21680.75,vol_rel,1.0225257,1.3085204,0.50210595,2.501870845845738,0.18744589388370514,1.276613473892212,123
2025-01,21454-21681,21453.75,21680.75,dir_vol,-0.10001888,1.6576432,0.094963044,-0.8099427474266789,-0.5456694960594177,0.4443306475877762,123
2025-01,21454-21681,21453.75,21680.75,velocity,-0.33130082,61.406635,1.5,-0.9313176962274099,-16.5,20.625,123
2025-01,21454-21681,21453.75,21680.75,z_se,5.7293773,9.510085,8.121445,-2.7754913736958264,4.070001721382141,10.82475471496582,123
2025-01,21454-21681,21453.75,21680.75,price_accel,0.067073174,90.13342,2.25,0.40208084429802704,-31.0,36.0,123
2025-01,21454-21681,21453.75,21680.75,std_price,112.38617,40.80402,121.80404,0.22814538278173738,69.02626037597656,136.77010345458984,123
