**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,boundary_mean,midzone_mean,t_stat,p_value,significant,n_boundary,n_midzone
dmi_diff,0.2254834,-3.1889915,6.127756499779003,9.967375602828018e-10,True,1087,2208
dmi_gap,11.559298,12.442103,-2.5829122955294106,0.009839776711217604,True,1087,2208
vol_rel,1.0043898,1.0118729,-0.16365947902610795,0.8700092616889301,False,1087,2208
dir_vol,0.05921513,-0.018488698,1.3161616446350788,0.18821140118103732,False,1087,2208
velocity,1.2159613,-1.4123641,0.9959937009101546,0.31932638559122484,False,1087,2208
z_se,2.7615159,-0.69111,8.690359334179888,5.5973646940920254e-18,True,1087,2208
price_accel,1.100506,-0.650702,0.471305101186672,0.6374540947902352,False,1087,2208
std_price,94.15903,136.5464,-10.914199118642454,2.8733985360270483e-27,True,1087,2208
variance_ratio,0.3835394,0.4042103,-1.6596074977516584,0.09708865805497632,False,1087,2208
bar_range,271.77094,363.97372,-7.911892396168153,3.4326567315267482e-15,True,1087,2208
wick_ratio,0.5700405,0.5572361,1.3544104081178598,0.1756984032632111,False,1087,2208
vwap_distance,147.33527,-57.284058,6.937510278025628,4.784208420351797e-12,True,1087,2208
time_of_day,0.4441506,0.45689178,-1.2195413571365754,0.2227261291976221,False,1087,2208
