**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,d_IS,d_OOS,d_all,sign_match,min_abs_d
prior_vr_60_240,0.589861960776366,0.5533258354461663,0.4706595529734766,True,0.5533258354461663
prior_range,0.528989006170002,0.8294260891952698,0.7181734151793863,True,0.528989006170002
prior_intraday_range,0.528989006170002,0.9670773412801272,0.7108803793916476,True,0.528989006170002
range_compression,0.4141952335801888,0.8344816710822606,0.6080716033224813,True,0.4141952335801888
dow,0.3649547913631347,0.42486800363503535,0.3882119019935594,True,0.3649547913631347
mean_range_5d,0.23266445421140008,0.9317653005950677,0.5411100120545229,True,0.23266445421140008
prior_intraday_efficiency,-0.13875926766545224,0.2089341762393488,-0.0014169487857708446,False,0.13875926766545224
prior_intraday_atr_5m,-0.3220688045792522,0.11839544596200545,-0.08101977429866757,False,0.11839544596200545
mean_range_20d,0.11240281706854523,0.20005504651372463,0.22274751233130793,True,0.11240281706854523
prior_efficiency,-0.12855252259718924,0.08234166757561144,0.0037555668155662032,False,0.08234166757561144
variance_ratio_5_20,-0.07269181907139226,0.7718512127977147,0.35835469150202875,False,0.07269181907139226
prior_drift,-0.09481834207511033,-0.051073518696962444,-0.0499914437488582,True,0.051073518696962444
cum_drift_5d_sign,0.0705761231743825,0.042463590757243416,0.06990065230831323,True,0.042463590757243416
prior_vr_5_60,0.27320803715269204,-0.03260043043114698,0.11851422472440869,False,0.03260043043114698
mean_efficiency_5d,-0.5152965418057017,-0.01547102944459337,-0.18597228567064078,True,0.01547102944459337
cum_drift_5d,0.0023538024384874533,-0.0019094682355404284,0.03399308373042398,False,0.0019094682355404284
close_above_20d_max,,,,False,0.0
