day,bars,fires,topk,entries,zz_confirms,R
2026_06_22,406,2770,1675,204,16,299
2026_06_23,406,3234,1944,247,8,410
2026_06_24,406,3618,2189,322,11,416
2026_06_25,406,3939,2395,343,28,318
2026_06_26,406,3552,2114,300,9,516
2026_06_29,406,2877,1748,208,11,351
2026_06_30,406,2242,1398,136,8,294
2026_07_01,406,2706,1711,227,6,472
2026_07_02,406,3459,2084,327,13,419
2026_07_03,210,824,555,22,1,178
2026_07_06,406,2400,1483,170,10,313
2026_07_07,406,2840,1722,225,7,348
2026_07_08,58,647,385,45,3,439
