**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

regime,regime_idx,z_thr,r_thr,n,mean_fwd30,mean_mfe60
UP_SMOOTH,1,1.0,0.4,1654,0.16807738814993953,49.481257557436514
UP_SMOOTH,1,1.0,0.45,1651,0.15263476680799515,49.47092671108419
UP_SMOOTH,1,1.0,0.5,1649,0.17525773195876287,49.498483929654334
UP_SMOOTH,1,1.0,0.55,1646,0.12849331713244228,49.48906439854192
UP_SMOOTH,1,1.0,0.6,1640,0.15548780487804878,49.40182926829268
UP_SMOOTH,1,1.0,0.65,1628,0.3316953316953317,49.472972972972975
UP_SMOOTH,1,1.0,0.7,1613,0.38747675139491633,49.62244265344079
UP_SMOOTH,1,1.2,0.4,1257,0.15910898965791567,49.523866348448685
UP_SMOOTH,1,1.2,0.45,1254,0.13875598086124402,49.5103668261563
UP_SMOOTH,1,1.2,0.5,1252,0.16853035143769968,49.54672523961661
UP_SMOOTH,1,1.2,0.55,1249,0.10688550840672538,49.534427542033626
UP_SMOOTH,1,1.2,0.6,1243,0.1423974255832663,49.4195494770716
UP_SMOOTH,1,1.2,0.65,1231,0.3753046303818034,49.513809910641754
UP_SMOOTH,1,1.2,0.7,1216,0.4498355263157895,49.7125822368421
UP_SMOOTH,1,1.4,0.4,892,0.5902466367713004,51.00784753363229
UP_SMOOTH,1,1.4,0.45,889,0.562992125984252,50.993813273340834
UP_SMOOTH,1,1.4,0.5,887,0.6059751972942503,51.04847801578354
UP_SMOOTH,1,1.4,0.55,884,0.5203619909502263,51.036199095022624
UP_SMOOTH,1,1.4,0.6,878,0.5734624145785877,50.88382687927107
UP_SMOOTH,1,1.4,0.65,866,0.9105080831408776,51.03810623556582
UP_SMOOTH,1,1.4,0.7,851,1.026439482961222,51.349001175088134
UP_SMOOTH,1,1.6,0.4,616,0.5040584415584416,50.9025974025974
UP_SMOOTH,1,1.6,0.45,613,0.4641109298531811,50.88172920065253
UP_SMOOTH,1,1.6,0.5,611,0.5261865793780688,50.9607201309329
UP_SMOOTH,1,1.6,0.55,608,0.40131578947368424,50.942434210526315
UP_SMOOTH,1,1.6,0.6,602,0.4775747508305648,50.71926910299003
UP_SMOOTH,1,1.6,0.65,590,0.9703389830508474,50.94237288135593
UP_SMOOTH,1,1.6,0.7,575,1.1434782608695653,51.4
UP_SMOOTH,1,1.8,0.4,385,0.11948051948051948,50.433766233766235
UP_SMOOTH,1,1.8,0.45,382,0.05235602094240838,50.396596858638745
UP_SMOOTH,1,1.8,0.5,380,0.15,50.52105263157895
UP_SMOOTH,1,1.8,0.55,377,-0.054376657824933686,50.48806366047745
UP_SMOOTH,1,1.8,0.6,371,0.06199460916442048,50.118598382749326
UP_SMOOTH,1,1.8,0.65,359,0.8579387186629527,50.46518105849582
UP_SMOOTH,1,1.8,0.7,344,1.1424418604651163,51.2093023255814
UP_SMOOTH,1,2.0,0.4,233,-0.9742489270386266,46.87339055793991
UP_SMOOTH,1,2.0,0.45,230,-1.1,46.76521739130435
UP_SMOOTH,1,2.0,0.5,228,-0.9473684210526315,46.94078947368421
UP_SMOOTH,1,2.0,0.55,225,-1.3044444444444445,46.83777777777778
UP_SMOOTH,1,2.0,0.6,219,-1.1415525114155252,46.11187214611872
UP_SMOOTH,1,2.0,0.65,207,0.16908212560386474,46.48067632850242
UP_SMOOTH,1,2.0,0.7,192,0.625,47.502604166666664
