day,idx,parent_chain,shape,parent_shape,seed_shape,seed_r,length_min,fwd_return
2025_01_02,2,1/6/0/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5255709548884411,1.5,4.25
2025_01_02,0,1/6/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5880620128022827,3.33,-5.25
2025_01_02,2,1/9/0/0,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.9115190481243416,0.5,5.5
2025_01_02,0,1/10/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5262896765416923,1.75,-6.0
2025_01_02,0,1/10/2/1,NOISE,STEEP_LINEAR_DOWN,BACK_SKEWED_UP,0.7763047026955017,2.75,5.25
2025_01_02,0,1/10/3/1,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.7895053490873378,2.42,-14.0
2025_01_02,1,1/12/0/2,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.9394728158829165,0.83,3.5
2025_01_02,0,1/12/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5704168883330156,2.25,-6.75
2025_01_02,5,1/12/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.489052279387925,4.0,-28.0
2025_01_02,7,1/12/1/0,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.7966838637567059,0.92,-20.0
2025_01_02,1,2/2/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5993230023803346,2.75,2.75
2025_01_02,0,2/2/4/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.623355477066652,3.33,-6.0
2025_01_02,2,2/3/3/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.4663566130169073,1.42,0.5
2025_01_02,4,2/3/3/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3900484777696571,1.08,-29.0
2025_01_02,6,2/3/3/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.8649869151674807,1.25,6.5
2025_01_02,0,2/3/4/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.4728018493681712,2.0,2.5
2025_01_02,1,2/4/3/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7441508936947365,1.0,3.0
2025_01_03,1,1/0/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5511879757269672,1.33,0.5
2025_01_03,0,2/0/1/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6679802138791976,2.25,-0.25
2025_01_03,0,2/0/5/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7478784261933168,5.25,0.25
2025_01_03,2,2/0/5/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.761039672672294,3.25,-2.75
2025_01_03,3,2/1/1/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6736253635393187,2.83,2.25
2025_01_03,4,3/0/2/3,NOISE,STEEP_LINEAR_DOWN,STEP_UP,0.939281464378321,0.83,4.5
2025_01_03,0,4/0/0/3,NOISE,STEEP_LINEAR_DOWN,DAMPED_OSCILLATOR,0.8863486514502248,4.83,1.75
2025_01_03,0,4/0/1/0,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.8625639643630294,4.08,-7.25
2025_01_03,2,4/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5526786021842037,5.5,-3.25
2025_01_03,1,4/1/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.655365421378677,1.42,-0.75
2025_01_03,0,5/0/3/1,NOISE,STEEP_LINEAR_DOWN,ROUNDED_U_DOWN,0.8253098684621902,2.08,2.75
2025_01_03,0,6/1/2/3,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.7778995163219458,1.58,-6.75
2025_01_03,2,6/1/3/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8858218910754823,1.17,-2.0
2025_01_03,5,6/1/3/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6357520815580979,2.08,-0.5
2025_01_03,2,7/0/2/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.7874749655429258,1.17,10.75
2025_01_03,6,7/0/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3901758166229701,2.67,-7.0
2025_01_03,0,7/1/0/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.38075572046549283,5.67,3.75
2025_01_03,3,7/2/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5845621685211607,1.33,6.75
2025_01_03,0,7/2/4/0,NOISE,STEEP_LINEAR_DOWN,FRONT_SKEWED_DOWN,0.7806534042734645,2.92,-0.25
