**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,idx,parent_chain,shape,parent_shape,seed_shape,seed_r,length_min,fwd_return
2025_01_02,0,3/0/1/4,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9065758626506331,1.83,-0.5
2025_01_03,0,1/0/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.7246100736516758,2.0,4.25
2025_01_03,3,1/0/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.3389351610328344,4.08,-4.25
2025_01_03,0,2/0/0/5,NOISE,STEEP_LINEAR_UP,NOISE,0.7434525322165842,2.08,0.5
2025_01_03,0,2/0/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.4612092278688497,4.5,0.0
2025_01_03,0,2/0/4/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6472033995222182,3.0,1.0
2025_01_03,0,2/1/1/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.7747934814203791,10.25,-1.25
2025_01_03,0,3/0/1/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5771698328570053,3.92,0.5
2025_01_03,0,3/1/0/6,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8677452195119062,3.83,2.5
2025_01_03,2,3/1/0/6,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9133698899992158,1.25,2.0
2025_01_03,5,3/1/0/6,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.8947145662156276,0.83,-2.5
2025_01_03,2,4/0/2/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5141536932435782,2.17,-5.25
2025_01_03,4,4/0/2/2,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.7967480665800948,2.17,-1.75
2025_01_03,0,4/1/1/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.7855865192357242,2.75,5.0
2025_01_03,0,4/2/3/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9038235134006879,1.25,2.25
2025_01_03,0,5/1/0/1,NOISE,STEEP_LINEAR_UP,SINE_WAVE,0.8006305222178547,1.33,0.75
2025_01_03,2,6/0/1/0,NOISE,STEEP_LINEAR_UP,EXPAND_OSCILLATOR,0.8182020121126875,1.42,-1.75
2025_01_03,0,6/1/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6927278810296873,1.33,3.5
2025_01_03,3,6/1/1/0,NOISE,STEEP_LINEAR_UP,LINEAR_UP,0.9287096444060104,7.08,2.25
2025_01_03,2,7/0/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.3477227896118913,1.42,3.75
2025_01_03,4,7/0/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9539298736973961,0.67,9.0
2025_01_03,6,7/0/0/0,NOISE,STEEP_LINEAR_UP,ROUNDED_U_UP,0.8147617904542312,2.08,3.25
2025_01_03,0,7/0/3/3,NOISE,STEEP_LINEAR_UP,NOISE,0.7094040424078817,1.0,-9.25
2025_01_03,0,7/2/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.5403519984035208,1.83,7.25
2025_01_03,2,7/2/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6948470829134956,2.5,5.0
2025_01_03,4,7/2/0/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.8521939891435009,1.75,0.25
2025_01_03,6,7/2/0/1,NOISE,STEEP_LINEAR_UP,DAMPED_OSCILLATOR,0.7720919222734814,2.17,0.75
2025_01_03,0,7/2/1/3,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.7843928881210956,2.0,3.0
2025_01_03,0,7/4/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5866819762455922,1.25,-0.25
2025_01_03,0,7/4/0/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5153899931410996,1.08,-0.5
2025_01_03,0,7/4/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6344874621811404,2.08,8.75
2025_01_03,2,7/4/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6668964889816131,1.25,2.75
2025_01_03,0,7/4/2/2,NOISE,STEEP_LINEAR_UP,NOISE,0.31839885179219446,1.58,-0.5
2025_01_03,5,7/4/6/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.8826058931842551,0.92,2.0
2025_01_03,0,7/5/3/5,NOISE,STEEP_LINEAR_UP,NOISE,0.6484656273457159,4.67,-1.0
2025_01_06,0,0/1/0/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.7767916902122375,2.0,0.5
2025_01_06,2,0/1/0/0,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8773813379502328,0.92,3.25
2025_01_06,0,1/0/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6394331594721874,1.33,2.25
2025_01_06,2,1/0/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5959056122942972,1.58,0.75
2025_01_06,1,1/0/1/2,NOISE,STEEP_LINEAR_UP,NOISE,0.5731921539785206,1.42,1.25
2025_01_06,0,2/0/5/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6401441241801585,3.5,1.0
2025_01_06,1,2/2/0/5,NOISE,STEEP_LINEAR_UP,LINEAR_UP,0.9027790345279955,0.75,3.5
2025_01_06,1,2/2/1/3,NOISE,STEEP_LINEAR_UP,NOISE,0.43504304716116743,1.33,2.0
2025_01_06,0,2/2/2/2,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.8097343115848323,1.25,7.75
2025_01_06,2,2/2/2/2,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.872852559268531,1.17,-2.0
2025_01_06,2,2/2/4/1,NOISE,STEEP_LINEAR_UP,NOISE,0.47428644023862054,1.0,0.0
2025_01_06,4,2/2/5/0,NOISE,STEEP_LINEAR_UP,NOISE,0.7396814820638818,2.42,2.0
2025_01_06,0,2/2/5/2,NOISE,STEEP_LINEAR_UP,NOISE,0.6741776148384321,4.0,6.25
2025_01_06,2,2/2/5/2,NOISE,STEEP_LINEAR_UP,NOISE,0.3884977167715408,1.58,-0.75
2025_01_06,0,2/2/7/0,NOISE,STEEP_LINEAR_UP,EXPAND_OSCILLATOR,0.932766165613757,1.08,0.5
2025_01_06,2,2/2/7/0,NOISE,STEEP_LINEAR_UP,EXPAND_OSCILLATOR,0.7964681546313059,1.42,-0.5
2025_01_06,5,2/2/7/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9139982353715083,0.92,0.75
2025_01_06,1,2/2/7/2,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8515582634712641,2.5,2.75
2025_01_06,0,2/2/9/0,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.8388676660780249,1.33,-0.25
2025_01_06,0,2/3/0/1,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_DOWN,0.7936693055345596,1.08,5.0
2025_01_06,0,2/4/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5941867245717605,1.5,3.25
2025_01_06,2,2/4/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.8633174672039046,1.08,5.75
2025_01_06,6,2/4/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.8492080806871093,1.67,4.0
2025_01_06,1,2/4/3/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.8445400928721396,1.75,-6.0
2025_01_06,0,2/6/1/6,NOISE,STEEP_LINEAR_UP,NOISE,0.6808256336813341,1.75,0.0
2025_01_06,0,2/7/1/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.8425976998262964,1.67,2.75
2025_01_06,2,2/7/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6352526724437886,1.83,2.0
2025_01_06,0,2/8/0/1,NOISE,STEEP_LINEAR_UP,STEP_UP,0.8522232273897676,4.75,6.0
2025_01_06,1,2/8/1/0,NOISE,STEEP_LINEAR_UP,NOISE,0.48865997179846477,4.5,5.25
2025_01_06,4,2/8/1/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9212557104700676,1.0,6.0
2025_01_06,1,2/9/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5958634091188266,2.17,7.0
2025_01_06,3,2/9/0/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.8861213355364571,0.92,-4.75
2025_01_06,0,2/9/3/0,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_UP,0.9044615349431263,5.42,-10.25
2025_01_06,0,2/10/0/4,NOISE,STEEP_LINEAR_UP,DAMPED_OSCILLATOR,0.7575593643526388,2.33,3.75
2025_01_06,2,2/10/0/4,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.9592365537178533,0.75,-1.75
2025_01_06,0,3/0/0/1,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.7898355734610168,1.67,5.75
2025_01_06,2,3/0/0/1,NOISE,STEEP_LINEAR_UP,NOISE,0.7183690108694774,2.5,5.25
2025_01_06,0,3/0/2/5,NOISE,STEEP_LINEAR_UP,NOISE,0.665244288000614,1.83,11.0
2025_01_06,2,3/0/2/5,NOISE,STEEP_LINEAR_UP,NOISE,0.5905653140767106,2.17,-1.5
2025_01_06,0,3/0/6/3,NOISE,STEEP_LINEAR_UP,EXPONENTIAL_DOWN,0.7656846838951149,1.25,-2.5
2025_01_07,0,0/0/1/2,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_UP,0.7593970572254213,0.83,-1.25
2025_01_07,0,0/1/0/4,NOISE,STEEP_LINEAR_UP,SYMMETRIC_V_DOWN,0.785092949708026,1.67,1.25
2025_01_07,1,2/2/0/7,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_UP,0.9559120260024009,1.25,5.5
2025_01_07,4,2/2/0/7,NOISE,STEEP_LINEAR_UP,NOISE,0.7309628108749968,3.67,1.75
2025_01_07,0,2/2/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.555270466063788,1.75,1.5
2025_01_07,2,2/2/1/1,NOISE,STEEP_LINEAR_UP,NOISE,0.6328922145638868,2.5,-0.25
2025_01_07,0,2/2/1/3,NOISE,STEEP_LINEAR_UP,NOISE,0.36985443311166577,1.83,1.5
2025_01_07,4,2/2/1/3,NOISE,STEEP_LINEAR_UP,NOISE,0.5099032280091871,2.25,-3.25
2025_01_07,0,2/2/1/6,NOISE,STEEP_LINEAR_UP,NOISE,0.6706141466867725,1.5,0.75
2025_01_07,4,3/0/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.7171250194618827,5.08,-0.75
2025_01_07,0,4/0/2/0,NOISE,STEEP_LINEAR_UP,NOISE,0.7089181203791621,6.0,-0.75
2025_01_07,2,4/0/4/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6883457461614295,1.17,-0.5
2025_01_07,0,4/1/0/0,NOISE,STEEP_LINEAR_UP,NOISE,0.5813014356533023,1.08,0.25
2025_01_07,0,4/2/0/2,NOISE,STEEP_LINEAR_UP,NOISE,0.34692195470019194,1.42,8.25
2025_01_07,5,4/2/0/2,NOISE,STEEP_LINEAR_UP,DAMPED_OSCILLATOR,0.7600614500388118,1.83,-1.75
2025_01_07,0,4/2/0/4,NOISE,STEEP_LINEAR_UP,LOGARITHMIC_DOWN,0.7810600003328277,0.75,-1.5
2025_01_07,0,4/2/1/1,NOISE,STEEP_LINEAR_UP,LINEAR_DOWN,0.8580208550737306,1.08,-0.5
2025_01_07,1,5/0/0/1,NOISE,STEEP_LINEAR_UP,LINEAR_UP,0.9324058037970757,0.75,-5.25
2025_01_07,0,5/0/4/0,NOISE,STEEP_LINEAR_UP,NOISE,0.6998843210357237,1.08,-5.0
