day,idx,parent_chain,shape,parent_shape,length_min,subshape_id
2025_02_12,0,5/0/2/1,NOISE,STEEP_LINEAR_DOWN,3.0,0
2025_07_25,9,3/1/0/9,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_05_26,1,3/0/5/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_04_14,0,3/1/1/3,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_06_13,0,1/0/1/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_05_08,2,2/0/7/0,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_01_20,0,1/1/2/1,NOISE,STEEP_LINEAR_DOWN,4.08,0
2025_02_07,0,5/0/10/1,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_05_02,0,2/4/0/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_02_17,10,4/0/0/1,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_05_07,2,9/2/4/3,NOISE,STEEP_LINEAR_DOWN,0.58,0
2025_01_30,3,2/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_07_15,1,1/4/8/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_05_30,2,5/1/2/2,NOISE,STEEP_LINEAR_DOWN,0.5,0
2025_12_16,1,1/2/3/1,NOISE,STEEP_LINEAR_DOWN,3.05,0
2025_03_06,8,3/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_03_04,0,3/2/7/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_28,2,5/3/0/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_11_20,8,7/3/0/0,NOISE,STEEP_LINEAR_DOWN,3.08,0
2025_02_04,0,1/5/4/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_11_13,0,6/0/2/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_03_06,6,2/5/2/1,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_04_04,0,3/1/1/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_01_07,2,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_04_28,0,8/0/0/6,NOISE,STEEP_LINEAR_DOWN,2.5,0
2026_03_17,7,1/1/2/1,NOISE,STEEP_LINEAR_DOWN,5.58,0
2025_03_14,4,5/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_03_02,0,2/0/2/1,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_10_10,2,7/2/6/0,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_03_13,7,4/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_03_06,4,4/0/8/0,NOISE,STEEP_LINEAR_DOWN,2.5,0
2025_12_12,0,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_05_05,5,1/3/1/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_11_17,6,3/1/0/2,NOISE,STEEP_LINEAR_DOWN,3.08,0
2025_10_16,0,4/1/1/0,NOISE,STEEP_LINEAR_DOWN,4.75,0
2025_09_11,2,1/4/14/1,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_05_30,0,1/0/4/0,NOISE,STEEP_LINEAR_DOWN,2.33,0
2025_12_11,1,4/0/5/5,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_02_13,0,4/1/1/3,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_08_05,0,7/2/1/0,NOISE,STEEP_LINEAR_DOWN,3.42,0
2025_07_09,0,7/0/4/1,NOISE,STEEP_LINEAR_DOWN,2.5,0
2026_03_19,0,7/0/0/2,NOISE,STEEP_LINEAR_DOWN,1.43,0
