seed_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,5452,3420,0.6272,0.6144,0.64,1.677
EXPONENTIAL_UP,694,457,0.658,0.6224,0.6928,2.09
SYMMETRIC_V_UP,421,265,0.6288,0.5823,0.6742,2.096
STEP_UP,414,247,0.5962,0.5486,0.6428,1.034
EXPONENTIAL_DOWN,361,202,0.5592,0.5079,0.6099,1.678
LOGARITHMIC_UP,353,200,0.5662,0.5144,0.6173,0.749
SYMMETRIC_V_DOWN,337,213,0.6313,0.5793,0.6818,1.301
FRONT_SKEWED_DOWN,226,142,0.6272,0.5636,0.6887,1.924
ROUNDED_U_UP,181,114,0.6284,0.5574,0.6968,1.637
DAMPED_OSCILLATOR,174,105,0.6023,0.5292,0.6732,1.276
ROUNDED_U_DOWN,153,85,0.5548,0.4763,0.632,1.299
LOGARITHMIC_DOWN,150,93,0.6184,0.5401,0.6938,1.375
LINEAR_UP,131,80,0.609,0.525,0.6899,1.176
SINE_WAVE,126,87,0.6875,0.6049,0.7645,2.726
BACK_SKEWED_UP,124,76,0.6111,0.5248,0.6941,1.361
FRONT_SKEWED_UP,111,70,0.6283,0.5376,0.7147,1.538
STEP_DOWN,106,61,0.5741,0.4801,0.6654,0.233
EXPAND_OSCILLATOR,104,61,0.5849,0.4902,0.6766,1.986
BACK_SKEWED_DOWN,88,58,0.6556,0.5549,0.7496,1.727
LINEAR_DOWN,87,51,0.5843,0.4809,0.684,1.802
