seed_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,5126,1775,0.3463,0.3334,0.3594,-1.757
EXPONENTIAL_DOWN,690,243,0.3526,0.3174,0.3886,-1.521
SYMMETRIC_V_DOWN,408,127,0.3122,0.2683,0.3578,-1.676
SYMMETRIC_V_UP,400,136,0.3408,0.2953,0.3878,-2.143
EXPONENTIAL_UP,372,152,0.4091,0.3598,0.4593,-1.045
LOGARITHMIC_DOWN,320,123,0.3851,0.3327,0.4388,-1.404
DAMPED_OSCILLATOR,220,83,0.3784,0.3158,0.443,-1.358
STEP_DOWN,219,88,0.4027,0.3391,0.468,-0.769
STEP_UP,204,76,0.3738,0.3091,0.4408,-0.692
LOGARITHMIC_UP,172,63,0.3678,0.2979,0.4406,-1.817
FRONT_SKEWED_DOWN,171,51,0.3006,0.2347,0.3708,-1.77
EXPAND_OSCILLATOR,171,69,0.4046,0.3328,0.4785,-0.12
LINEAR_DOWN,170,61,0.3605,0.2906,0.4334,-1.631
ROUNDED_U_UP,164,61,0.3735,0.3017,0.4482,-0.93
SINE_WAVE,152,56,0.3701,0.2958,0.4476,-1.65
BACK_SKEWED_UP,151,49,0.3268,0.255,0.4029,-2.68
ROUNDED_U_DOWN,142,49,0.3472,0.2719,0.4266,-1.641
FRONT_SKEWED_UP,133,53,0.4,0.3192,0.4836,-1.254
LINEAR_UP,82,37,0.4524,0.3479,0.559,-0.915
BACK_SKEWED_DOWN,72,35,0.4865,0.374,0.5996,0.212
