feature,n_peaks,n_h,n_l,n_baseline,peak_mean,peak_std,baseline_mean,baseline_std,d_peak_vs_bl,d_h_vs_l,d_h_vs_bl,d_l_vs_bl,d_1W_vs_bl,d_1D_vs_bl,d_4h_vs_bl,d_1h_vs_bl,d_15m_vs_bl,d_1m_vs_bl
5m_dmi_diff,4261,2134,2127,50000,-1.1211197810448952,13.853095707581357,-0.6982680340588314,13.730206306541788,-0.030657708879593366,1.3322062083859614,0.5716503267079175,-0.6399878286856095,-0.028346584784242682,-0.016235952524198165,-0.004380376506363878,-0.06107549453409028,-0.03167641455629683,0.16842247620653822
1m_dmi_diff,4261,2134,2127,50000,-0.9881240180546852,12.90675822255863,-0.5965707732847275,13.386680039681396,-0.029776545029955567,1.2169990789933745,0.5137320877855736,-0.5806560471032525,0.2645528083004625,0.0025906152810920603,0.01806526314821699,-0.036333825264666414,-0.03911140982432952,0.042420502856257154
15m_z_se,4261,2134,2127,50000,-0.04905658121845325,1.219406854603455,-0.029098905984423398,1.2192448454764495,-0.016366752294283166,1.0356343868182862,0.4712527301148717,-0.5012474485234286,-0.1261377453729598,0.040842253797681104,0.027386617991895793,-0.05345390453042236,-0.014016717583489057,-0.15283136321818397
15m_dmi_diff,4261,2134,2127,50000,-1.7345972690411957,14.523690814172694,-1.115210283704435,14.399353811581026,-0.04282685605578762,0.8999391273821512,0.3855503045420158,-0.47608930380970105,-0.20632918302441614,-0.13849301500239308,0.014673650812585053,-0.06296473788551774,-0.05043591723350918,0.4116549465605696
15m_z_low,4261,2134,2127,50000,-0.7735158425898336,1.176781984045867,-0.6941386727449139,12.18733745771692,-0.009168152459836139,0.7536888780664671,0.03874117849339112,-0.057193127580706805,0.007608124817693292,0.025115647124952702,-0.004891445022577121,-0.01417708569052745,-0.009470990831830171,-0.026468340017541565
15m_velocity,4261,2134,2127,50000,-0.7879019009622155,32.28037286266656,0.09803,36.336175020481996,-0.025776219299115753,0.7470393322348517,0.31535172587952015,-0.35999111597024025,-0.07817644591894152,0.023376643058221104,0.043119799868528055,-0.07682570792775047,-0.026161002250694364,-0.026702305729439404
5m_z_se,4261,2134,2127,50000,-0.05256890784642897,1.1641180915191205,-0.027579960596173913,1.1938520294445643,-0.02119229854877058,0.72759181921722,0.32542629159336667,-0.36978795170324724,0.1421783927842105,0.024215955021395744,0.01924469159841111,0.019139620199914012,-0.034941083083357555,-0.15334718671692016
15m_z_high,4261,2134,2127,50000,0.6704107430896241,1.0937524613221994,0.7861926050382626,12.176424468772865,-0.013393250350779694,0.69851858029753,0.028259824688505922,-0.05523379731279506,-0.059417278740311094,-0.03359750152922793,-0.014127916603599978,-0.017536206565914782,-0.01130515807249575,-0.041549923666165306
15m_dir_vol,4261,2134,2127,50000,-0.046158029016992966,1.8603472924220879,-0.01751548186890781,1.9180075080680352,-0.01515867999046412,0.6044512514230294,0.2832294329596433,-0.29829971620813645,0.03910865663671541,0.07126438917483698,0.06519703226994567,-0.02408577612533807,-0.026440387683498476,0.09708159299008634
15s_dmi_diff,4261,2134,2127,50000,-0.8113586384840978,14.32963058912962,-0.2861912485870579,15.21949992187504,-0.035527115131498456,0.5650481908647157,0.23055277039693084,-0.306439563319729,0.3157852817671116,0.067304498568368,-0.011317244445032902,-0.0196854571666533,-0.0482820299935587,0.036270947407797134
1h_z_se,4261,2134,2127,50000,-0.05229176515283983,1.263531898734901,-0.03689104156117988,1.2379809943369084,-0.012311687682762936,0.5352501615229344,0.25437433631325645,-0.2770049025295625,-0.022625613362005238,-0.011962405985026783,-0.0018672139206413394,-0.048183091879832905,-0.014623421180542424,0.5582287111741076
1h_velocity,4261,2134,2127,50000,-0.7271767190800281,72.85881551241951,-0.06646,68.22977134703297,-0.00936031790317227,0.506181794983882,0.24670883986747005,-0.26827535915006345,-0.11003390681527127,0.016098935029517394,0.024919566543122034,-0.036708802022217185,-0.011605396584426117,0.19882173207630308
1h_dir_vol,4261,2134,2127,50000,-0.05673104632672948,1.592504904061619,-0.019121123277395964,1.5837611259049533,-0.02368024221091793,0.4828868854293567,0.21844035805685044,-0.25830682707853736,-0.04721341125421185,0.0061219281755425055,0.04351384116651779,-0.051902470649436816,-0.0324884053374339,0.39021635343997996
5m_velocity,4261,2134,2127,50000,-0.8758507392630838,18.034838934825164,-0.00399,19.48992801628318,-0.046430888731439864,0.3900437759084813,0.14030806570093016,-0.2293901309383287,0.2356472666668642,-0.01781628805802806,-0.00784665232233242,-0.11497472166683315,-0.03907325763977421,-0.15648209950788022
5m_dir_vol,4261,2134,2127,50000,-0.05863689402862771,1.265452192292862,-0.004893530935272575,1.4478527998849222,-0.03952324351653591,0.36244933997544365,0.12945589509659505,-0.20352726655843761,0.058151965250237796,-0.0796596863342852,-0.0024752552290407395,-0.0651283012401648,-0.038486851541294,-0.1130034045574536
1h_acceleration,4261,2134,2127,50000,0.5612532269420324,62.74745710489148,-0.01011,3.0070480188882915,0.012861219795342828,0.2807250730443399,0.20962942659490796,-0.1867773178222487,0.29416632061148307,0.11403606594531122,-0.010021700152672956,0.02284761750327952,0.01021398136230815,-0.2142197332493994
1h_dmi_diff,4261,2134,2127,50000,-2.703881738336293,14.67188371123373,-1.7496904155211244,14.854079181687007,-0.06462874935210364,0.27124492436602776,0.0689457183501633,-0.19958052431170506,-0.5207644386828949,-0.17763789270898928,0.021236725036752016,-0.012893813064156049,-0.08010746988262966,-0.15815690977755933
1h_z_low,4261,2134,2127,50000,-0.7830787259545567,1.2866649101980634,-0.6640736019200318,12.194494979691514,-0.01372485896663951,0.255008068699713,0.005016773495678019,-0.03253445567204161,0.0161598897584949,0.0077193888270055645,-0.016254940613311685,-0.014878326263738213,-0.01518554298352635,0.08406961879990991
1h_z_high,4261,2134,2127,50000,0.6214741684123954,1.1510674494030653,0.7144031261954616,12.180222572465548,-0.010741758666566518,0.2543183903563468,0.0060194324437223695,-0.027557049567112888,-0.025663257584159136,-0.028718390811956818,-0.014731532423824027,-0.018295157248149906,-0.008936253808179582,0.0462202272189774
5m_bar_range,4261,2134,2127,50000,92.64984745364937,80.40030913841032,93.99682,87.99234858717887,-0.015980820932986927,-0.15971558001367936,-0.09188122883661524,0.06021444385084269,-0.276091070920557,-0.4605683047880754,-0.06666979177447493,-0.08331155701555308,0.010065252648889913,0.35665073088555077
1m_dir_vol,4261,2134,2127,50000,-0.02651201724320671,1.19469742389343,-0.0017799533446878194,1.2805037991904769,-0.01997068677051387,0.1591699839339486,0.05703546590450566,-0.0959525419612627,-0.07601956157446997,0.05249263966346844,-0.09382755442699943,0.0057626933153109025,-0.014694161991802181,-0.017733783106718904
15m_dmi_gap,4261,2134,2127,50000,11.608696987251935,8.898571616254898,11.417843321118092,8.844090572940335,0.021512053607178606,-0.1484030820243045,-0.053689461627279986,0.09425370995873526,0.03098601054375516,0.10012207424389806,-0.03999484568166576,0.04720074958893038,0.01797773019562381,0.3160621526557804
1m_bar_range,4261,2134,2127,50000,39.3992020652429,36.647870419848765,41.57202,42.59436644815368,-0.05468308878672506,-0.1460704620859019,-0.12341490873153718,0.01249082390602913,-0.40046647085830683,-0.3399426465366622,-0.04020819392941033,-0.08392112367835924,-0.05111292645127114,0.4981981014888693
15m_bar_range,4261,2134,2127,50000,167.46655714620982,142.7219143001373,163.64066,157.4027799461128,0.02546344810163819,-0.1455825243819496,-0.0431137481006855,0.09540853520991675,-0.3019302200279873,-0.4234936699936844,-0.059574892386342004,-0.06339011258091289,0.0575795959830083,0.4778455182627729
5m_dmi_gap,4261,2134,2127,50000,10.89211167416562,8.632906435515457,10.86841566746152,8.419244879849096,0.002778840707507882,-0.14276388806574827,-0.07031818987847586,0.07402444187841448,0.041600517680828404,0.093539307297115,-0.036047695177643155,-0.06112343788948539,0.01406869231875672,0.31453246023365117
5m_vol_rel,4261,2134,2127,50000,1.027749296703534,0.7463990010081744,1.1094771949560196,0.9360008063498201,-0.09654017916152861,-0.13290430824481686,-0.15832728298076895,-0.037237934900152786,-0.764831306006923,-0.5049722103804105,-0.036098199121134815,-0.1361584854099789,-0.0854309700892986,-0.01771462499479076
