day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_01,IS,phrase,0,,NOISE,NOISE,NONE,-2.0,11.851731795701022,1735772400,1735775995,0,605,59.92
2025_01_02,IS,phrase,0,,NOISE,NOISE,NONE,-2.0,44.04425566522087,1735776000,1735779705,0,721,61.75
2025_01_02,IS,phrase,1,,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9858049518687848,28.227210908776637,1735781520,1735829100,1069,9763,793.0
2025_01_02,IS,phrase,2,,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9902783897848827,84.3460030462732,1735829100,1735851600,9763,14263,375.0
2025_01_02,IS,phrase,3,,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9801728415947206,47.15441502002412,1735851600,1735862395,14263,15457,179.92
2025_01_03,IS,phrase,0,,NOISE,NOISE,NONE,-2.0,14.342191263753268,1735862400,1735866545,0,721,69.08
2025_01_03,IS,phrase,1,,FLATLINE,FLATLINE,NONE,0.0,13.630186248969133,1735868520,1735871280,1037,1502,46.0
2025_01_03,IS,phrase,2,,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9298638868095923,11.865386018758377,1735871400,1735882250,1524,3034,180.83
2025_01_03,IS,phrase,3,,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.9331547809767425,10.288207311279871,1735882250,1735891775,3034,4510,158.75
2025_01_03,IS,phrase,4,,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9523294480515242,17.19090137714078,1735891775,1735903630,4510,6647,197.58
2025_01_03,IS,phrase,5,,FLATLINE,FLATLINE,NONE,0.369435283069806,16.990318398046032,1735903800,1735907185,6677,7251,56.42
2025_01_03,IS,phrase,6,,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.8726755444057505,12.113468065631505,1735907400,1735913700,7292,8506,105.0
2025_01_03,IS,phrase,7,,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9848753044802034,45.06341222558166,1735913700,1735940850,8506,13906,452.5
2025_01_03,IS,phrase,8,,FLATLINE,FLATLINE,NONE,0.0,21.33271557472964,1735940850,1735941595,13906,14027,12.42
2025_01_05,IS,phrase,0,,NOISE,NOISE,NONE,-2.0,9.072442901823354,1736118000,1736121595,0,580,59.92
