**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,date_iso,threshold,max_depth,n_phrases,n_motifs,n_sub_motifs,n_measures,n_notes
2025_05_01,IS,2025-05-01,0.85,5,10,27,78,253,754
2025_05_02,IS,2025-05-02,0.85,5,5,19,69,246,691
2025_05_04,IS,2025-05-04,0.85,5,1,2,5,22,66
2025_05_05,IS,2025-05-05,0.85,5,6,25,81,262,724
2025_05_06,IS,2025-05-06,0.85,5,8,27,83,260,746
2025_05_07,IS,2025-05-07,0.85,5,11,25,79,262,774
2025_05_08,IS,2025-05-08,0.85,5,5,22,73,259,780
2025_05_09,IS,2025-05-09,0.85,5,8,24,72,238,696
2025_05_11,IS,2025-05-11,0.85,5,2,3,8,15,44
2025_05_12,IS,2025-05-12,0.85,5,4,20,80,257,713
2025_05_13,IS,2025-05-13,0.85,5,6,16,69,254,761
2025_05_14,IS,2025-05-14,0.85,5,9,28,87,276,747
2025_05_15,IS,2025-05-15,0.85,5,7,21,72,254,732
2025_05_16,IS,2025-05-16,0.85,5,7,19,65,228,661
2025_05_18,IS,2025-05-18,0.85,5,1,3,9,21,54
2025_05_19,IS,2025-05-19,0.85,5,7,27,74,242,744
2025_05_20,IS,2025-05-20,0.85,5,8,22,79,243,747
2025_05_21,IS,2025-05-21,0.85,5,4,16,71,247,750
2025_05_22,IS,2025-05-22,0.85,5,8,25,82,246,712
2025_05_23,IS,2025-05-23,0.85,5,8,21,71,237,705
2025_05_25,IS,2025-05-25,0.85,5,2,3,6,12,33
2025_05_26,IS,2025-05-26,0.85,5,7,19,60,182,484
2025_05_27,IS,2025-05-27,0.85,5,7,23,67,252,715
2025_05_28,IS,2025-05-28,0.85,5,10,27,81,273,710
2025_05_29,IS,2025-05-29,0.85,5,9,25,72,277,790
2025_05_30,IS,2025-05-30,0.85,5,8,23,68,240,717
2025_06_01,IS,2025-06-01,0.85,5,2,3,5,14,37
2025_06_02,IS,2025-06-02,0.85,5,6,17,81,251,730
2025_06_03,IS,2025-06-03,0.85,5,8,22,79,257,731
2025_06_04,IS,2025-06-04,0.85,5,9,29,76,238,740
2025_06_05,IS,2025-06-05,0.85,5,8,25,83,254,731
2025_06_06,IS,2025-06-06,0.85,5,6,23,80,228,666
2025_06_08,IS,2025-06-08,0.85,5,2,3,5,14,38
2025_06_09,IS,2025-06-09,0.85,5,6,24,75,246,675
2025_06_10,IS,2025-06-10,0.85,5,6,21,86,256,742
2025_06_11,IS,2025-06-11,0.85,5,6,24,73,237,684
2025_06_12,IS,2025-06-12,0.85,5,10,26,73,244,707
2025_06_13,IS,2025-06-13,0.85,5,4,19,69,255,689
2025_06_15,IS,2025-06-15,0.85,5,2,3,6,13,36
2025_06_16,IS,2025-06-16,0.85,5,7,20,67,230,649
2025_06_17,IS,2025-06-17,0.85,5,7,22,68,201,538
2025_06_18,IS,2025-06-18,0.85,5,5,13,57,172,470
2025_06_19,IS,2025-06-19,0.85,5,3,5,27,67,169
2025_06_20,IS,2025-06-20,0.85,5,2,2,7,16,48
2025_07_01,IS,2025-07-01,0.85,5,6,21,77,253,738
2025_07_02,IS,2025-07-02,0.85,5,6,25,76,248,706
2025_07_03,IS,2025-07-03,0.85,5,8,16,57,190,532
2025_07_04,IS,2025-07-04,0.85,5,3,15,54,164,452
2025_07_06,IS,2025-07-06,0.85,5,1,3,11,19,50
2025_07_07,IS,2025-07-07,0.85,5,6,27,72,248,720
2025_07_08,IS,2025-07-08,0.85,5,9,23,73,245,659
2025_07_09,IS,2025-07-09,0.85,5,8,24,76,223,677
2025_07_10,IS,2025-07-10,0.85,5,8,22,64,238,646
2025_07_11,IS,2025-07-11,0.85,5,6,20,67,239,667
2025_07_13,IS,2025-07-13,0.85,5,1,3,7,28,55
2025_07_14,IS,2025-07-14,0.85,5,8,17,76,234,683
2025_07_15,IS,2025-07-15,0.85,5,6,19,72,263,727
2025_07_16,IS,2025-07-16,0.85,5,7,21,67,240,709
2025_07_17,IS,2025-07-17,0.85,5,8,25,73,248,683
2025_07_18,IS,2025-07-18,0.85,5,7,24,76,233,634
2025_07_20,IS,2025-07-20,0.85,5,2,3,5,12,32
2025_07_21,IS,2025-07-21,0.85,5,5,23,61,227,656
2025_07_22,IS,2025-07-22,0.85,5,10,22,73,246,696
2025_07_23,IS,2025-07-23,0.85,5,5,25,73,262,682
2025_07_24,IS,2025-07-24,0.85,5,9,24,80,249,664
2025_07_25,IS,2025-07-25,0.85,5,9,21,58,209,628
2025_07_27,IS,2025-07-27,0.85,5,2,3,7,17,41
2025_07_28,IS,2025-07-28,0.85,5,9,22,71,241,676
2025_07_29,IS,2025-07-29,0.85,5,8,22,73,214,630
2025_07_30,IS,2025-07-30,0.85,5,8,24,85,239,706
2025_07_31,IS,2025-07-31,0.85,5,5,19,63,248,718
2025_08_01,IS,2025-08-01,0.85,5,6,22,80,256,705
2025_08_03,IS,2025-08-03,0.85,5,2,3,6,14,41
2025_08_04,IS,2025-08-04,0.85,5,4,18,63,274,757
2025_08_05,IS,2025-08-05,0.85,5,10,25,68,236,670
2025_08_06,IS,2025-08-06,0.85,5,4,15,73,251,728
2025_08_07,IS,2025-08-07,0.85,5,6,18,79,261,768
2025_08_08,IS,2025-08-08,0.85,5,6,20,71,225,633
2025_08_10,IS,2025-08-10,0.85,5,2,4,5,13,33
2025_08_11,IS,2025-08-11,0.85,5,7,22,69,233,701
2025_08_12,IS,2025-08-12,0.85,5,8,23,76,234,656
2025_08_13,IS,2025-08-13,0.85,5,11,24,76,231,664
2025_08_14,IS,2025-08-14,0.85,5,10,25,73,232,661
2025_08_15,IS,2025-08-15,0.85,5,7,21,67,220,613
2025_08_17,IS,2025-08-17,0.85,5,1,2,3,13,32
2025_08_18,IS,2025-08-18,0.85,5,8,25,78,232,670
2025_08_19,IS,2025-08-19,0.85,5,4,18,60,237,696
2025_08_20,IS,2025-08-20,0.85,5,5,21,80,228,743
2025_08_21,IS,2025-08-21,0.85,5,11,23,69,258,692
2025_08_22,IS,2025-08-22,0.85,5,7,21,73,221,640
2025_08_24,IS,2025-08-24,0.85,5,2,4,5,11,30
2025_08_25,IS,2025-08-25,0.85,5,6,19,78,237,672
2025_08_26,IS,2025-08-26,0.85,5,9,20,69,254,740
2025_08_27,IS,2025-08-27,0.85,5,7,22,67,226,657
2025_08_28,IS,2025-08-28,0.85,5,7,21,71,250,710
2025_08_29,IS,2025-08-29,0.85,5,7,23,62,218,630
2025_08_31,IS,2025-08-31,0.85,5,1,2,4,10,28
2025_09_01,IS,2025-09-01,0.85,5,5,16,60,179,482
2025_09_02,IS,2025-09-02,0.85,5,5,16,63,241,710
2025_09_03,IS,2025-09-03,0.85,5,10,31,86,251,733
2025_09_04,IS,2025-09-04,0.85,5,6,18,77,254,694
2025_09_05,IS,2025-09-05,0.85,5,6,16,60,226,642
2025_09_07,IS,2025-09-07,0.85,5,1,2,5,17,62
2025_09_08,IS,2025-09-08,0.85,5,7,21,71,238,668
2025_09_09,IS,2025-09-09,0.85,5,7,19,65,239,653
2025_09_10,IS,2025-09-10,0.85,5,6,17,75,257,682
2025_09_11,IS,2025-09-11,0.85,5,6,21,74,253,697
2025_09_12,IS,2025-09-12,0.85,5,5,20,62,213,595
2025_09_14,IS,2025-09-14,0.85,5,1,2,4,12,28
2025_09_15,IS,2025-09-15,0.85,5,6,15,62,212,602
2025_09_16,IS,2025-09-16,0.85,5,4,18,70,198,539
2025_09_17,IS,2025-09-17,0.85,5,6,11,48,168,470
2025_09_18,IS,2025-09-18,0.85,5,7,17,55,165,454
