**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_01,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,8.061574286821777,1735772400,1735774570,0,361,36.17
2025_01_01,IS,motif,1,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9357846666434659,19.06171328565568,1735775180,1735775995,476,605,13.58
2025_01_02,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,25.22321756442955,1735776000,1735777860,0,361,31.0
2025_01_02,IS,motif,1,0,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.873596298656039,35.41350306413509,1735778445,1735779645,474,709,20.0
2025_01_02,IS,motif,2,0,FLATLINE,FLATLINE,NONE,0.0,37.51980958255404,1735779645,1735779705,709,721,1.0
2025_01_02,IS,motif,0,1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9884847946033907,11.152299129442063,1735781520,1735789510,1069,2461,133.17
2025_01_02,IS,motif,1,1,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.8707321508801609,7.650656862808302,1735789510,1735793400,2461,3118,64.83
2025_01_02,IS,motif,2,1,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,SYMMETRIC,0.9683676755486144,8.768138440546581,1735793400,1735803600,3118,4833,170.0
2025_01_02,IS,motif,3,1,FLATLINE,FLATLINE,NONE,0.0,13.416995835231347,1735803600,1735806000,4833,5282,40.0
2025_01_02,IS,motif,4,1,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,SYMMETRIC,0.913852168775177,28.642149135701228,1735806000,1735807510,5282,5582,25.17
2025_01_02,IS,motif,5,1,FLATLINE,FLATLINE,NONE,0.0,25.1579968236927,1735807510,1735809900,5582,6053,39.83
2025_01_02,IS,motif,6,1,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.8886493413086874,12.30989945751593,1735809900,1735813200,6053,6683,55.0
2025_01_02,IS,motif,7,1,NOISE,NOISE,NONE,0.5875601555494491,9.944072166252644,1735813200,1735815530,6683,7096,38.83
2025_01_02,IS,motif,8,1,FLATLINE,FLATLINE,NONE,0.0,10.152246125397015,1735815530,1735815600,7096,7108,1.17
2025_01_02,IS,motif,9,1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9433077988346104,15.188455418074067,1735815600,1735822820,7108,8515,120.33
2025_01_02,IS,motif,10,1,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,SYMMETRIC,0.9462524784798617,14.14469243604561,1735822820,1735826415,8515,9226,59.92
2025_01_02,IS,motif,11,1,FLATLINE,FLATLINE,NONE,0.0,15.353397883854935,1735826415,1735826700,9226,9283,4.75
2025_01_02,IS,motif,12,1,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9880845645578648,40.56463627074047,1735826700,1735829100,9283,9763,40.0
2025_01_02,IS,motif,0,2,NOISE,NOISE,NONE,0.778002468516447,77.36960390499974,1735829100,1735832700,9763,10483,60.0
2025_01_02,IS,motif,1,2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9285030887354478,44.73417310933097,1735832700,1735835700,10483,11083,50.0
2025_01_02,IS,motif,2,2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.8531497221876659,26.853785971753986,1735835700,1735839000,11083,11743,55.0
2025_01_02,IS,motif,3,2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.964120070766583,56.156769651209444,1735839000,1735845000,11743,12943,100.0
2025_01_02,IS,motif,4,2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9945830824120356,25.88408647758515,1735845000,1735851600,12943,14263,110.0
2025_01_02,IS,motif,0,3,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,SYMMETRIC,0.9356430977653891,13.287441632868303,1735851600,1735859680,14263,15023,134.67
2025_01_02,IS,motif,1,3,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9889000236822317,8.64677309582441,1735859680,1735862395,15023,15457,45.25
2025_01_03,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,17.646388992699716,1735862400,1735864435,0,361,33.92
2025_01_03,IS,motif,1,0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9774917704245037,16.230070977765106,1735864995,1735866545,463,721,25.83
