**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_02,IS,sub_motif,1,1/2,FLATLINE,FLATLINE,NONE,0.0,2.229002552121206,1735798200,1735798255,3944,3954,0.92
2025_01_02,IS,sub_motif,2,1/2,NOISE,NOISE,NONE,0.7071773811226308,2.1857238071743033,1735798255,1735798620,3954,4001,6.08
2025_01_02,IS,sub_motif,3,1/2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.8801410355784509,4.386748447928771,1735798620,1735799570,4001,4161,15.83
2025_01_02,IS,sub_motif,4,1/2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9681548455719631,5.057534276010346,1735799580,1735801920,4163,4549,39.0
2025_01_02,IS,sub_motif,5,1/2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9829428042415793,4.359963147164724,1735801920,1735803600,4549,4833,28.0
2025_01_02,IS,sub_motif,0,1/3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9496919508989257,5.906326874374542,1735803600,1735804980,4833,5078,23.0
2025_01_02,IS,sub_motif,1,1/3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9940024790076039,14.8517663590048,1735804980,1735806000,5078,5282,17.0
2025_01_02,IS,sub_motif,0,1/4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9804706447231445,14.920003527510517,1735806000,1735807510,5282,5582,25.17
2025_01_02,IS,sub_motif,0,1/5,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9871503288222887,9.683756616573175,1735807510,1735809900,5582,6053,39.83
2025_01_02,IS,sub_motif,0,1/6,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9705945334169134,6.795293984777407,1735809900,1735811400,6053,6336,25.0
2025_01_02,IS,sub_motif,1,1/6,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9515195942528568,6.88686491794438,1735811400,1735812600,6336,6566,20.0
