min_agree,n,pct_data,accuracy,lift
1,14828,100.0,0.5619099001888319,0.03318046938224972
2,14828,100.0,0.5619099001888319,0.03318046938224972
3,14828,100.0,0.5619099001888319,0.03318046938224972
4,11091,74.79768006474238,0.5808313046614372,0.052101873854854985
5,6383,43.04693822497977,0.6094313018956603,0.08070187108907811
