actual_pnl,actual_held,direction,same_early_best,same_early_bar,same_at_exit,same_ext_best,same_ext_bar,same_best,same_best_bar,counter_early_best,counter_early_bar,counter_at_exit,counter_ext_best,counter_ext_bar,counter_best,counter_best_bar,best_action,best_pnl,regret,early_entry_gain,best_early_bars_before,best_early_same_peak,best_early_counter_peak,trade_id,day,entry_tier
25.5,24,short,25.5,0,25.5,25.5,24,25.5,0,-25.5,0,0.0,-25.5,0,-25.5,0,same_early,25.5,0.0,108.5,55,134.0,0.0,0,2025_01_01,RIDE_CALM
-78.0,13,long,-78.0,0,-200.0,276.0,364,276.0,364,211.0,2,200.0,211.0,2,211.0,2,same_extended,276.0,354.0,350.0,3,350.0,137.0,0,2025_01_02,FADE_CALM
-52.5,5,long,-19.5,4,-28.0,418.5,358,418.5,358,52.5,0,28.0,67.0,9,67.0,9,same_extended,418.5,471.0,487.0,4,487.0,0.0,1,2025_01_02,FADE_CALM
28.0,24,long,60.0,13,37.0,241.5,335,241.5,335,-16.0,3,-37.0,13.5,9,13.5,9,same_extended,241.5,213.5,476.0,56,504.0,0.0,2,2025_01_02,RIDE_CALM
-58.5,12,short,-46.0,1,-44.5,-37.0,29,-37.0,29,58.5,0,44.5,250.5,315,250.5,315,counter_extended,250.5,309.0,498.5,76,0.0,498.5,3,2025_01_02,RIDE_CALM
14.5,15,long,25.0,8,10.0,199.5,332,199.5,332,-14.0,3,-10.0,55.0,100,55.0,100,same_extended,199.5,185.0,361.5,120,376.0,0.0,4,2025_01_02,RIDE_CALM
-1.0,5,short,3.0,4,12.5,64.0,85,64.0,85,2.0,1,-12.5,190.5,317,190.5,317,counter_extended,190.5,191.5,333.5,119,0.0,333.5,5,2025_01_02,RIDE_CALM
9.5,15,long,9.5,0,-33.5,196.5,280,196.5,280,-0.5,2,33.5,58.0,48,58.0,48,same_extended,196.5,187.0,251.0,79,260.5,0.0,6,2025_01_02,RIDE_CALM
-20.5,11,short,-6.5,8,-26.0,13.5,25,13.5,25,30.5,3,26.0,241.0,257,241.0,257,counter_extended,241.0,261.5,260.5,102,0.0,260.5,7,2025_01_02,RIDE_CALM
-22.0,4,short,-19.5,1,-10.0,20.0,13,20.0,13,25.5,2,10.0,234.5,245,234.5,245,counter_extended,234.5,256.5,260.5,114,0.0,260.5,8,2025_01_02,RIDE_CALM
0.5,2,short,0.5,0,-17.5,-17.5,2,0.5,0,19.5,3,17.5,254.0,231,254.0,231,counter_extended,254.0,253.5,254.0,1,0.0,254.5,9,2025_01_02,RIDE_CALM
28.5,10,long,33.0,1,20.0,170.0,173,170.0,173,-25.5,3,-20.0,3.0,193,3.0,193,same_extended,170.0,141.5,226.0,59,254.5,0.0,10,2025_01_02,RIDE_CALM
6.5,9,long,28.0,3,18.5,171.0,362,171.0,362,-6.5,0,-18.5,53.0,168,53.0,168,same_extended,171.0,164.5,248.0,84,254.5,0.0,11,2025_01_02,RIDE_CALM
-6.0,5,long,-6.0,0,-36.0,211.5,352,211.5,352,24.5,3,36.0,98.5,130,98.5,130,same_extended,211.5,217.5,246.0,120,246.0,0.0,12,2025_01_02,RIDE_CALM
-29.5,7,short,-24.5,4,-27.5,74.0,120,74.0,120,32.0,3,27.5,236.0,342,236.0,342,counter_extended,236.0,265.5,257.5,6,52.5,257.5,13,2025_01_02,RIDE_CALM
0.0,8,short,17.0,4,8.0,103.0,82,103.0,82,1.0,1,-8.0,207.0,304,207.0,304,counter_extended,207.0,207.0,257.5,44,52.5,257.5,14,2025_01_02,RIDE_CALM
-12.5,5,short,-9.5,4,5.0,65.0,56,65.0,56,13.0,3,-5.0,245.0,278,245.0,278,counter_extended,245.0,257.5,257.5,70,52.5,257.5,15,2025_01_02,RIDE_CALM
