leaf_id,n_trades,strategy,strategy_pct,actual_pnl,optimal_pnl,recoverable,avg_regret,exit_bar_same,exit_bar_counter,long_pct,wr
233,858,long_extended,62.93706293706294,204533.5,204533.5,0.0,0.0,137.8146853146853,136.06293706293707,64.6853146853147,99.76689976689977
108,929,short_extended,51.88374596340151,179094.0,179094.0,0.0,0.0,126.43057050592034,100.78686759956943,45.748116254036596,99.78471474703983
111,645,long_extended,71.31782945736434,178788.0,178788.0,0.0,0.0,100.67286821705426,104.80465116279069,73.64341085271317,99.37984496124031
236,460,long_extended,81.52173913043478,176308.5,176308.5,0.0,0.0,139.09565217391304,136.15217391304347,82.17391304347827,100.0
226,303,long_extended,98.67986798679867,166092.0,166092.0,0.0,0.0,157.64356435643563,175.06270627062707,99.00990099009901,100.0
105,664,short_extended,65.8132530120482,157928.0,157928.0,0.0,0.0,125.03915662650603,124.53765060240964,33.13253012048193,99.84939759036145
9,170,short_extended,99.41176470588235,138800.0,138800.0,0.0,0.0,148.18823529411765,142.48235294117646,0.5882352941176471,100.0
24,204,short_extended,91.66666666666666,131463.0,131463.0,0.0,0.0,140.2549019607843,153.67156862745097,8.333333333333332,100.0
243,368,long_extended,90.21739130434783,127616.5,127616.5,0.0,0.0,115.8288043478261,109.08695652173913,90.76086956521739,100.0
86,205,short_extended,95.1219512195122,115811.0,115811.0,0.0,0.0,151.3609756097561,164.22439024390243,4.878048780487805,100.0
49,408,short_extended,87.74509803921569,115774.0,115774.0,0.0,0.0,95.00490196078431,122.71813725490196,10.049019607843137,100.0
126,292,short_extended,90.75342465753424,104686.0,104686.0,0.0,0.0,140.79794520547946,159.0205479452055,8.904109589041095,100.0
115,326,short_extended,57.05521472392638,101313.5,101313.5,0.0,0.0,104.51533742331289,103.95705521472392,42.02453987730061,99.38650306748467
12,162,short_extended,89.50617283950618,94570.0,94570.0,0.0,0.0,93.12962962962963,105.1358024691358,9.876543209876543,100.0
56,311,short_extended,49.51768488745981,89797.0,89797.0,0.0,0.0,114.16398713826366,117.71061093247589,49.19614147909968,100.0
59,349,short_extended,84.2406876790831,88119.5,88119.5,0.0,0.0,137.2865329512894,142.43839541547277,15.759312320916905,100.0
211,366,long_extended,64.75409836065575,70057.5,70057.5,0.0,0.0,114.67213114754098,104.18852459016394,67.21311475409836,98.90710382513662
