**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,modifier,target,n_bins,min_target_corr_fwd,max_target_corr_fwd,context_lift_corr,context_amplification
1h,vol_mean_w,price_velocity_1b,4,-0.04189955342689206,0.02287515801765956,0.06477471144455163,0.039235342101487304
1h,vol_mean_w,price_velocity_w,4,-0.013195310826792182,0.039265336975734234,0.05246064780252642,0.0370847769497298
1h,vol_mean_w,body,4,-0.04349527613101765,0.023099048855756883,0.06659432498677453,0.040784561133472265
1h,vol_mean_w,price_accel_w,4,-0.01569313990191573,0.06785816472166924,0.08355130462358497,0.06425620082714514
1h,vol_mean_w,price_accel_1b,4,-0.024199310557569655,-0.003721995668177396,0.020477314889392258,0.020477314889392258
1h,vol_mean_w,z_se_w,4,-0.025651872245500962,0.02179383670955312,0.04744570895505408,0.024292395898434592
1h,vol_mean_w,z_high_w,4,-0.0069264338977254635,0.0315637888968755,0.038490222794600966,0.025102018819456194
1h,vol_mean_w,z_low_w,4,-0.015532331956255639,0.018444624897423934,0.033976956853679574,0.009495739082224503
1h,vol_sigma_w,price_velocity_1b,4,-0.09908127205065015,0.03807027287918684,0.137151544929837,0.09725189901146197
1h,vol_sigma_w,price_velocity_w,4,-0.019908059449293816,0.03735057711777836,0.057258636567072176,0.03708439320270041
1h,vol_sigma_w,body,4,-0.10828580476930191,0.03888840642306324,0.14717421119236515,0.1064100722061356
1h,vol_sigma_w,price_accel_w,4,-0.06952427978412624,0.08343326922228464,0.1529575490064109,0.07144222335053073
1h,vol_sigma_w,price_accel_1b,4,-0.049486128330787,0.032065500209514465,0.08155162854030146,0.04630079677851244
1h,vol_sigma_w,z_se_w,4,-0.03906630051390961,0.009841277479932648,0.04890757799384225,0.03867672085908764
1h,vol_sigma_w,z_high_w,4,-0.012489487475155228,0.0343024638979144,0.04679195137306963,0.023264621613572428
1h,vol_sigma_w,z_low_w,4,-0.006983726360050174,0.01692485031152562,0.023908576671575792,0.013429584475403683
1h,vol_velocity_w,price_velocity_1b,4,-0.04018269877456824,0.013359957335966451,0.05354265611053469,0.039941003546233506
1h,vol_velocity_w,price_velocity_w,4,-0.05500970502351282,0.08873622226854919,0.143745927292062,0.0807827485896489
1h,vol_velocity_w,body,4,-0.039937052609129074,0.015231328650611225,0.0551683812597403,0.038065055310192386
1h,vol_velocity_w,price_accel_w,4,-0.034137711630113185,0.12654457265047991,0.1606822842805931,0.10923628402727319
1h,vol_velocity_w,price_accel_1b,4,-0.039824698502770386,0.09285278120058284,0.13267747970335322,0.08793571105133667
1h,vol_velocity_w,z_se_w,4,-0.05556864008076911,0.03912159830144259,0.09469023838221169,0.046045432858413726
1h,vol_velocity_w,z_high_w,4,-0.06762638715754064,0.06519620994668386,0.1328225971042245,0.06741766175485098
1h,vol_velocity_w,z_low_w,4,-0.0690692893420832,0.02896629802771624,0.09803558736979945,0.05616072450806374
1h,vol_accel_w,price_velocity_1b,4,-0.10121164813889745,0.019280974966497763,0.12049262310539521,0.08847064405009004
1h,vol_accel_w,price_velocity_w,4,-0.06391911483576013,0.06775230653127945,0.13167142136703958,0.0636501075032658
1h,vol_accel_w,body,4,-0.10397275709369701,0.02413691196600366,0.12810966905970067,0.0927964144680862
1h,vol_accel_w,price_accel_w,4,-0.0481905177627776,0.08466451893303836,0.13285503669581597,0.06602537209435662
1h,vol_accel_w,price_accel_1b,4,-0.10244199570455827,0.023846331606228812,0.12628832731078707,0.09309984915345436
1h,vol_accel_w,z_se_w,4,-0.014809373367083154,0.02333242176450382,0.03814179513158698,0.014040955514512943
1h,vol_accel_w,z_high_w,4,-0.016509749028408488,0.03499640578726821,0.0515061548156767,0.03321457167670074
1h,vol_accel_w,z_low_w,4,-0.006047630181777159,0.02231200299897513,0.02835963318075229,0.021351330438611718
1h,hurst_w,price_velocity_1b,4,-0.042936787870861096,0.05295527363508236,0.09589206150594345,0.04602309970502986
1h,hurst_w,price_velocity_w,4,-0.010676298089819427,0.0414955892293708,0.05217188731919023,0.040827886565559815
1h,hurst_w,body,4,-0.04459804811198613,0.05544526724127901,0.10004331535326513,0.04878910300182107
1h,hurst_w,price_accel_w,4,-0.01169575391750927,0.09476837319779141,0.10646412711530068,0.09149553926971678
1h,hurst_w,price_accel_1b,4,-0.04962830029046785,0.03310398638558308,0.08273228667605093,0.0446454979870064
1h,hurst_w,z_se_w,4,-0.013932507462444583,0.008569525339621008,0.022502032802065593,0.012240183957008837
1h,hurst_w,z_high_w,4,-0.015931335710936762,0.02389376053357926,0.03982509624451602,0.0211895709273238
1h,hurst_w,z_low_w,4,-0.0063788208190211455,0.03787296808392281,0.044251788902943956,0.03512119269452519
1h,reversion_prob_w,price_velocity_1b,4,-0.010940189207610725,0.009515594345922656,0.02045578355353338,0.010006398854657574
1h,reversion_prob_w,price_velocity_w,4,-0.011704745836173775,0.062367232857728105,0.07407197869390188,0.050662487021554334
1h,reversion_prob_w,body,4,-0.01459114852643605,0.00767846110482849,0.02226960963126454,0.012002731814679138
1h,reversion_prob_w,price_accel_w,4,0.0020780741929066334,0.08714558316259335,0.08506750896968672,0.08506750896968672
1h,reversion_prob_w,price_accel_1b,4,-0.056030975776925764,0.016156152039144184,0.07218712781606995,0.054858170015452665
1h,reversion_prob_w,z_se_w,4,-0.03133080448000936,0.009392070266423821,0.040722874746433185,0.025933081599744588
1h,reversion_prob_w,z_high_w,4,-0.01744396658634217,0.011390397917732003,0.028834364504074173,0.00976835849449057
1h,reversion_prob_w,z_low_w,4,-0.008532064757021913,0.021545644153172696,0.03007770891019461,0.021140423090328132
1h,swing_noise_w,price_velocity_1b,4,-0.08152168643035064,0.046987008129806565,0.1285086945601572,0.07909791283165317
1h,swing_noise_w,price_velocity_w,4,-0.043827431268320116,0.03318454429548726,0.07701197556380737,0.02259281745431429
1h,swing_noise_w,body,4,-0.08681683851271864,0.0475558949976641,0.13437273351038273,0.08239351330028631
1h,swing_noise_w,price_accel_w,4,-0.059068576815133236,0.04889970899421665,0.10796828580934989,0.047363726974974596
1h,swing_noise_w,price_accel_1b,4,-0.07842523011151845,0.0005575987369566047,0.07898282884847505,0.07786763137456185
1h,swing_noise_w,z_se_w,4,-0.05420608060456021,0.07838413647052794,0.13259021707508817,0.075720074961102
1h,swing_noise_w,z_high_w,4,-0.03573188967901101,0.08218916780844115,0.11792105748745216,0.07891762617583631
1h,swing_noise_w,z_low_w,4,-0.03215046506655773,0.07266123270210739,0.10481169776866511,0.052988128045817276
1h,bar_range,price_velocity_1b,4,-0.05680776846176779,0.006548140011289349,0.06335590847305714,0.05161133077451914
1h,bar_range,price_velocity_w,4,-0.03207943956720531,0.04285509141309879,0.0749345309803041,0.012417547562179665
1h,bar_range,body,4,-0.05557177176623761,0.004841872362403587,0.0604136441286412,0.051294576121751145
1h,bar_range,price_accel_w,4,-0.02820002093449891,0.04467020456555189,0.0728702255000508,0.026984795687671884
1h,bar_range,price_accel_1b,4,-0.06552574276519908,0.0070510989486907705,0.07257684171388985,0.06236201627738452
1h,bar_range,z_se_w,4,-0.03609261652197872,0.038249147506358085,0.07434176402833681,0.03064756690842875
1h,bar_range,z_high_w,4,-0.04795004612799701,0.059395582947936114,0.10734562907593312,0.05792641781324622
1h,bar_range,z_low_w,4,-0.023881116467597014,0.04143534043176988,0.0653164568993669,0.03817865278962373
