day,seg_idx,shape_class,subshape_id,length_min,shape_pearson_r
2025_01_02,5,LINEAR_DOWN,1,375.0,0.989
2025_01_03,4,LINEAR_DOWN,1,165.0,0.991
2025_01_06,2,LINEAR_DOWN,1,210.0,0.979
2025_01_07,3,LINEAR_DOWN,1,315.0,0.989
2025_01_08,9,LINEAR_DOWN,1,195.0,0.992
2025_01_09,3,LINEAR_DOWN,1,194.92,0.976
2025_01_10,5,LINEAR_DOWN,1,270.0,0.994
2025_01_14,5,LINEAR_DOWN,1,180.0,0.993
2025_01_16,2,LINEAR_DOWN,1,285.0,0.992
2025_01_16,4,LINEAR_DOWN,1,150.0,0.987
2025_01_16,5,LINEAR_DOWN,1,315.0,0.982
2025_01_21,7,LINEAR_DOWN,1,180.0,0.994
2025_01_22,6,LINEAR_DOWN,1,284.92,0.995
2025_01_23,6,LINEAR_DOWN,1,344.92,0.98
2025_01_24,13,LINEAR_DOWN,1,329.92,0.985
2025_01_27,2,LINEAR_DOWN,1,105.0,0.983
2025_01_28,8,LINEAR_DOWN,1,195.0,0.992
2025_01_29,6,LINEAR_DOWN,1,285.0,0.987
2025_01_30,5,LINEAR_DOWN,1,165.0,0.987
2025_01_30,9,LINEAR_DOWN,1,210.0,0.981
2025_02_03,1,LINEAR_DOWN,1,255.0,0.99
2025_02_04,1,LINEAR_DOWN,1,435.0,0.988
2025_02_05,1,LINEAR_DOWN,1,600.0,0.994
2025_02_07,2,LINEAR_DOWN,1,195.0,0.989
2025_02_11,2,LINEAR_DOWN,1,195.0,0.994
2025_02_11,4,LINEAR_DOWN,1,240.0,0.989
2025_02_12,3,LINEAR_DOWN,1,284.92,0.983
2025_02_13,4,LINEAR_DOWN,1,270.0,0.988
2025_02_14,6,LINEAR_DOWN,1,255.0,0.99
2025_02_17,3,LINEAR_DOWN,1,180.0,0.995
2025_02_17,5,LINEAR_DOWN,1,239.92,0.981
2025_02_18,4,LINEAR_DOWN,1,240.0,0.995
2025_02_18,5,LINEAR_DOWN,1,150.0,0.95
2025_02_19,2,LINEAR_DOWN,1,254.92,0.982
2025_02_19,3,LINEAR_DOWN,1,465.0,0.976
2025_02_20,1,LINEAR_DOWN,1,225.0,0.993
2025_02_20,3,LINEAR_DOWN,1,180.0,0.986
2025_02_20,9,LINEAR_DOWN,1,195.0,0.996
2025_02_21,4,LINEAR_DOWN,1,449.92,0.996
2025_02_24,8,LINEAR_DOWN,1,210.0,0.99
2025_02_25,7,LINEAR_DOWN,1,330.0,0.986
2025_02_25,9,LINEAR_DOWN,1,210.0,0.988
2025_02_26,8,LINEAR_DOWN,1,210.0,0.986
2025_02_27,6,LINEAR_DOWN,1,195.0,0.996
2025_02_28,7,LINEAR_DOWN,1,180.0,0.995
2025_02_28,9,LINEAR_DOWN,1,120.0,0.987
2025_03_04,6,LINEAR_DOWN,1,435.0,0.986
2025_03_05,7,LINEAR_DOWN,1,360.0,0.993
2025_03_06,4,LINEAR_DOWN,1,315.0,0.987
2025_03_06,7,LINEAR_DOWN,1,285.0,0.98
2025_03_07,4,LINEAR_DOWN,1,270.0,0.994
2025_03_11,6,LINEAR_DOWN,1,90.0,0.978
2025_03_14,1,LINEAR_DOWN,1,165.0,0.988
2025_03_17,4,LINEAR_DOWN,1,240.0,0.995
2025_03_18,1,LINEAR_DOWN,1,315.0,0.989
2025_03_20,5,LINEAR_DOWN,1,180.0,0.982
2025_03_21,4,LINEAR_DOWN,1,195.08,0.978
2025_04_01,5,LINEAR_DOWN,1,165.0,0.98
2025_04_01,8,LINEAR_DOWN,1,105.0,0.979
2025_04_02,12,LINEAR_DOWN,1,239.92,0.988
2025_04_03,5,LINEAR_DOWN,1,360.0,0.992
2025_04_03,9,LINEAR_DOWN,1,359.92,0.987
2025_04_04,7,LINEAR_DOWN,1,105.0,0.975
2025_04_07,1,LINEAR_DOWN,1,240.0,0.997
2025_04_08,4,LINEAR_DOWN,1,120.0,0.991
2025_04_08,9,LINEAR_DOWN,1,479.92,0.995
2025_04_10,2,LINEAR_DOWN,1,180.0,0.987
2025_04_11,5,LINEAR_DOWN,1,180.0,0.989
2025_04_14,9,LINEAR_DOWN,1,195.0,0.993
2025_04_15,6,LINEAR_DOWN,1,194.92,0.983
2025_04_15,9,LINEAR_DOWN,1,225.0,0.998
2025_04_16,4,LINEAR_DOWN,1,255.0,0.993
2025_04_16,6,LINEAR_DOWN,1,225.0,0.985
2025_04_16,9,LINEAR_DOWN,1,240.0,0.982
2025_04_21,1,LINEAR_DOWN,1,285.0,0.987
2025_04_22,4,LINEAR_DOWN,1,150.0,0.973
2025_04_24,1,LINEAR_DOWN,1,285.0,0.989
2025_04_24,4,LINEAR_DOWN,1,195.0,0.987
2025_04_28,12,LINEAR_DOWN,1,210.0,0.989
2025_05_01,15,LINEAR_DOWN,1,254.92,0.989
2025_05_02,1,LINEAR_DOWN,1,240.0,0.995
2025_05_05,1,LINEAR_DOWN,1,224.92,0.985
2025_05_05,3,LINEAR_DOWN,1,240.0,0.994
2025_05_07,6,LINEAR_DOWN,1,435.0,0.996
2025_05_08,8,LINEAR_DOWN,1,269.92,0.992
2025_05_12,3,LINEAR_DOWN,1,195.0,0.994
2025_05_13,7,LINEAR_DOWN,1,254.92,0.997
2025_05_15,6,LINEAR_DOWN,1,345.0,0.989
2025_05_15,9,LINEAR_DOWN,1,285.0,0.983
2025_05_16,8,LINEAR_DOWN,1,180.0,0.978
2025_05_19,3,LINEAR_DOWN,1,224.92,0.988
2025_05_21,2,LINEAR_DOWN,1,240.0,0.993
2025_05_21,6,LINEAR_DOWN,1,345.0,0.985
2025_05_27,1,LINEAR_DOWN,1,240.0,0.985
2025_05_28,8,LINEAR_DOWN,1,195.0,0.994
2025_05_30,13,LINEAR_DOWN,1,210.0,0.98
2025_06_02,1,LINEAR_DOWN,1,330.0,0.989
2025_06_04,2,LINEAR_DOWN,1,210.0,0.996
2025_06_05,1,LINEAR_DOWN,1,60.08,0.971
