day,seg_idx,shape_class,subshape_id,length_min,shape_pearson_r
2025_10_08,0,NOISE,4,300.0,-999.0
2025_10_09,0,NOISE,2,270.0,-999.0
2025_10_13,0,NOISE,4,165.0,-999.0
2025_10_15,0,NOISE,4,810.0,-999.0
2025_10_16,0,NOISE,1,45.0,-999.0
2025_10_17,0,NOISE,4,105.0,-999.0
2025_10_20,0,NOISE,4,495.0,-999.0
2025_10_21,0,NOISE,4,210.0,-999.0
2025_10_22,0,NOISE,2,60.0,-999.0
2025_10_23,0,NOISE,4,270.0,-999.0
2025_10_24,0,NOISE,4,150.25,-999.0
2025_10_27,0,NOISE,2,150.17,-999.0
2025_10_28,0,NOISE,2,120.0,-999.0
2025_11_05,0,NOISE,2,165.0,-999.0
2025_11_07,0,NOISE,3,45.0,-999.0
2025_11_10,0,NOISE,4,375.0,-999.0
2025_11_11,0,NOISE,2,60.0,-999.0
2025_11_12,0,NOISE,4,270.0,-999.0
2025_11_17,0,NOISE,4,105.0,-999.0
2025_11_21,0,NOISE,4,120.0,-999.0
2025_11_24,0,NOISE,4,90.0,-999.0
2025_11_26,0,NOISE,4,270.0,-999.0
2025_11_27,0,NOISE,1,45.08,-999.0
2025_11_30,0,NOISE,2,59.92,-999.0
2025_12_01,0,NOISE,2,360.0,-999.0
2025_12_02,0,NOISE,4,105.0,-999.0
2025_12_03,0,NOISE,4,375.0,-999.0
2025_12_04,0,NOISE,1,60.0,-999.0
2025_12_05,0,NOISE,4,540.0,-999.0
2025_12_08,0,NOISE,4,420.0,-999.0
2025_12_10,0,NOISE,2,135.0,-999.0
2025_12_11,0,NOISE,2,360.0,-999.0
2025_12_15,0,NOISE,4,315.03,-999.0
2025_12_16,0,NOISE,2,270.17,-999.0
2025_12_17,0,NOISE,4,270.05,-999.0
2025_12_18,0,NOISE,4,105.35,-999.0
