day,regime,total_pnl,n_trades,n_winners,pnl__CASCADE,pnl__FADE_AGAINST,pnl__FADE_CALM,pnl__FADE_MOMENTUM,pnl__KILL_SHOT,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__RIDE_CALM
2026_01_29,DOWN_SMOOTH,1419.0,407,137,-24.0,64.0,102.0,127.0,53.5,228.0,311.0,246.5,311.0,
2026_03_10,FLAT_CHOPPY,732.5,202,58,88.5,34.5,167.5,214.5,193.5,317.5,,-283.5,,
2026_03_13,FLAT_CHOPPY,566.0,346,107,-13.0,62.5,76.0,213.5,28.0,367.5,,-168.5,,
2026_01_05,UP_CHOPPY,546.5,232,75,91.0,-25.5,45.5,112.5,112.0,139.5,72.0,-0.5,,
2026_01_21,UP_CHOPPY,472.0,470,133,77.5,-88.5,-65.5,91.0,142.0,272.5,-229.5,272.5,,
2026_01_22,UP_SMOOTH,438.5,172,43,-9.0,2.0,47.5,37.0,-45.0,-49.0,227.5,227.5,,
2026_02_12,DOWN_SMOOTH,419.5,499,157,25.5,5.5,-23.5,159.0,125.5,179.0,,-51.5,,
2026_03_16,FLAT_CHOPPY,339.0,292,95,-2.5,146.0,-8.5,-31.0,16.5,81.5,,137.0,,
2026_01_15,FLAT_CHOPPY,320.5,139,47,-4.0,-13.5,-1.5,39.5,5.5,13.5,92.5,169.0,,19.5
2026_03_18,DOWN_SMOOTH,312.0,285,60,-66.0,19.0,1.5,197.5,-149.0,107.5,103.0,161.5,-63.0,
2026_01_14,FLAT_CHOPPY,310.0,311,96,92.5,29.0,-17.0,155.5,100.0,44.0,,-94.0,,
2026_02_10,FLAT_SMOOTH,285.0,464,133,16.0,1.5,20.5,69.0,70.5,55.5,26.0,26.0,,
2026_02_20,FLAT_CHOPPY,270.5,691,190,-28.0,29.0,-127.5,302.0,-114.5,149.0,125.5,76.5,,-141.5
2026_03_11,FLAT_CHOPPY,213.5,725,207,-70.0,0.0,-17.5,85.5,-254.0,159.0,103.5,103.5,103.5,
2026_03_17,UP_SMOOTH,202.5,350,94,-52.0,69.0,6.0,159.5,-77.0,107.5,16.5,-39.5,12.5,
2026_01_26,UP_SMOOTH,169.0,341,92,0.0,,-67.5,99.5,70.5,66.5,,,,
2026_02_03,DOWN_SMOOTH,169.0,120,32,-5.0,,7.5,61.5,21.5,83.5,,,,
2026_03_12,DOWN_CHOPPY,155.5,443,137,10.5,24.0,-101.5,181.0,-55.0,118.0,-103.0,81.5,,
2026_02_01,FLAT_CHOPPY,140.0,11,6,,,,74.0,,66.0,,,,
2026_02_18,FLAT_CHOPPY,100.5,453,121,4.0,-3.5,-23.5,-119.0,10.5,-57.5,54.5,153.0,82.0,
2026_02_16,DOWN_CHOPPY,85.5,628,163,-77.5,-3.5,8.0,90.5,-25.0,138.0,,-45.0,,
2026_01_06,FLAT_CHOPPY,81.5,488,131,-21.0,13.5,-8.5,17.5,-8.5,82.5,-28.5,34.5,,
2026_01_30,FLAT_CHOPPY,61.5,283,88,55.5,49.5,121.5,123.5,83.5,27.0,,-399.0,,
2026_02_22,DOWN_SMOOTH,60.0,39,15,,,26.5,35.0,,-1.5,,,,
2026_03_03,FLAT_CHOPPY,53.5,114,37,11.0,-19.0,18.5,-15.5,5.0,-0.5,31.5,34.0,-11.5,
2026_03_09,UP_SMOOTH,51.0,23,6,,,4.5,49.0,-28.0,25.5,,,,
2026_03_20,DOWN_SMOOTH,43.0,26,8,,,4.0,9.0,,30.0,,,,
2026_01_27,UP_SMOOTH,42.5,444,130,5.5,0.0,14.0,-35.5,16.5,-96.0,69.0,69.0,,
2026_03_15,UP_SMOOTH,20.5,19,5,,,0.0,20.0,-1.5,2.0,,,,
2026_03_04,UP_CHOPPY,16.5,242,54,-3.5,,86.5,-37.5,-4.0,-25.0,,,,
2026_01_13,FLAT_SMOOTH,12.0,556,141,5.0,-64.0,-80.0,165.5,-11.5,-2.0,,-1.0,,
2026_01_01,UP_SMOOTH,-3.0,12,3,,,0.0,-8.5,1.0,4.5,,,,
2026_01_19,FLAT_SMOOTH,-10.0,85,24,21.0,,64.5,-39.5,-6.5,-49.5,,,,
2026_01_18,DOWN_SMOOTH,-29.5,23,3,,,-22.5,8.5,-18.0,2.5,,,,
2026_02_09,FLAT_CHOPPY,-30.0,224,63,11.5,-47.0,24.5,-73.5,14.5,-59.0,,99.0,,
2026_02_15,UP_SMOOTH,-35.0,18,2,,,-3.0,-29.5,-6.5,4.0,,,,
2026_01_28,FLAT_CHOPPY,-65.5,441,118,-63.5,14.0,5.5,-113.5,4.5,41.0,-28.5,135.0,,-60.0
2026_01_25,FLAT_CHOPPY,-96.0,28,7,0.0,,-1.0,-42.5,0.0,-52.5,,,,
2026_02_06,UP_SMOOTH,-109.5,62,18,13.5,7.0,3.0,-75.5,13.5,-49.0,,-22.0,,
2026_03_06,DOWN_SMOOTH,-121.5,350,82,-5.5,-27.5,-48.5,-40.0,-86.0,-201.0,41.5,174.0,71.5,
2026_01_16,FLAT_CHOPPY,-123.5,470,136,8.5,12.0,-45.5,-16.5,9.5,32.5,,-124.0,,
2026_02_05,DOWN_CHOPPY,-148.5,110,33,43.0,-56.0,-0.5,-28.5,-17.5,-61.0,,-28.0,,
2026_01_20,FLAT_CHOPPY,-157.0,412,117,62.0,19.5,10.5,-92.5,149.5,51.0,-178.5,-178.5,,
2026_01_02,FLAT_CHOPPY,-163.0,62,13,-20.0,0.0,-10.0,-51.0,-13.5,-154.5,39.0,8.0,,39.0
