**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_tier,seg_direction,dmi_5m_sign,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median
FADE_CALM,UP,pos,117,84.61538461538461,15123.0,129.25641025641025,104.5
RIDE_AGAINST,DOWN,neg,369,64.76964769647697,13460.5,36.47831978319783,18.0
FADE_CALM,UP,neg,97,82.4742268041237,11308.5,116.58247422680412,87.0
RIDE_AGAINST,UP,pos,414,63.04347826086957,10428.0,25.18840579710145,12.75
FADE_AGAINST,DOWN,neg,102,65.68627450980392,8560.0,83.92156862745098,49.25
FADE_CALM,DOWN,neg,80,81.25,8504.0,106.3,71.5
RIDE_AGAINST,UP,neg,354,61.86440677966102,8448.5,23.865819209039547,15.5
FADE_CALM,DOWN,pos,68,79.41176470588235,7225.5,106.25735294117646,76.75
RIDE_AGAINST,DOWN,pos,282,64.18439716312056,6844.5,24.27127659574468,16.25
BASE_NMP,DOWN,neg,376,36.702127659574465,6671.0,17.742021276595743,-5.5
BASE_NMP,UP,pos,324,38.88888888888889,6195.0,19.12037037037037,-3.75
FADE_AGAINST,UP,neg,110,60.909090909090914,6055.0,55.04545454545455,28.0
FADE_AGAINST,UP,pos,87,68.96551724137932,5667.5,65.14367816091954,55.5
BASE_NMP,UP,neg,254,32.28346456692913,4029.5,15.864173228346457,-4.5
RIDE_CALM,DOWN,neg,140,54.285714285714285,3642.0,26.014285714285716,12.0
FADE_AGAINST,DOWN,pos,52,61.53846153846154,3252.5,62.54807692307692,42.25
BASE_NMP,DOWN,pos,241,34.024896265560166,3101.5,12.869294605809129,-4.0
FREIGHT_TRAIN,UP,pos,4,100.0,1170.5,292.625,209.0
RIDE_CALM,UP,neg,192,53.125,1108.5,5.7734375,3.5
FADE_MOMENTUM,DOWN,neg,4,50.0,754.0,188.5,190.75
FREIGHT_TRAIN,DOWN,neg,5,80.0,747.5,149.5,40.0
KILL_SHOT,DOWN,neg,32,87.5,698.0,21.8125,16.5
FADE_MOMENTUM,UP,pos,4,100.0,695.0,173.75,181.5
KILL_SHOT,DOWN,pos,19,84.21052631578947,618.5,32.55263157894737,24.5
KILL_SHOT,UP,pos,28,89.28571428571429,617.5,22.053571428571427,17.75
KILL_SHOT,UP,neg,26,84.61538461538461,546.5,21.01923076923077,18.25
RIDE_MOMENTUM,DOWN,neg,5,60.0,354.0,70.8,100.5
CASCADE,DOWN,neg,8,100.0,267.0,33.375,27.0
FADE_MOMENTUM,UP,neg,1,100.0,255.5,255.5,255.5
FADE_MOMENTUM,DOWN,pos,2,100.0,133.0,66.5,66.5
RIDE_CALM,UP,pos,173,41.040462427745666,113.0,0.653179190751445,-12.5
FREIGHT_TRAIN,DOWN,pos,1,100.0,112.0,112.0,112.0
FREIGHT_TRAIN,UP,neg,1,100.0,109.5,109.5,109.5
CASCADE,UP,pos,2,100.0,60.0,30.0,30.0
CASCADE,DOWN,pos,2,100.0,34.5,17.25,17.25
CASCADE,UP,neg,4,75.0,2.5,0.625,8.75
RIDE_MOMENTUM,UP,pos,1,0.0,-9.5,-9.5,-9.5
RIDE_MOMENTUM,UP,neg,1,0.0,-78.0,-78.0,-78.0
RIDE_CALM,DOWN,pos,118,38.13559322033898,-1697.5,-14.385593220338983,-22.5
