entry_tier,dmi_5m_sign,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median
FADE_CALM,pos,185,82.70270270270271,22348.5,120.8027027027027,88.0
RIDE_AGAINST,neg,724,63.39779005524861,21912.5,30.265883977900554,16.75
FADE_CALM,neg,180,81.66666666666667,20292.5,112.73611111111111,72.5
RIDE_AGAINST,pos,699,63.66237482117311,17417.5,24.917739628040056,14.5
FADE_AGAINST,neg,212,63.20754716981132,14615.0,68.93867924528301,34.5
BASE_NMP,neg,630,34.92063492063492,10700.5,16.984920634920634,-5.0
BASE_NMP,pos,565,36.8141592920354,9296.5,16.453982300884956,-4.0
FADE_AGAINST,pos,140,66.42857142857143,9022.5,64.44642857142857,49.75
RIDE_CALM,neg,340,53.8235294117647,5231.0,15.385294117647058,5.0
KILL_SHOT,pos,48,87.5,1327.0,27.645833333333332,20.5
FREIGHT_TRAIN,pos,5,100.0,1282.5,256.5,112.0
KILL_SHOT,neg,58,86.20689655172413,1244.5,21.45689655172414,17.75
FADE_MOMENTUM,neg,5,60.0,1009.5,201.9,255.5
FREIGHT_TRAIN,neg,6,83.33333333333334,857.0,142.83333333333334,64.25
FADE_MOMENTUM,pos,6,100.0,828.0,138.0,134.25
RIDE_MOMENTUM,neg,7,57.14285714285714,365.0,52.142857142857146,89.0
CASCADE,neg,12,91.66666666666666,269.5,22.458333333333332,19.75
CASCADE,pos,4,100.0,94.5,23.625,26.75
RIDE_CALM,zero,3,66.66666666666666,62.0,20.666666666666668,10.5
RIDE_MOMENTUM,pos,1,0.0,-9.5,-9.5,-9.5
RIDE_CALM,pos,294,40.136054421768705,-1531.5,-5.209183673469388,-16.0
