**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_tier,seg_direction,n_trades,wr_pct,pnl_total,pnl_mean,pnl_median
FADE_CALM,UP,214,83.64485981308411,26431.5,123.51168224299066,92.0
RIDE_AGAINST,DOWN,651,64.51612903225806,20305.0,31.19047619047619,17.0
RIDE_AGAINST,UP,768,62.5,18876.5,24.578776041666668,14.0
FADE_CALM,DOWN,148,80.4054054054054,15729.5,106.2804054054054,72.5
FADE_AGAINST,DOWN,154,64.28571428571429,11812.5,76.70454545454545,43.5
FADE_AGAINST,UP,197,64.46700507614213,11722.5,59.505076142131976,38.0
BASE_NMP,UP,578,35.98615916955018,10224.5,17.689446366782008,-4.5
BASE_NMP,DOWN,617,35.65640194489465,9772.5,15.838735818476499,-4.5
RIDE_CALM,DOWN,258,46.89922480620155,1944.5,7.536821705426356,-6.5
KILL_SHOT,DOWN,51,86.27450980392157,1316.5,25.813725490196077,17.5
FREIGHT_TRAIN,UP,5,100.0,1280.0,256.0,109.5
RIDE_CALM,UP,365,47.397260273972606,1221.5,3.3465753424657536,-3.0
KILL_SHOT,UP,54,87.03703703703704,1164.0,21.555555555555557,18.25
FADE_MOMENTUM,UP,5,100.0,950.5,190.1,196.0
FADE_MOMENTUM,DOWN,6,66.66666666666666,887.0,147.83333333333334,66.5
FREIGHT_TRAIN,DOWN,6,83.33333333333334,859.5,143.25,64.25
RIDE_MOMENTUM,DOWN,5,60.0,354.0,70.8,100.5
CASCADE,DOWN,10,100.0,301.5,30.15,26.25
CASCADE,UP,6,83.33333333333334,62.5,10.416666666666666,15.75
RIDE_MOMENTUM,UP,2,0.0,-87.5,-43.75,-43.75
