**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_tier,seg1w_label,n,wr,total,mean,median
FADE_CALM,P05_UP_04/11,136,79.41176470588235,15375.0,113.05147058823529,74.0
RIDE_AGAINST,P04_DOWN_02/21,210,64.76190476190476,9998.5,47.61190476190476,40.75
RIDE_AGAINST,P05_UP_04/11,513,62.768031189083814,9362.0,18.249512670565302,16.0
FADE_CALM,P04_DOWN_02/21,56,80.35714285714286,7877.0,140.66071428571428,108.5
BASE_NMP,P13_UP_12/19,437,34.78260869565217,6444.5,14.747139588100687,-3.5
FADE_AGAINST,P05_UP_04/11,128,64.84375,6355.5,49.65234375,32.75
FADE_AGAINST,P04_DOWN_02/21,61,62.295081967213115,5605.0,91.88524590163935,68.0
BASE_NMP,P16_DOWN_01/30,226,38.49557522123894,5559.5,24.599557522123895,-7.25
FADE_AGAINST,P10_DOWN_10/31,28,85.71428571428571,5148.0,183.85714285714286,139.5
RIDE_AGAINST,P10_DOWN_10/31,100,69.0,4721.0,47.21,31.0
FADE_CALM,P10_DOWN_10/31,26,84.61538461538461,4111.5,158.1346153846154,139.5
BASE_NMP,P14_DOWN_01/16,222,35.585585585585584,3208.5,14.452702702702704,-5.0
BASE_NMP,P15_UP_01/23,224,36.607142857142854,2996.5,13.377232142857142,-4.25
RIDE_AGAINST,P12_DOWN_12/05,76,59.210526315789465,2374.0,31.236842105263158,19.75
FADE_CALM,P09_UP_10/17,19,89.47368421052632,2345.5,123.44736842105263,92.5
FADE_CALM,P07_UP_09/05,22,100.0,2275.0,103.4090909090909,71.5
FREIGHT_TRAIN,P04_DOWN_02/21,8,100.0,2148.5,268.5625,110.75
RIDE_CALM,P04_DOWN_02/21,81,51.85185185185185,2081.0,25.691358024691358,5.0
FADE_CALM,P02_DOWN_01/24,12,83.33333333333334,2009.0,167.41666666666666,103.25
RIDE_AGAINST,P00_DOWN_01/10,35,65.71428571428571,1917.5,54.785714285714285,24.5
RIDE_AGAINST,P03_UP_01/31,90,63.33333333333333,1822.5,20.25,11.75
BASE_NMP,P17_UP_02/06,86,32.55813953488372,1788.0,20.790697674418606,-9.0
RIDE_AGAINST,P09_UP_10/17,66,72.72727272727273,1735.5,26.295454545454547,20.5
RIDE_AGAINST,P11_UP_11/21,52,65.38461538461539,1584.0,30.46153846153846,13.5
FADE_CALM,P06_DOWN_08/15,16,87.5,1447.5,90.46875,87.75
FADE_CALM,P03_UP_01/31,20,80.0,1396.5,69.825,37.75
FADE_CALM,P00_DOWN_01/10,10,70.0,1342.0,134.2,155.5
FADE_AGAINST,P09_UP_10/17,14,85.71428571428571,1299.0,92.78571428571429,84.0
RIDE_AGAINST,P02_DOWN_01/24,28,67.85714285714286,1274.0,45.5,40.75
FADE_CALM,P12_DOWN_12/05,13,69.23076923076923,1100.5,84.65384615384616,25.0
RIDE_AGAINST,P06_DOWN_08/15,68,60.29411764705882,1083.5,15.933823529411764,9.0
FADE_MOMENTUM,P04_DOWN_02/21,5,100.0,1069.0,213.8,101.5
FADE_CALM,P11_UP_11/21,13,76.92307692307693,1008.5,77.57692307692308,46.5
FADE_AGAINST,P08_DOWN_10/10,9,55.55555555555556,991.5,110.16666666666667,160.0
FADE_AGAINST,P12_DOWN_12/05,12,50.0,766.5,63.875,-7.0
FADE_CALM,P08_DOWN_10/10,7,100.0,764.0,109.14285714285714,91.5
KILL_SHOT,P05_UP_04/11,26,88.46153846153845,698.5,26.865384615384617,17.75
RIDE_CALM,P00_DOWN_01/10,17,58.82352941176471,690.0,40.588235294117645,43.0
FADE_AGAINST,P01_UP_01/17,12,58.333333333333336,672.5,56.041666666666664,24.25
RIDE_AGAINST,P07_UP_09/05,84,57.14285714285714,655.5,7.803571428571429,6.5
FADE_AGAINST,P03_UP_01/31,20,60.0,612.5,30.625,6.25
FADE_AGAINST,P06_DOWN_08/15,19,52.63157894736842,585.0,30.789473684210527,12.5
FADE_AGAINST,P11_UP_11/21,15,66.66666666666666,576.0,38.4,60.0
RIDE_AGAINST,P01_UP_01/17,26,69.23076923076923,575.0,22.115384615384617,16.75
RIDE_CALM,P03_UP_01/31,42,52.38095238095239,558.5,13.297619047619047,1.0
RIDE_AGAINST,P08_DOWN_10/10,38,50.0,558.0,14.68421052631579,0.25
RIDE_CALM,P12_DOWN_12/05,34,41.17647058823529,538.5,15.838235294117647,-11.0
RIDE_CALM,P11_UP_11/21,34,41.17647058823529,479.5,14.102941176470589,-8.5
KILL_SHOT,P04_DOWN_02/21,11,90.9090909090909,461.5,41.95454545454545,31.0
RIDE_CALM,P06_DOWN_08/15,43,46.51162790697674,442.0,10.279069767441861,-1.0
FADE_MOMENTUM,P02_DOWN_01/24,2,100.0,426.5,213.25,213.25
FADE_MOMENTUM,P10_DOWN_10/31,2,100.0,422.5,211.25,211.25
FADE_AGAINST,P00_DOWN_01/10,5,60.0,344.0,68.8,4.5
RIDE_CALM,P02_DOWN_01/24,12,58.333333333333336,339.0,28.25,32.5
KILL_SHOT,P13_UP_12/19,18,94.44444444444444,312.5,17.36111111111111,9.5
RIDE_MOMENTUM,P04_DOWN_02/21,4,50.0,253.5,63.375,46.25
FADE_AGAINST,P07_UP_09/05,17,47.05882352941176,249.5,14.676470588235293,-5.0
RIDE_CALM,P09_UP_10/17,24,41.66666666666667,219.5,9.145833333333334,-6.75
FADE_AGAINST,P02_DOWN_01/24,7,71.42857142857143,215.5,30.785714285714285,24.0
KILL_SHOT,P16_DOWN_01/30,7,85.71428571428571,213.5,30.5,24.5
RIDE_CALM,P08_DOWN_10/10,16,50.0,167.5,10.46875,4.25
KILL_SHOT,P12_DOWN_12/05,4,75.0,151.0,37.75,28.0
KILL_SHOT,P15_UP_01/23,6,83.33333333333334,138.0,23.0,24.25
KILL_SHOT,P03_UP_01/31,7,100.0,127.5,18.214285714285715,13.5
RIDE_CALM,P13_UP_12/19,1,100.0,122.5,122.5,122.5
KILL_SHOT,P10_DOWN_10/31,4,50.0,121.0,30.25,29.25
FADE_CALM,P01_UP_01/17,4,75.0,110.0,27.5,27.25
CASCADE,P05_UP_04/11,5,100.0,95.5,19.1,15.0
KILL_SHOT,P02_DOWN_01/24,4,100.0,93.5,23.375,21.75
CASCADE,P15_UP_01/23,4,100.0,82.0,20.5,19.75
CASCADE,P12_DOWN_12/05,1,100.0,77.0,77.0,77.0
KILL_SHOT,P07_UP_09/05,4,75.0,60.0,15.0,18.25
CASCADE,P03_UP_01/31,1,100.0,54.0,54.0,54.0
CASCADE,P16_DOWN_01/30,2,100.0,40.5,20.25,20.25
FREIGHT_TRAIN,P12_DOWN_12/05,1,100.0,40.0,40.0,40.0
KILL_SHOT,P08_DOWN_10/10,1,100.0,38.5,38.5,38.5
CASCADE,P01_UP_01/17,1,100.0,26.0,26.0,26.0
CASCADE,P14_DOWN_01/16,1,100.0,25.0,25.0,25.0
RIDE_MOMENTUM,P05_UP_04/11,2,50.0,22.5,11.25,11.25
KILL_SHOT,P17_UP_02/06,2,100.0,21.5,10.75,10.75
KILL_SHOT,P00_DOWN_01/10,1,100.0,20.0,20.0,20.0
FREIGHT_TRAIN,P11_UP_11/21,1,100.0,18.0,18.0,18.0
FADE_CALM,P13_UP_12/19,1,100.0,17.5,17.5,17.5
KILL_SHOT,P06_DOWN_08/15,2,50.0,13.5,6.75,6.75
KILL_SHOT,P14_DOWN_01/16,3,66.66666666666666,9.5,3.1666666666666665,4.5
RIDE_AGAINST,P13_UP_12/19,2,50.0,9.0,4.5,4.5
KILL_SHOT,P11_UP_11/21,1,100.0,4.0,4.0,4.0
KILL_SHOT,P01_UP_01/17,4,75.0,-3.5,-0.875,7.75
FADE_MOMENTUM,P09_UP_10/17,1,0.0,-5.5,-5.5,-5.5
RIDE_MOMENTUM,P00_DOWN_01/10,1,0.0,-9.5,-9.5,-9.5
RIDE_CALM,P10_DOWN_10/31,39,48.717948717948715,-15.0,-0.38461538461538464,-5.5
CASCADE,P07_UP_09/05,1,0.0,-36.0,-36.0,-36.0
FREIGHT_TRAIN,P03_UP_01/31,1,0.0,-67.0,-67.0,-67.0
FADE_MOMENTUM,P05_UP_04/11,1,0.0,-75.0,-75.0,-75.0
RIDE_CALM,P01_UP_01/17,12,25.0,-173.0,-14.416666666666666,-62.25
RIDE_CALM,P07_UP_09/05,53,47.16981132075472,-879.5,-16.59433962264151,-1.5
RIDE_CALM,P05_UP_04/11,202,45.54455445544555,-1289.0,-6.381188118811881,-5.5
