tier,threshold,n_total,n_kept,n_skipped,pnl_kept,pnl_skipped,wr_kept,wr_skipped,pnl_per_kept_trade,pnl_per_skipped_trade,pnl_delta
RIDE_CALM,0.0,,637,0,3761.5,0.0,47.56671899529042,0.0,5.905023547880691,,0.0
RIDE_CALM,0.5,637.0,451,186,16891.5,-13130.0,58.09312638580931,22.043010752688172,37.45343680709534,-70.59139784946237,13130.0
RIDE_CALM,1.0,637.0,525,112,13406.5,-9645.0,52.57142857142857,24.107142857142858,25.536190476190477,-86.11607142857143,9645.0
RIDE_CALM,1.5,637.0,572,65,10713.0,-6951.5,50.17482517482518,24.615384615384617,18.72902097902098,-106.94615384615385,6951.5
RIDE_CALM,2.0,637.0,602,35,9507.0,-5745.5,49.501661129568106,14.285714285714285,15.79235880398671,-164.15714285714284,5745.5
RIDE_CALM,3.0,637.0,620,17,7151.5,-3390.0,48.54838709677419,11.76470588235294,11.53467741935484,-199.41176470588235,3390.0
RIDE_CALM,5.0,637.0,633,4,5219.5,-1458.0,47.867298578199055,0.0,8.24565560821485,-364.5,1458.0
FADE_CALM,0.0,,365,0,42641.0,0.0,82.1917808219178,0.0,116.82465753424657,,0.0
FADE_CALM,0.5,365.0,250,115,37437.0,5204.0,90.8,63.47826086956522,149.748,45.25217391304348,-5204.0
FADE_CALM,1.0,365.0,286,79,38672.5,3968.5,87.41258741258741,63.29113924050633,135.21853146853147,50.234177215189874,-3968.5
FADE_CALM,1.5,365.0,327,38,41891.0,750.0,86.54434250764525,44.73684210526316,128.10703363914374,19.736842105263158,-750.0
FADE_CALM,2.0,365.0,338,27,42199.5,441.5,85.79881656804734,37.03703703703704,124.85059171597634,16.35185185185185,-441.5
FADE_CALM,3.0,365.0,357,8,42880.5,-239.5,83.4733893557423,25.0,120.11344537815125,-29.9375,239.5
FADE_CALM,5.0,365.0,362,3,42741.0,-100.0,82.87292817679558,0.0,118.06906077348066,-33.333333333333336,100.0
KILL_SHOT,0.0,,106,0,2571.5,0.0,86.79245283018868,0.0,24.25943396226415,,0.0
KILL_SHOT,0.5,106.0,97,9,2245.0,326.5,86.5979381443299,88.88888888888889,23.144329896907216,36.27777777777778,-326.5
KILL_SHOT,1.0,106.0,102,4,2420.5,151.0,87.25490196078431,75.0,23.730392156862745,37.75,-151.0
KILL_SHOT,1.5,106.0,103,3,2430.5,141.0,87.37864077669903,66.66666666666666,23.597087378640776,47.0,-141.0
KILL_SHOT,2.0,106.0,103,3,2430.5,141.0,87.37864077669903,66.66666666666666,23.597087378640776,47.0,-141.0
KILL_SHOT,3.0,106.0,104,2,2551.5,20.0,87.5,50.0,24.533653846153847,10.0,-20.0
KILL_SHOT,5.0,106.0,106,0,2571.5,0.0,86.79245283018868,0.0,24.25943396226415,0.0,0.0
RIDE_AGAINST,0.0,,1423,0,39330.0,0.0,63.52775825720309,0.0,27.63879128601546,,0.0
RIDE_AGAINST,0.5,1423.0,1077,346,50806.5,-11476.5,71.68059424326833,38.15028901734104,47.174094707520894,-33.16907514450867,11476.5
RIDE_AGAINST,1.0,1423.0,1235,188,49139.5,-9809.5,67.93522267206478,34.57446808510639,39.78906882591093,-52.1781914893617,9809.5
RIDE_AGAINST,1.5,1423.0,1311,112,47607.0,-8277.0,66.51411136536994,28.57142857142857,36.31350114416476,-73.90178571428571,8277.0
RIDE_AGAINST,2.0,1423.0,1356,67,46210.5,-6880.5,65.41297935103245,25.37313432835821,34.078539823008846,-102.69402985074628,6880.5
RIDE_AGAINST,3.0,1423.0,1397,26,42940.0,-3610.0,64.28060128847531,23.076923076923077,30.737294201861133,-138.84615384615384,3610.0
RIDE_AGAINST,5.0,1423.0,1414,9,40851.0,-1521.0,63.719943422913715,33.33333333333333,28.89038189533239,-169.0,1521.0
FADE_AGAINST,0.0,,352,0,23637.5,0.0,64.48863636363636,0.0,67.15198863636364,,0.0
FADE_AGAINST,0.5,352.0,224,128,26615.0,-2977.5,79.46428571428571,38.28125,118.81696428571429,-23.26171875,2977.5
FADE_AGAINST,1.0,352.0,264,88,27418.5,-3781.0,75.0,32.95454545454545,103.85795454545455,-42.96590909090909,3781.0
FADE_AGAINST,1.5,352.0,292,60,27832.0,-4194.5,71.23287671232876,31.666666666666664,95.31506849315069,-69.90833333333333,4194.5
FADE_AGAINST,2.0,352.0,308,44,27631.0,-3993.5,70.12987012987013,25.0,89.71103896103897,-90.76136363636364,3993.5
FADE_AGAINST,3.0,352.0,332,20,27168.0,-3530.5,67.46987951807229,15.0,81.83132530120481,-176.525,3530.5
FADE_AGAINST,5.0,352.0,345,7,25819.0,-2181.5,65.79710144927536,0.0,74.83768115942028,-311.64285714285717,2181.5
BASE_NMP,0.0,,1195,0,19997.0,0.0,35.81589958158996,0.0,16.73389121338912,,0.0
BASE_NMP,0.5,1195.0,929,266,24159.0,-4162.0,44.456404736275566,5.639097744360902,26.005382131324005,-15.646616541353383,4162.0
BASE_NMP,1.0,1195.0,1065,130,22176.5,-2179.5,39.53051643192488,5.384615384615385,20.82300469483568,-16.765384615384615,2179.5
BASE_NMP,1.5,1195.0,1122,73,21213.0,-1216.0,37.78966131907308,5.47945205479452,18.906417112299465,-16.65753424657534,1216.0
BASE_NMP,2.0,1195.0,1151,44,20737.0,-740.0,37.011294526498695,4.545454545454546,18.01650738488271,-16.818181818181817,740.0
BASE_NMP,3.0,1195.0,1184,11,20215.0,-218.0,36.064189189189186,9.090909090909092,17.07347972972973,-19.818181818181817,218.0
BASE_NMP,5.0,1195.0,1192,3,20141.0,-144.0,35.90604026845637,0.0,16.89681208053691,-48.0,144.0
