timestamp,depth,oracle_label,oracle_label_name,oracle_dir,fn_potential_pnl,dna_expectancy,reason,gate_blocked,workers
1743503400,4,-1,SCALP_SHORT,SHORT,248.5,893.4607843137248,no_match,gate1,"{""1h"": {""d"": 0.76, ""c"": 0.365, ""m"": 0.115, ""mfe"": 0.0, ""dmi"": -2.78}, ""30m"": {""d"": 0.439, ""c"": 0.158, ""m"": 0.026, ""mfe"": 0.0, ""dmi"": 10.49}, ""15m"": {""d"": 0.25, ""c"": 0.497, ""m"": 0.126, ""mfe"": 0.0, ""dmi"": 9.51}, ""5m"": {""d"": 0.204, ""c"": 0.595, ""m"": 0.176, ""mfe"": 0.0, ""dmi"": -12.17}, ""3m"": {""d"": 0.561, ""c"": 0.123, ""m"": 0.034, ""mfe"": 0.0, ""dmi"": -19.76}, ""1m"": {""d"": 0.423, ""c"": 0.154, ""m"": 0.049, ""mfe"": 0.0, ""dmi"": -3.83}, ""30s"": {""d"": 0.284, ""c"": 0.435, ""m"": 0.164, ""mfe"": 0.0, ""dmi"": -15.39}, ""15s"": {""d"": 0.43, ""c"": 0.148, ""m"": 0.057, ""mfe"": 244.2, ""dmi"": -9.68}, ""5s"": {""d"": 0.556, ""c"": 0.113, ""m"": 0.045, ""mfe"": 0.0, ""dmi"": -3.75}, ""1s"": {""d"": 0.608, ""c"": 0.216, ""m"": 0.088, ""mfe"": 0.0, ""dmi"": -25.87}}"
1743503400,4,-1,SCALP_SHORT,SHORT,248.5,893.4607843137248,no_match,gate1,"{""1h"": {""d"": 0.76, ""c"": 0.365, ""m"": 0.115, ""mfe"": 0.0, ""dmi"": -2.78}, ""30m"": {""d"": 0.439, ""c"": 0.158, ""m"": 0.026, ""mfe"": 0.0, ""dmi"": 10.49}, ""15m"": {""d"": 0.25, ""c"": 0.497, ""m"": 0.126, ""mfe"": 0.0, ""dmi"": 9.51}, ""5m"": {""d"": 0.204, ""c"": 0.595, ""m"": 0.176, ""mfe"": 0.0, ""dmi"": -12.17}, ""3m"": {""d"": 0.561, ""c"": 0.123, ""m"": 0.034, ""mfe"": 0.0, ""dmi"": -19.76}, ""1m"": {""d"": 0.423, ""c"": 0.154, ""m"": 0.049, ""mfe"": 0.0, ""dmi"": -3.83}, ""30s"": {""d"": 0.284, ""c"": 0.435, ""m"": 0.164, ""mfe"": 0.0, ""dmi"": -15.39}, ""15s"": {""d"": 0.365, ""c"": 0.285, ""m"": 0.111, ""mfe"": 244.2, ""dmi"": -6.72}, ""5s"": {""d"": 0.266, ""c"": 0.469, ""m"": 0.203, ""mfe"": 0.0, ""dmi"": 16.54}, ""1s"": {""d"": 0.6, ""c"": 0.2, ""m"": 0.081, ""mfe"": 0.0, ""dmi"": -13.68}}"
1743503400,4,-1,SCALP_SHORT,SHORT,248.5,893.4607843137248,no_match,gate1,"{""1h"": {""d"": 0.76, ""c"": 0.365, ""m"": 0.115, ""mfe"": 0.0, ""dmi"": -2.78}, ""30m"": {""d"": 0.439, ""c"": 0.158, ""m"": 0.026, ""mfe"": 0.0, ""dmi"": 10.49}, ""15m"": {""d"": 0.25, ""c"": 0.497, ""m"": 0.126, ""mfe"": 0.0, ""dmi"": 9.51}, ""5m"": {""d"": 0.204, ""c"": 0.595, ""m"": 0.176, ""mfe"": 0.0, ""dmi"": -12.17}, ""3m"": {""d"": 0.645, ""c"": 0.29, ""m"": 0.082, ""mfe"": 0.0, ""dmi"": -20.07}, ""1m"": {""d"": 0.4, ""c"": 0.2, ""m"": 0.065, ""mfe"": 0.0, ""dmi"": -6.0}, ""30s"": {""d"": 0.22, ""c"": 0.563, ""m"": 0.225, ""mfe"": 0.0, ""dmi"": -7.24}, ""15s"": {""d"": 0.423, ""c"": 0.163, ""m"": 0.062, ""mfe"": 244.2, ""dmi"": -6.53}, ""5s"": {""d"": 0.46, ""c"": 0.08, ""m"": 0.032, ""mfe"": 0.0, ""dmi"": 16.59}, ""1s"": {""d"": 0.502, ""c"": 0.004, ""m"": 0.002, ""mfe"": 0.0, ""dmi"": -8.43}}"
1743503400,4,-1,SCALP_SHORT,SHORT,248.5,893.4607843137248,no_match,gate1,"{""1h"": {""d"": 0.76, ""c"": 0.365, ""m"": 0.115, ""mfe"": 0.0, ""dmi"": -2.78}, ""30m"": {""d"": 0.439, ""c"": 0.158, ""m"": 0.026, ""mfe"": 0.0, ""dmi"": 10.49}, ""15m"": {""d"": 0.25, ""c"": 0.497, ""m"": 0.126, ""mfe"": 0.0, ""dmi"": 9.51}, ""5m"": {""d"": 0.204, ""c"": 0.595, ""m"": 0.176, ""mfe"": 0.0, ""dmi"": -12.17}, ""3m"": {""d"": 0.645, ""c"": 0.29, ""m"": 0.082, ""mfe"": 0.0, ""dmi"": -20.07}, ""1m"": {""d"": 0.4, ""c"": 0.2, ""m"": 0.065, ""mfe"": 0.0, ""dmi"": -6.0}, ""30s"": {""d"": 0.22, ""c"": 0.563, ""m"": 0.225, ""mfe"": 0.0, ""dmi"": -7.24}, ""15s"": {""d"": 0.36, ""c"": 0.294, ""m"": 0.115, ""mfe"": 244.2, ""dmi"": -0.82}, ""5s"": {""d"": 0.546, ""c"": 0.092, ""m"": 0.037, ""mfe"": 0.0, ""dmi"": 9.39}, ""1s"": {""d"": 0.488, ""c"": 0.023, ""m"": 0.009, ""mfe"": 0.0, ""dmi"": -17.18}}"
1743530400,10,-2,MEGA_SHORT,SHORT,211.5,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
1743530400,10,-2,MEGA_SHORT,SHORT,211.5,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
1743530400,10,-2,MEGA_SHORT,SHORT,182.0,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
1743530400,10,-2,MEGA_SHORT,SHORT,182.0,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
1743530400,10,-2,MEGA_SHORT,SHORT,160.5,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
1743530400,10,-2,MEGA_SHORT,SHORT,160.5,893.4607843137255,competed,gate0_5,"{""1h"": {""d"": 0.126, ""c"": 0.749, ""m"": 0.194, ""mfe"": 0.0, ""dmi"": 8.83}, ""30m"": {""d"": 0.643, ""c"": 0.286, ""m"": 0.063, ""mfe"": 0.0, ""dmi"": 5.45}, ""15m"": {""d"": 0.878, ""c"": 0.751, ""m"": 0.226, ""mfe"": 0.0, ""dmi"": 4.76}, ""5m"": {""d"": 0.243, ""c"": 0.516, ""m"": 0.147, ""mfe"": 0.0, ""dmi"": 11.39}, ""3m"": {""d"": 0.193, ""c"": 0.615, ""m"": 0.197, ""mfe"": 0.0, ""dmi"": -2.98}, ""1m"": {""d"": 0.232, ""c"": 0.536, ""m"": 0.191, ""mfe"": 0.0, ""dmi"": -15.99}, ""30s"": {""d"": 0.278, ""c"": 0.446, ""m"": 0.169, ""mfe"": 0.0, ""dmi"": -25.55}, ""15s"": {""d"": 0.315, ""c"": 0.389, ""m"": 0.156, ""mfe"": 244.2, ""dmi"": -18.53}, ""5s"": {""d"": 0.386, ""c"": 0.228, ""m"": 0.093, ""mfe"": 0.0, ""dmi"": 8.12}, ""1s"": {""d"": 0.547, ""c"": 0.094, ""m"": 0.038, ""mfe"": 0.0, ""dmi"": -29.03}}"
