**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

X,Y,tfX,tfY,regime_2d,n,pearson
price_velocity_w,price_sigma_w,15s,5m,UP_CHOPPY,3924,-0.07215401786205133
price_velocity_w,price_sigma_w,15s,5m,DOWN_SMOOTH,4662,-0.07909512395262211
price_velocity_w,price_sigma_w,15s,5m,DOWN_CHOPPY,2988,-0.028196315493721646
price_velocity_w,price_sigma_w,15s,5m,FLAT_SMOOTH,9885,-0.009206355483189446
price_velocity_w,price_sigma_w,15s,5m,FLAT_CHOPPY,18315,-0.04498745455342325
price_velocity_w,price_sigma_w,15s,15m,ALL,46893,-0.0020904697460218534
price_velocity_w,price_sigma_w,15s,15m,UP_SMOOTH,7146,0.04093801720364434
price_velocity_w,price_sigma_w,15s,15m,UP_CHOPPY,3924,-0.03849000744894303
price_velocity_w,price_sigma_w,15s,15m,DOWN_SMOOTH,4662,0.0026551370616023644
price_velocity_w,price_sigma_w,15s,15m,DOWN_CHOPPY,2988,-0.018638051589658828
price_velocity_w,price_sigma_w,15s,15m,FLAT_SMOOTH,9858,-0.0034912967004019527
price_velocity_w,price_sigma_w,15s,15m,FLAT_CHOPPY,18315,-0.009165345005629669
price_velocity_w,price_sigma_w,15s,1h,ALL,46785,-0.003515483299506076
price_velocity_w,price_sigma_w,15s,1h,UP_SMOOTH,7146,-0.006914461515312541
price_velocity_w,price_sigma_w,15s,1h,UP_CHOPPY,3924,0.022204075025749923
price_velocity_w,price_sigma_w,15s,1h,DOWN_SMOOTH,4662,-0.009421746237631324
price_velocity_w,price_sigma_w,15s,1h,DOWN_CHOPPY,2988,0.0076873876461933145
price_velocity_w,price_sigma_w,15s,1h,FLAT_SMOOTH,9750,0.006137149509364869
price_velocity_w,price_sigma_w,15s,1h,FLAT_CHOPPY,18315,-0.00874541691639269
price_velocity_w,price_sigma_w,15s,4h,ALL,46089,-0.004648144572911659
price_velocity_w,price_sigma_w,15s,4h,UP_SMOOTH,6978,0.002991171329536539
price_velocity_w,price_sigma_w,15s,4h,UP_CHOPPY,3924,0.03380250983645249
price_velocity_w,price_sigma_w,15s,4h,DOWN_SMOOTH,4662,-0.0201954771305117
price_velocity_w,price_sigma_w,15s,4h,DOWN_CHOPPY,2988,0.00647420520899105
price_velocity_w,price_sigma_w,15s,4h,FLAT_SMOOTH,9402,-0.01592741565779825
price_velocity_w,price_sigma_w,15s,4h,FLAT_CHOPPY,18135,-0.018325428587088813
price_velocity_w,price_sigma_w,15s,1D,ALL,46089,-0.004050492469502147
price_velocity_w,price_sigma_w,15s,1D,UP_SMOOTH,6978,0.006769340481526405
