**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf1,tf2,regime_2d,n,pearson
price_velocity_1b,5s,15s,ALL,46928,0.5654852110245145
price_velocity_1b,5s,15s,UP_SMOOTH,7146,0.5821142102055241
price_velocity_1b,5s,15s,UP_CHOPPY,3924,0.5935299244595037
price_velocity_1b,5s,15s,DOWN_SMOOTH,4662,0.5921573255877667
price_velocity_1b,5s,15s,DOWN_CHOPPY,2988,0.5377647277607827
price_velocity_1b,5s,15s,FLAT_SMOOTH,9893,0.5598307177857126
price_velocity_1b,5s,15s,FLAT_CHOPPY,18315,0.5485869403158965
price_velocity_1b,5s,1m,ALL,46928,0.23688546228735888
price_velocity_1b,5s,1m,UP_SMOOTH,7146,0.22980980332871687
price_velocity_1b,5s,1m,UP_CHOPPY,3924,0.19540350900013476
price_velocity_1b,5s,1m,DOWN_SMOOTH,4662,0.31543020076904194
price_velocity_1b,5s,1m,DOWN_CHOPPY,2988,0.23180647847644195
price_velocity_1b,5s,1m,FLAT_SMOOTH,9893,0.25028772635269525
price_velocity_1b,5s,1m,FLAT_CHOPPY,18315,0.22527169323290347
price_velocity_1b,5s,5m,ALL,46927,0.0936712453171124
price_velocity_1b,5s,5m,UP_SMOOTH,7146,0.07526247761870472
price_velocity_1b,5s,5m,UP_CHOPPY,3924,0.14364010621799983
price_velocity_1b,5s,5m,DOWN_SMOOTH,4662,0.07195615517785904
price_velocity_1b,5s,5m,DOWN_CHOPPY,2988,0.10571242529406594
price_velocity_1b,5s,5m,FLAT_SMOOTH,9892,0.09411865112078388
price_velocity_1b,5s,5m,FLAT_CHOPPY,18315,0.0891116633757299
price_velocity_1b,5s,15m,ALL,46923,0.03188356350727453
price_velocity_1b,5s,15m,UP_SMOOTH,7146,0.010544127006366888
price_velocity_1b,5s,15m,UP_CHOPPY,3924,0.1230502854373327
price_velocity_1b,5s,15m,DOWN_SMOOTH,4662,-0.005862561479435464
price_velocity_1b,5s,15m,DOWN_CHOPPY,2988,0.019001910297181453
price_velocity_1b,5s,15m,FLAT_SMOOTH,9888,0.005610708356187989
price_velocity_1b,5s,15m,FLAT_CHOPPY,18315,0.03155581619804474
price_velocity_1b,5s,1h,ALL,46905,0.013246845783701045
price_velocity_1b,5s,1h,UP_SMOOTH,7146,-0.029980364804732845
price_velocity_1b,5s,1h,UP_CHOPPY,3924,-0.04595810971541139
price_velocity_1b,5s,1h,DOWN_SMOOTH,4662,0.03242058970261291
price_velocity_1b,5s,1h,DOWN_CHOPPY,2988,0.004049570829902138
price_velocity_1b,5s,1h,FLAT_SMOOTH,9870,0.009245159965838277
price_velocity_1b,5s,1h,FLAT_CHOPPY,18315,0.0379762774467294
price_velocity_1b,5s,4h,ALL,46821,0.0038517820613015517
price_velocity_1b,5s,4h,UP_SMOOTH,7146,-0.02117855997339592
price_velocity_1b,5s,4h,UP_CHOPPY,3924,-0.03960571518982129
price_velocity_1b,5s,4h,DOWN_SMOOTH,4662,0.03248938839223211
price_velocity_1b,5s,4h,DOWN_CHOPPY,2988,0.006744711117961853
price_velocity_1b,5s,4h,FLAT_SMOOTH,9786,-0.003937787270132082
price_velocity_1b,5s,4h,FLAT_CHOPPY,18315,0.005805350472501546
price_velocity_1b,5s,1D,ALL,46641,0.008500668100660105
price_velocity_1b,5s,1D,UP_SMOOTH,7146,-0.0069531310412701
price_velocity_1b,5s,1D,UP_CHOPPY,3924,0.021003006049952668
price_velocity_1b,5s,1D,DOWN_SMOOTH,4662,0.028633508854634598
price_velocity_1b,5s,1D,DOWN_CHOPPY,2988,0.0033464847373022495
price_velocity_1b,5s,1D,FLAT_SMOOTH,9606,-0.015188752080541268
